path,column,role_flags
data/processed/final_pipeline/ecmwf_deterministic_forecasts 2.csv,decision_rule,decision_rule
data/processed/final_pipeline/ecmwf_deterministic_forecasts 2.csv,raw_source_origin,raw
data/processed/final_pipeline/ecmwf_deterministic_forecasts.csv,decision_rule,decision_rule
data/processed/final_pipeline/ecmwf_deterministic_forecasts.csv,raw_source_origin,raw
data/processed/final_pipeline/ecmwf_request_plan 2.csv,decision_rule,decision_rule
data/processed/final_pipeline/ecmwf_request_plan.csv,decision_rule,decision_rule
data/processed/final_pipeline/market/exact_common_book_metrics.csv,event_date,event_date
data/processed/final_pipeline/market/exact_common_book_metrics.csv,decision_rule,decision_rule
data/processed/final_pipeline/market/exact_common_book_metrics.csv,tv_raw,raw
data/processed/final_pipeline/market/exact_common_book_metrics.csv,tv_static,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,tv_selected_gp,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,expected_rank_raw,raw
data/processed/final_pipeline/market/exact_common_book_metrics.csv,expected_rank_static,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,expected_rank_selected_gp,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,static_binary_brier,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,static_binary_log,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,selected_gp_binary_brier,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,selected_gp_binary_log,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,static_categorical_log,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,static_multiclass_brier,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,selected_gp_categorical_log,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,selected_gp_multiclass_brier,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,winner_probability_static,static
data/processed/final_pipeline/market/exact_common_book_metrics.csv,winner_probability_selected_gp,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_book_metrics.csv,winner_probability_market,market_price
data/processed/final_pipeline/market/exact_common_book_metrics.csv,market_minus_gp_winner_probability,market_price
data/processed/final_pipeline/market/exact_common_date_losses.csv,event_date,event_date
data/processed/final_pipeline/market/exact_common_date_losses.csv,static_binary_brier,static
data/processed/final_pipeline/market/exact_common_date_losses.csv,static_binary_log,static
data/processed/final_pipeline/market/exact_common_date_losses.csv,static_categorical_log,static
data/processed/final_pipeline/market/exact_common_date_losses.csv,static_multiclass_brier,static
data/processed/final_pipeline/market/exact_common_date_losses.csv,selected_gp_binary_brier,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_date_losses.csv,selected_gp_binary_log,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_date_losses.csv,selected_gp_categorical_log,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_date_losses.csv,selected_gp_multiclass_brier,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,event_date,event_date
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,decision_rule,decision_rule
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,raw_temperature_c,raw
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,static_mean_c,static
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,static_sd_c,static
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,selected_gp_mean_c,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,selected_gp_sd_c,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,p_raw,raw
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,p_static,static
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,p_selected_gp,matern_or_selected_gp
data/processed/final_pipeline/market/exact_common_event_panel.csv.gz,market_raw_yes,market_price;raw
data/processed/final_pipeline/market/polymarket_contract_candidates.csv,event_date,event_date
data/processed/final_pipeline/market/polymarket_contract_targets.csv,event_date,event_date
data/processed/final_pipeline/market/polymarket_contract_universe.csv,event_date,event_date
data/processed/final_pipeline/market/polymarket_decision_snapshots.csv.gz,event_date,event_date
data/processed/final_pipeline/market/polymarket_decision_snapshots.csv.gz,decision_rule,decision_rule
data/processed/final_pipeline/market/polymarket_decision_snapshots.csv.gz,market_price_available,market_price
data/processed/final_pipeline/market/polymarket_decision_snapshots.csv.gz,market_raw_yes,market_price;raw
data/processed/final_pipeline/market/polymarket_price_history.csv.gz,event_date,event_date
data/processed/final_pipeline/market/polymarket_price_history.csv.gz,market_yes_price,market_price
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,event_date,event_date
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,decision_rule,decision_rule
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,raw_temperature_c,raw
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,static_mean_c,static
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,static_sd_c,static
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,selected_gp_mean_c,matern_or_selected_gp
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,selected_gp_sd_c,matern_or_selected_gp
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,p_raw,raw
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,p_static,static
data/processed/final_pipeline/market/weather_event_probabilities.csv.gz,p_selected_gp,matern_or_selected_gp
data/processed/final_pipeline/residual_samples/external_validation.csv,decision_rule,decision_rule
data/processed/final_pipeline/residual_samples/external_validation.csv,raw_source_origin,raw
data/processed/final_pipeline/residual_samples/market_development.csv,decision_rule,decision_rule
data/processed/final_pipeline/residual_samples/market_development.csv,raw_source_origin,raw
data/processed/final_pipeline/residual_samples/weather_history_training.csv,decision_rule,decision_rule
data/processed/final_pipeline/residual_samples/weather_history_training.csv,raw_source_origin,raw
data/processed/final_pipeline/synthesis/external_monthly_method_performance.csv,maximum_drawdown,raw
data/processed/final_pipeline/synthesis/external_threshold_neighbourhood.csv,maximum_drawdown,raw
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,event_date,event_date
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,decision_rule,decision_rule
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,market_raw_yes,market_price;raw
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,raw_temperature_c,raw
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,static_mean_c,static
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,static_sd_c,static
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,selected_gp_mean_c,matern_or_selected_gp
data/processed/final_pipeline/trading/development_selected_contract_candidates.csv,selected_gp_sd_c,matern_or_selected_gp
data/processed/final_pipeline/trading/development_threshold_grid.csv,decision_rule,decision_rule
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,event_date,event_date
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_target_available,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_market_id,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_event_rank,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_group_item_title,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_probability_gap,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_trade,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_gross_pnl,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,raw_net_pnl,raw
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_target_available,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_market_id,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_event_rank,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_group_item_title,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_probability_gap,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_trade,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_gross_pnl,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,static_net_pnl,static
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_target_available,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_market_id,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_event_rank,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_group_item_title,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_probability_gap,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_trade,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_gross_pnl,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_attribution_panel.csv,selected_gp_net_pnl,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,event_date,event_date
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,decision_rule,decision_rule
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,market_raw_yes,market_price;raw
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,raw_temperature_c,raw
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,static_mean_c,static
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,static_sd_c,static
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,selected_gp_mean_c,matern_or_selected_gp
data/processed/final_pipeline/trading/fixed_policy_ledgers.csv,selected_gp_sd_c,matern_or_selected_gp
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,event_date,event_date
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,decision_rule,decision_rule
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,market_raw_yes,market_price;raw
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,selected_gp_mean_c,matern_or_selected_gp
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,selected_gp_sd_c,matern_or_selected_gp
data/processed/final_pipeline/trading/forecast_error_pnl_panel.csv,raw_temperature_c,raw
