model,transition,dates,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
raw,24h_to_12h,365,mean_crps_improvement_c,0.052602739726027414,ordinary_date,,-0.011232876712328702,0.11616438356164396,10000,20270801,settlement_date
raw,24h_to_12h,365,median_crps_improvement_c,0.0,ordinary_date,,0.0,0.09999999999999787,10000,20270801,settlement_date
raw,24h_to_12h,365,improved_date_fraction,0.4767123287671233,ordinary_date,,0.4246575342465753,0.5287671232876713,10000,20270801,settlement_date
raw,24h_to_12h,365,mean_absolute_crps_change_c,0.4235616438356165,ordinary_date,,0.37890410958904136,0.4720616438356165,10000,20270801,settlement_date
raw,24h_to_12h,365,mean_crps_improvement_c,0.052602739726027414,circular_moving_block,3.0,-0.011787671232876776,0.12000000000000006,10000,20270802,settlement_date
raw,24h_to_12h,365,median_crps_improvement_c,0.0,circular_moving_block,3.0,0.0,0.09999999999999787,10000,20270802,settlement_date
raw,24h_to_12h,365,improved_date_fraction,0.4767123287671233,circular_moving_block,3.0,0.42191780821917807,0.5315068493150685,10000,20270802,settlement_date
raw,24h_to_12h,365,mean_absolute_crps_change_c,0.4235616438356165,circular_moving_block,3.0,0.373417808219178,0.4772602739726028,10000,20270802,settlement_date
raw,24h_to_12h,365,mean_crps_improvement_c,0.052602739726027414,circular_moving_block,5.0,-0.01315068493150692,0.1224657534246575,10000,20270803,settlement_date
raw,24h_to_12h,365,median_crps_improvement_c,0.0,circular_moving_block,5.0,0.0,0.09999999999999787,10000,20270803,settlement_date
raw,24h_to_12h,365,improved_date_fraction,0.4767123287671233,circular_moving_block,5.0,0.42191780821917807,0.5342465753424658,10000,20270803,settlement_date
raw,24h_to_12h,365,mean_absolute_crps_change_c,0.4235616438356165,circular_moving_block,5.0,0.3687671232876713,0.4813698630136986,10000,20270803,settlement_date
raw,24h_to_12h,365,mean_crps_improvement_c,0.052602739726027414,circular_moving_block,7.0,-0.0126027397260273,0.11972602739726046,10000,20270804,settlement_date
raw,24h_to_12h,365,median_crps_improvement_c,0.0,circular_moving_block,7.0,0.0,0.09999999999999787,10000,20270804,settlement_date
raw,24h_to_12h,365,improved_date_fraction,0.4767123287671233,circular_moving_block,7.0,0.4191780821917808,0.5342465753424658,10000,20270804,settlement_date
raw,24h_to_12h,365,mean_absolute_crps_change_c,0.4235616438356165,circular_moving_block,7.0,0.36712328767123287,0.48520547945205483,10000,20270804,settlement_date
raw,12h_to_6h,365,mean_crps_improvement_c,-0.006575342465753414,ordinary_date,,-0.029315068493150662,0.016986301369863004,10000,20270901,settlement_date
raw,12h_to_6h,365,median_crps_improvement_c,0.0,ordinary_date,,0.0,0.0,10000,20270901,settlement_date
raw,12h_to_6h,365,improved_date_fraction,0.04657534246575343,ordinary_date,,0.0273972602739726,0.0684931506849315,10000,20270901,settlement_date
raw,12h_to_6h,365,mean_absolute_crps_change_c,0.053150684931506834,ordinary_date,,0.0323287671232877,0.07698630136986297,10000,20270901,settlement_date
raw,12h_to_6h,365,mean_crps_improvement_c,-0.006575342465753414,circular_moving_block,3.0,-0.029589041095890403,0.01753424657534246,10000,20270902,settlement_date
raw,12h_to_6h,365,median_crps_improvement_c,0.0,circular_moving_block,3.0,0.0,0.0,10000,20270902,settlement_date
raw,12h_to_6h,365,improved_date_fraction,0.04657534246575343,circular_moving_block,3.0,0.024657534246575342,0.07397260273972603,10000,20270902,settlement_date
raw,12h_to_6h,365,mean_absolute_crps_change_c,0.053150684931506834,circular_moving_block,3.0,0.031232876712328772,0.07780821917808214,10000,20270902,settlement_date
raw,12h_to_6h,365,mean_crps_improvement_c,-0.006575342465753414,circular_moving_block,5.0,-0.03068493150684933,0.01890410958904111,10000,20270903,settlement_date
raw,12h_to_6h,365,median_crps_improvement_c,0.0,circular_moving_block,5.0,0.0,0.0,10000,20270903,settlement_date
raw,12h_to_6h,365,improved_date_fraction,0.04657534246575343,circular_moving_block,5.0,0.021917808219178082,0.07671232876712329,10000,20270903,settlement_date
raw,12h_to_6h,365,mean_absolute_crps_change_c,0.053150684931506834,circular_moving_block,5.0,0.029589041095890382,0.08054794520547941,10000,20270903,settlement_date
raw,12h_to_6h,365,mean_crps_improvement_c,-0.006575342465753414,circular_moving_block,7.0,-0.03287671232876709,0.020000000000000042,10000,20270904,settlement_date
raw,12h_to_6h,365,median_crps_improvement_c,0.0,circular_moving_block,7.0,0.0,0.0,10000,20270904,settlement_date
raw,12h_to_6h,365,improved_date_fraction,0.04657534246575343,circular_moving_block,7.0,0.019178082191780823,0.07945205479452055,10000,20270904,settlement_date
raw,12h_to_6h,365,mean_absolute_crps_change_c,0.053150684931506834,circular_moving_block,7.0,0.027938356164383605,0.08273972602739725,10000,20270904,settlement_date
raw,6h_to_open,365,mean_crps_improvement_c,0.09671232876712335,ordinary_date,,0.03397260273972606,0.15890410958904116,10000,20271001,settlement_date
raw,6h_to_open,365,median_crps_improvement_c,0.0,ordinary_date,,0.0,0.0,10000,20271001,settlement_date
raw,6h_to_open,365,improved_date_fraction,0.4273972602739726,ordinary_date,,0.3780821917808219,0.4767123287671233,10000,20271001,settlement_date
raw,6h_to_open,365,mean_absolute_crps_change_c,0.4052054794520547,ordinary_date,,0.3591780821917807,0.45342465753424643,10000,20271001,settlement_date
raw,6h_to_open,365,mean_crps_improvement_c,0.09671232876712335,circular_moving_block,3.0,0.03315068493150687,0.15972602739726036,10000,20271002,settlement_date
