scope,model,metric,phase3_value,phase16_value,difference,passed,detail,decision_rule
overall_mean_date,matern,mean_date_crps_c,0.8633399989586301,0.8633399989580595,5.706546346573305e-13,True,,
overall_mean_date,raw,mean_date_crps_c,1.7456849315068492,1.7456849315068492,0.0,True,,
overall_mean_date,rbf,mean_date_crps_c,0.8775614684388356,0.8775614684402,-1.3643530749618549e-12,True,,
overall_mean_date,static,mean_date_crps_c,0.9117545500469533,0.9117545500469532,1.1102230246251565e-16,True,,
rule,matern,mean_crps_c,0.8733282518701371,0.8733282518698247,3.1241675912951905e-13,True,,12h_prior
rule,matern,mean_crps_c,0.922634074600274,0.922634074599312,9.620082508376981e-13,True,,24h_prior
rule,matern,mean_crps_c,0.8720526988923287,0.8720526988891689,3.159805750385658e-12,True,,6h_prior
rule,matern,mean_crps_c,0.7853449704717809,0.7853449704739324,-2.151501199421091e-12,True,,event_day_open
rule,raw,mean_crps_c,1.7534246575342465,1.7534246575342465,0.0,True,,12h_prior
rule,raw,mean_crps_c,1.806027397260274,1.806027397260274,0.0,True,,24h_prior
rule,raw,mean_crps_c,1.76,1.76,0.0,True,,6h_prior
rule,raw,mean_crps_c,1.6632876712328768,1.6632876712328764,4.440892098500626e-16,True,,event_day_open
rule,rbf,mean_crps_c,0.8865075766731507,0.8865075766743994,-1.2486678357959136e-12,True,,12h_prior
rule,rbf,mean_crps_c,0.9342266031041095,0.9342266031050096,-9.000578060636144e-13,True,,24h_prior
rule,rbf,mean_crps_c,0.8857460286764385,0.8857460286807707,-4.332201264389823e-12,True,,6h_prior
rule,rbf,mean_crps_c,0.8037656653016438,0.8037656653006202,1.0236256287043943e-12,True,,event_day_open
rule,static,mean_crps_c,0.9279168309835972,0.9279168309835972,0.0,True,,12h_prior
rule,static,mean_crps_c,0.9537274807185798,0.9537274807185798,0.0,True,,24h_prior
rule,static,mean_crps_c,0.9195140756294873,0.9195140756294872,1.1102230246251565e-16,True,,6h_prior
rule,static,mean_crps_c,0.8458598128561484,0.8458598128561484,0.0,True,,event_day_open
date_level,matern,maximum_absolute_date_crps_difference,5.885969489582976e-11,0.0,5.885969489582976e-11,True,dates=365,
date_level,raw,maximum_absolute_date_crps_difference,8.881784197001252e-16,0.0,8.881784197001252e-16,True,dates=365,
date_level,rbf,maximum_absolute_date_crps_difference,4.834543876341968e-11,0.0,4.834543876341968e-11,True,dates=365,
date_level,static,maximum_absolute_date_crps_difference,4.440892098500626e-16,0.0,4.440892098500626e-16,True,dates=365,
