transition,dates,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
12h_to_6h,730,mean_forecast_revision_c,-0.010821917808219181,circular_moving_block,5.0,-0.025205479452054782,0.0032876712328767203,10000,20260903,settlement_date
12h_to_6h,730,mean_absolute_forecast_revision_c,0.03465753424657534,circular_moving_block,5.0,0.02027397260273972,0.050958904109589066,10000,20260903,settlement_date
12h_to_6h,730,mean_absolute_error_improvement_c,-0.004246575342465752,circular_moving_block,5.0,-0.01698630136986301,0.008767123287671229,10000,20260903,settlement_date
12h_to_6h,730,mean_squared_error_improvement_c2,-0.012041095890410991,circular_moving_block,5.0,-0.05483630136986307,0.0299602739726027,10000,20260903,settlement_date
12h_to_6h,730,improved_date_fraction,0.026027397260273973,circular_moving_block,5.0,0.012328767123287671,0.0410958904109589,10000,20260903,settlement_date
12h_to_6h,730,directionally_correct_fraction_among_updates,0.5348837209302325,circular_moving_block,5.0,0.3684210526315789,0.6875,10000,20260903,settlement_date
12h_to_6h,730,mean_forecast_revision_c,-0.010821917808219181,circular_moving_block,7.0,-0.025616438356164388,0.003698630136986291,10000,20260904,settlement_date
12h_to_6h,730,mean_absolute_forecast_revision_c,0.03465753424657534,circular_moving_block,7.0,0.019452054794520536,0.05246575342465754,10000,20260904,settlement_date
12h_to_6h,730,mean_absolute_error_improvement_c,-0.004246575342465752,circular_moving_block,7.0,-0.01726027397260275,0.009178082191780804,10000,20260904,settlement_date
12h_to_6h,730,mean_squared_error_improvement_c2,-0.012041095890410991,circular_moving_block,7.0,-0.056260958904109634,0.031794863013698556,10000,20260904,settlement_date
12h_to_6h,730,improved_date_fraction,0.026027397260273973,circular_moving_block,7.0,0.010958904109589041,0.043835616438356165,10000,20260904,settlement_date
12h_to_6h,730,directionally_correct_fraction_among_updates,0.5348837209302325,circular_moving_block,7.0,0.35294117647058826,0.696969696969697,10000,20260904,settlement_date
