analysis,transition,target_year,dates,mean_revision_c,mean_absolute_revision_c,mean_absolute_error_improvement_c,improved_date_fraction,directionally_correct_fraction_among_updates
by_year,12h_to_6h,2024,291,-0.001718213058419244,0.007903780068728513,-0.0010309278350515367,0.006872852233676976,0.2857142857142857
by_year,12h_to_6h,2025,365,-0.009041095890410971,0.05178082191780824,-0.0008219178082191922,0.04657534246575343,0.625
by_year,12h_to_6h,2026,74,-0.055405405405405374,0.055405405405405374,-0.033783783783783744,0.0,0.25
by_year,12h_to_open,2024,291,-0.03608247422680414,0.46219931271477666,-0.006529209621993086,0.45017182130584193,0.5503875968992248
by_year,12h_to_open,2025,365,0.04465753424657538,0.5175342465753424,0.07534246575342468,0.4767123287671233,0.618421052631579
by_year,12h_to_open,2026,74,-0.031081081081080996,0.4986486486486482,0.07432432432432434,0.4189189189189189,0.5588235294117647
by_year,24h_to_12h,2024,291,-0.057388316151202906,0.4670103092783504,0.04639175257731943,0.46735395189003437,0.5836734693877551
by_year,24h_to_12h,2025,365,0.04410958904109595,0.4600000000000001,0.04630136986301385,0.4657534246575342,0.6233333333333333
by_year,24h_to_12h,2026,74,0.22162162162162155,0.5486486486486486,0.19729729729729698,0.5945945945945946,0.7611940298507462
by_year,24h_to_6h,2024,291,-0.05910652920962215,0.468041237113402,0.045360824742267894,0.46735395189003437,0.5813008130081301
by_year,24h_to_6h,2025,365,0.035068493150684985,0.47726027397260284,0.04547945205479465,0.4849315068493151,0.6261980830670927
by_year,24h_to_6h,2026,74,0.16621621621621618,0.5905405405405404,0.16351351351351323,0.581081081081081,0.7391304347826086
by_year,24h_to_open,2024,291,-0.09347079037800705,0.5752577319587628,0.03986254295532636,0.4845360824742268,0.5968379446640316
by_year,24h_to_open,2025,365,0.08876712328767132,0.5994520547945206,0.12164383561643853,0.5315068493150685,0.654434250764526
by_year,24h_to_open,2026,74,0.19054054054054056,0.7635135135135133,0.27162162162162135,0.5540540540540541,0.7205882352941176
by_year,6h_to_open,2024,291,-0.034364261168384896,0.45429553264604805,-0.005498281786941549,0.44329896907216493,0.5555555555555556
by_year,6h_to_open,2025,365,0.05369863013698634,0.47561643835616446,0.07616438356164387,0.4465753424657534,0.6227758007117438
by_year,6h_to_open,2026,74,0.02432432432432438,0.4486486486486481,0.1081081081081081,0.43243243243243246,0.5846153846153846
