decision_rule,deterministic_dates,mean_deterministic_forecast_c,mean_hko_settlement_c,mean_residual_c,mean_absolute_error_c,root_mean_squared_error_c,probabilistic_validation_dates,matern_mean_crps_c,raw_mean_crps_c,rbf_mean_crps_c,static_mean_crps_c,decision_rule_order
24h_prior,730,25.835616438356166,27.28,1.4443835616438354,1.7358904109589042,2.1172287392359324,365,0.922634074600274,1.806027397260274,0.9342266031041095,0.9537274807185798,0
12h_prior,730,25.857260273972603,27.28,1.422739726027397,1.6742465753424658,2.05090691599648,365,0.8733282518701371,1.7534246575342465,0.8865075766731507,0.9279168309835972,1
6h_prior,730,25.846438356164384,27.28,1.4335616438356165,1.6784931506849314,2.0538403720768086,365,0.8720526988923287,1.76,0.8857460286764385,0.9195140756294873,2
event_day_open,730,25.862054794520546,27.28,1.417945205479452,1.6316438356164382,1.9868161354701102,365,0.7853449704717809,1.6632876712328768,0.8037656653016438,0.8458598128561484,3
