model,transition,transition_family,dates,mean_predictive_mean_shift_c,mean_absolute_predictive_mean_shift_c,mean_predictive_sd_change_c,mean_absolute_predictive_sd_change_c,mean_residual_correction_revision_c,mean_absolute_residual_correction_revision_c,mean_gaussian_wasserstein2_distance_c,forecast_revision_predictive_shift_slope,forecast_revision_predictive_shift_r_squared,maximum_reconciliation_error_c
rbf,24h_to_12h,adjacent,365,0.13658070650137,0.5525121985375343,-0.07592928193780821,0.07592928193780821,0.07904645992602742,0.15070512428273974,0.5660896468492308,1.001694538399751,0.8942417042308318,8.659739592076221e-15
rbf,12h_to_6h,adjacent,365,-0.015487279290411118,0.07114185934575337,-0.0015118676101369877,0.006809822631506857,0.002046967284931506,0.017399081287671234,0.07414796046397483,1.0412391665243246,0.9736238123265395,7.327471962526033e-15
rbf,6h_to_open,adjacent,365,-0.044969207883835516,0.5014582974021918,-0.0637650260068493,0.0637650260068493,-0.05894181062356165,0.10406715483287672,0.512999506081674,0.9952501139406128,0.9547365901581326,8.881784197001252e-15
rbf,24h_to_6h,cumulative,365,0.12109342721095886,0.5766774319336987,-0.07744114954794519,0.07744114954794519,0.08109342721095893,0.14487236998849315,0.5894770345562289,1.0170057404739183,0.908099587873167,8.881784197001252e-15
rbf,12h_to_open,cumulative,365,-0.06045648717424663,0.5372354917890411,-0.0652768936169863,0.0652768936169863,-0.056894843338630145,0.10004850836,0.5486039033155673,0.9918754629069239,0.9585583216868924,7.549516567451064e-15
rbf,24h_to_open,endpoint,365,0.07612421932712335,0.6766035603813698,-0.14120617555479448,0.14120617555479448,0.02215161658739728,0.16019760013369863,0.7071360492940202,1.0000223856809327,0.9186461315257037,7.771561172376096e-15
matern,24h_to_12h,adjacent,365,0.10290620042136986,0.543268688809315,-0.05824377775232878,0.06393481889534249,0.0453719538460274,0.19902660947068496,0.5539816532540477,0.9765239643306932,0.8787275668343597,1.176836406102666e-14
matern,12h_to_6h,adjacent,365,-0.01625084388520551,0.0672955162276711,8.431069753424018e-05,0.006388287175342465,0.0012834026901369841,0.01395485296246576,0.07029580526657435,1.0206792464045586,0.9759557628491053,6.8833827526759706e-15
matern,6h_to_open,adjacent,365,-0.07836074540739718,0.507421779430959,-0.06538746823726026,0.06538746823726026,-0.0923333481471233,0.13844251278054792,0.5182854289135944,0.9865382145814288,0.9485439383502263,1.021405182655144e-14
matern,24h_to_6h,cumulative,365,0.08665535653616435,0.5663102052375343,-0.058159467054794536,0.06815642646520549,0.046655356536164365,0.19768523553397258,0.5770652317723858,0.98648984686383,0.8875619116276726,7.771561172376096e-15
matern,12h_to_open,cumulative,365,-0.09461158929260269,0.5443411613227396,-0.06530315753972603,0.06530315753972603,-0.0910499454569863,0.13616107336876712,0.5547234920284545,0.9856621063169805,0.9544276437941523,7.327471962526033e-15
matern,24h_to_open,endpoint,365,0.008294611128767171,0.6845529977490411,-0.12354693529205482,0.12354693529205482,-0.04567799161095891,0.26099400447452054,0.7091556014746181,0.9696420887773203,0.8739671026287174,1.021405182655144e-14
