model,transition,dates,absolute_revision_crps_improvement_pearson,absolute_revision_crps_improvement_spearman,absolute_revision_crps_improvement_slope,absolute_revision_crps_improvement_r_squared,early_error_magnitude_crps_improvement_pearson,mean_crps_improvement_directionally_correct_updates_c,mean_crps_improvement_directionally_incorrect_updates_c,correct_minus_incorrect_mean_crps_improvement_c
raw,24h_to_12h,365,0.14554109872077325,0.10655236162698804,0.16971347592156938,0.02118221141684984,0.3223868794091388,0.3927835051546391,-0.48482142857142846,0.8776049337260676
raw,12h_to_6h,365,-0.14528871081242772,-0.0401230294219765,-0.12988248326349794,0.021108809489537084,0.11243710133882556,0.3700000000000003,-0.5533333333333333,0.9233333333333336
raw,6h_to_open,365,0.3348072823842738,0.21221210185887088,0.3887717683711509,0.11209591633754268,0.32531272658072263,0.5160714285714286,-0.45321100917431173,0.9692824377457403
raw,24h_to_6h,365,0.12772203485569425,0.0800846669710311,0.14905093767642247,0.016312918187679437,0.3315791839453637,0.37376237623762376,-0.4745762711864406,0.8483386474240644
raw,12h_to_open,365,0.28289301157770036,0.1848648347505318,0.3411298748939257,0.08002845599950104,0.3416133187099661,0.511049723756906,-0.45983606557377027,0.9708857893306764
raw,24h_to_open,365,0.3202515063626,0.21976177959067178,0.38771961595479393,0.10256102732751426,0.4254741041971759,0.5106481481481483,-0.5229357798165136,1.033583927964662
static,24h_to_12h,365,0.09308113953523606,0.127129770480155,0.07270728300173454,0.008664098537178089,0.1812876761240272,0.16576360963185047,-0.18095588627833234,0.3467194959101828
static,12h_to_6h,365,0.3794635093812887,0.06683979587524871,0.17765027804845085,0.14399255495196328,0.007015776509737489,0.19502545315276268,-0.08787159032696994,0.2828970434797326
static,6h_to_open,365,0.21328767839894253,0.2455418709566723,0.1701986709685855,0.045491633756810756,0.14281136007813766,0.23002108254027828,-0.10791173953016042,0.33793282207043873
static,24h_to_6h,365,0.1388499772855217,0.14872328378870917,0.10915547750911327,0.01927931619218992,0.1724494464741864,0.1696898203418523,-0.16413292776586416,0.33382274810771645
static,12h_to_open,365,0.22150589526745237,0.25158311513591386,0.1787024961624804,0.049064861638235646,0.14014742884015793,0.23184177254626115,-0.10320330382903706,0.33504507637529823
static,24h_to_open,365,0.33685707401410264,0.2690305908949019,0.2643197719611323,0.11347268831334245,0.2282764740583502,0.2605813563848416,-0.15124197919418875,0.41182333557903034
rbf,24h_to_12h,365,0.05465057600923128,0.05490990471655896,0.044037258202784424,0.0029866854581408475,0.2557915706759171,0.16697919811185571,-0.13360417331875,0.3005833714306057
rbf,12h_to_6h,365,-0.03368021825432368,0.0019096680800610962,-0.018893031121779043,0.0011343571016588783,-0.0424790397669382,0.06705731253500002,-0.0799993868533333,0.14705669938833332
rbf,6h_to_open,365,0.1965252689817418,0.20278527373065774,0.15618852226057833,0.03862218134834594,0.10580918280586186,0.22275584447083333,-0.08308549204770642,0.30584133651853973
rbf,24h_to_6h,365,0.07638279794547462,0.06508184113970433,0.06258280848172912,0.005834331821979122,0.24160678360486845,0.16497896393118813,-0.13727212174915251,0.30225108568034065
rbf,12h_to_open,365,0.17461424338186324,0.22553619236442843,0.14190207259805207,0.030490133991820656,0.08930353191914074,0.21461241191491712,-0.07725061852622953,0.29186303044114664
rbf,24h_to_open,365,0.30019912672467713,0.19600600715358937,0.24226514608593183,0.09011951568625864,0.27479916341308214,0.27545051649583335,-0.13055907711926606,0.4060095936150994
matern,24h_to_12h,365,0.09202985190790579,0.07438703704227864,0.07282902114128757,0.008469493642191073,0.24325576952711966,0.17152418692938143,-0.13418499881607143,0.30570918574545286
matern,12h_to_6h,365,-0.04880275047847348,0.004705363001314521,-0.02647821265545672,0.0023817084542638867,-0.04764551088349576,0.05248656006500001,-0.06934499701333337,0.12183155707833337
matern,6h_to_open,365,0.2281446515292145,0.2127645899290657,0.17732773987277428,0.052049982021386665,0.07683516455741912,0.23794819862916666,-0.08404716666788989,0.3219953652970565
matern,24h_to_6h,365,0.11390461599159173,0.09312139209472862,0.09145131424378575,0.0129742615441919,0.2291148152862584,0.17019935395841582,-0.13489851439745762,0.30509786835587344
matern,12h_to_open,365,0.19841751834121876,0.2312801075728938,0.1582385918321391,0.03936951158468782,0.06062889650224851,0.2284961213906078,-0.08001895031311475,0.30851507170372255
matern,24h_to_open,365,0.34778330881812775,0.19550698954657517,0.2765701190080353,0.12095322989248525,0.23833181379707527,0.285010949162963,-0.12494917172568808,0.4099601208886511
