check,passed,observed,expected,notes
input_books_are_11_events,True,1,1,
selection_uses_selected_gp,True,selected_gp,selected_gp,
pool_not_used_for_trading,True,False,False,
external_not_used_for_policy_selection,True,False,False,
reference_cost_is_one_cent,True,0.01,0.01,
selected_threshold_on_grid,True,0.15,"0.00,...,0.25",
selected_threshold_minimum_trades,True,15,>=10,
one_ledger_row_per_date_method_period,True,0,0,
trade_pnl_identity,True,1,1,
raw_static_gp_external_support_identical,True,1,1,
zero_mean_stress_matches_baseline_gp_pnl,True,2.451,2.451,
gp_probability_reconstruction,True,9.982791503160282e-17,<1e-10,
analytic_delta_matches_finite_difference,True,3.295438921746552e-11,<1e-7,
one_cent_cost_sensitivity_matches_baseline,True,1,1,
