source_system,source_period,source_url,cache_path,sha256,bytes,parsed_rows,retrieved_utc
HKO_CLMMAXT_OPEN_DATA,2024,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMAXT&lang=en&rformat=json&station=HKO&year=2024,data/raw/hko/clmmaxt_2024.json.gz,f8c2e6b2070ff17be60acb5d3172e58a038977228b971daf68f7d3ffd690ca51,1951,366,2026-09-01T07:25:32.307314+00:00
HKO_CLMMAXT_OPEN_DATA,2025,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMAXT&lang=en&rformat=json&station=HKO&year=2025,data/raw/hko/clmmaxt_2025.json.gz,e59d3b7c98d68d7d47c05f182a1bab9854e46c07e1375d9d97021852ef392302,1953,365,2026-09-01T07:25:34.089416+00:00
HKO_CLMMAXT_OPEN_DATA,2026,https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMAXT&lang=en&rformat=json&station=HKO&year=2026,data/raw/hko/clmmaxt_2026.json.gz,f67adfa0ace5abbb01f195adaa156020cf6e2a972c13ef91070a74292491d11f,1300,212,2026-09-01T07:25:36.950494+00:00
HKO_DAILY_EXTRACT_CURRENT_MONTH,2026-08,https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2026.xml,data/raw/hko/dailyExtract_august_2026.json,42c22e605a7ca64e1607c6167770a4b40d8eac63844ac0366f4520cb7f784ed3,21678,31,2026-09-01T07:25:38.727672+00:00
