event_date,decision_rule,market_slug,target_Y_event,contract_event_type_v2,model,probability,brier,log_score
2026-05-04,6h_prior,highest-temperature-in-hong-kong-on-may-4-2026-16corbelow,0,lower_tail_endpoint,catboost_calibrated,0.004206471529821295,1.7694402731197106e-05,0.004215343620058018
2026-05-04,6h_prior,highest-temperature-in-hong-kong-on-may-4-2026-26corhigher,1,upper_tail,catboost_calibrated,0.7056874610501053,0.08661987058313331,0.3485828292356511
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-19c,0,interior_bin,catboost_calibrated,0.0040172024860725885,1.6137915814107785e-05,0.004025293119056214
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-21c,0,interior_bin,catboost_calibrated,0.0045107744158910034,2.0347085831056824e-05,0.004520978656387127
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-23c,0,interior_bin,catboost_calibrated,0.009025314597685076,8.145630358718733e-05,0.009066289476583904
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-20c,0,interior_bin,catboost_calibrated,0.0045107744158910034,2.0347085831056824e-05,0.004520978656387127
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-22c,0,interior_bin,catboost_calibrated,0.004938258850461658,2.4386400474162892e-05,0.0049504923420819365
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-17c,0,interior_bin,catboost_calibrated,0.004007563818776098,1.606056776156326e-05,0.004015615621933195
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-18c,0,interior_bin,catboost_calibrated,0.0040172024860725885,1.6137915814107785e-05,0.004025293119056214
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-25c,0,interior_bin,catboost_calibrated,0.14888892413704627,0.02216791173068712,0.1612126349980044
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-24c,0,interior_bin,catboost_calibrated,0.03721405567173664,0.001384885939539114,0.03792417192483547
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-16corbelow,0,lower_tail_endpoint,catboost_calibrated,0.004224725902658444,1.7848308952593204e-05,0.004233675271783098
2026-05-04,event_day_open,highest-temperature-in-hong-kong-on-may-4-2026-26corhigher,1,upper_tail,catboost_calibrated,0.714770487008691,0.08135587508125934,0.3357937850093974
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-20c,0,interior_bin,catboost_calibrated,0.0029223126928709636,8.539911474914742e-06,0.0029265909856475178
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-26c,0,interior_bin,catboost_calibrated,0.05300399555322811,0.002809423544606625,0.05446040497415499
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-23c,1,interior_bin,catboost_calibrated,0.023470293153850172,0.9536102683530273,3.7520197786198715
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-22c,0,interior_bin,catboost_calibrated,0.0035803914540316396,1.2819202964102799e-05,0.0035868163959696443
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-24c,0,interior_bin,catboost_calibrated,0.4130511044040389,0.17061121484939626,0.5328175232575342
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-27c,0,interior_bin,catboost_calibrated,0.02140845745154936,0.0004583220504547993,0.021640942563345162
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-21c,0,interior_bin,catboost_calibrated,0.0029223126928709636,8.539911474914742e-06,0.0029265909856475178
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-25c,0,interior_bin,catboost_calibrated,0.32604698116854997,0.10630663392912477,0.39459487549718497
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-19c,0,interior_bin,catboost_calibrated,0.0029223126928709636,8.539911474914742e-06,0.0029265909856475178
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-18corbelow,0,lower_tail_endpoint,catboost_calibrated,0.002891935237580422,8.363289418359332e-06,0.0028961249618468096
2026-05-05,12h_prior,highest-temperature-in-hong-kong-on-may-5-2026-28corhigher,0,upper_tail,catboost_calibrated,0.004884534213360078,2.3858674481485157e-05,0.004896502539638894
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-20c,0,interior_bin,catboost_calibrated,0.0029881119764542247,8.928813183829172e-06,0.0029925852964560185
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-26c,0,interior_bin,catboost_calibrated,0.08421580028038769,0.007092301016866148,0.0879745318893999
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-23c,1,interior_bin,catboost_calibrated,0.007377964146813966,0.9852985060613236,4.90925753929168
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-22c,0,interior_bin,catboost_calibrated,0.003302416560829261,1.0905955141239363e-05,0.0033078815735492844
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-24c,0,interior_bin,catboost_calibrated,0.06734287822068678,0.00453506324704625,0.06971764645219139
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-27c,0,interior_bin,catboost_calibrated,0.07864201447817147,0.006184566441184931,0.08190662604196534
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-21c,0,interior_bin,catboost_calibrated,0.0029881119764542247,8.928813183829172e-06,0.0029925852964560185
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-25c,0,interior_bin,catboost_calibrated,0.3799911762209568,0.14439329400578624,0.47802156914258975
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-19c,0,interior_bin,catboost_calibrated,0.0029881119764542247,8.928813183829172e-06,0.0029925852964560185
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-18corbelow,0,lower_tail_endpoint,catboost_calibrated,0.0029769828307879428,8.862426774806193e-06,0.0029814228582886733
2026-05-05,24h_prior,highest-temperature-in-hong-kong-on-may-5-2026-28corhigher,0,upper_tail,catboost_calibrated,0.00655700758786558,4.299434850732679e-05,0.006578599198108355
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-20c,0,interior_bin,catboost_calibrated,0.0028175156637893963,7.938394515698602e-06,0.00282149233235434
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-26c,0,interior_bin,catboost_calibrated,0.060423396659481265,0.0036509868638690116,0.062325927166709066
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-23c,1,interior_bin,catboost_calibrated,0.024315979536329028,0.9519593077881531,3.716621550668271
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-22c,0,interior_bin,catboost_calibrated,0.003323700319692912,1.1046983815126766e-05,0.0033292360811452877
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-24c,0,interior_bin,catboost_calibrated,0.2691568764129943,0.07244542412039988,0.3135564474794876
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-27c,0,interior_bin,catboost_calibrated,0.02541059151835301,0.0006456981613125939,0.025739016186014003
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-21c,0,interior_bin,catboost_calibrated,0.002849055720827571,8.117118500380309e-06,0.002853122005294969
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-25c,0,interior_bin,catboost_calibrated,0.43650107980786174,0.19053319267342927,0.5735898617558931
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-19c,0,interior_bin,catboost_calibrated,0.0028175156637893963,7.938394515698602e-06,0.00282149233235434
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-18corbelow,0,lower_tail_endpoint,catboost_calibrated,0.002976851514525408,8.861644939532215e-06,0.002981291149941302
2026-05-05,6h_prior,highest-temperature-in-hong-kong-on-may-5-2026-28corhigher,0,upper_tail,catboost_calibrated,0.005597097624152442,3.132750181429291e-05,0.005612820069211716
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-20c,0,interior_bin,catboost_calibrated,0.0028454950034661505,8.096841814750828e-06,0.0028495511206416643
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-26c,0,interior_bin,catboost_calibrated,0.05201084991633609,0.002705128509019638,0.053412221852036694
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-23c,1,interior_bin,catboost_calibrated,0.025753725350100818,0.9491558036692068,3.659175988546312
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-22c,0,interior_bin,catboost_calibrated,0.004726515443658019,2.2339948239137758e-05,0.004737720739722972
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-24c,0,interior_bin,catboost_calibrated,0.38806063950072794,0.15059105992971394,0.49112208553048614
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-27c,0,interior_bin,catboost_calibrated,0.01738614489356642,0.00030227803426008577,0.017539058892660535
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-21c,0,interior_bin,catboost_calibrated,0.0029592719346319537,8.757290383100347e-06,0.002963659237442772
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-25c,0,interior_bin,catboost_calibrated,0.252653296777319,0.06383368837244804,0.291226074049692
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-19c,0,interior_bin,catboost_calibrated,0.0028454950034661505,8.096841814750828e-06,0.0028495511206416643
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-18corbelow,0,lower_tail_endpoint,catboost_calibrated,0.0030071863269666467,9.043169605095152e-06,0.003011716997095197
2026-05-05,event_day_open,highest-temperature-in-hong-kong-on-may-5-2026-28corhigher,0,upper_tail,catboost_calibrated,0.0052461671080843205,2.7522269325945804e-05,0.005259976561722428
