pipeline,model,decision_rule,strategy,threshold,n_positions,gross_pnl,break_even_cost_per_position
21a,catboost_platt,12h_prior,binary_contract_edge,0.0,110,-3.1199999999999983,-0.028363636363636348
21a,catboost_platt,12h_prior,binary_contract_edge,0.02,96,-3.4524999999999997,-0.03596354166666666
21a,catboost_platt,12h_prior,binary_contract_edge,0.05,51,-3.2534999999999994,-0.0637941176470588
21a,catboost_platt,12h_prior,binary_contract_edge,0.1,33,-0.552,-0.01672727272727273
21a,catboost_platt,24h_prior,binary_contract_edge,0.0,110,-3.61,-0.032818181818181816
21a,catboost_platt,24h_prior,binary_contract_edge,0.02,89,-3.096,-0.03478651685393259
21a,catboost_platt,24h_prior,binary_contract_edge,0.05,49,-2.0885,-0.04262244897959183
21a,catboost_platt,24h_prior,binary_contract_edge,0.1,31,-0.4179999999999999,-0.013483870967741934
21a,catboost_platt,6h_prior,binary_contract_edge,0.0,110,1.8645,0.01695
21a,catboost_platt,6h_prior,binary_contract_edge,0.02,94,2.4360000000000004,0.02591489361702128
21a,catboost_platt,6h_prior,binary_contract_edge,0.05,51,2.1860000000000004,0.04286274509803922
21a,catboost_platt,6h_prior,binary_contract_edge,0.1,34,0.92,0.027058823529411767
21a,catboost_platt,event_day_open,binary_contract_edge,0.0,110,1.8640000000000008,0.016945454545454552
21a,catboost_platt,event_day_open,binary_contract_edge,0.02,95,1.7055000000000007,0.017952631578947376
21a,catboost_platt,event_day_open,binary_contract_edge,0.05,50,0.3639999999999999,0.007279999999999997
21a,catboost_platt,event_day_open,binary_contract_edge,0.1,26,-0.21450000000000014,-0.008250000000000006
21a,catboost_raw,12h_prior,binary_contract_edge,0.0,110,-1.929999999999999,-0.017545454545454538
21a,catboost_raw,12h_prior,binary_contract_edge,0.02,53,-2.202,-0.041547169811320755
21a,catboost_raw,12h_prior,binary_contract_edge,0.05,44,-1.9620000000000004,-0.0445909090909091
21a,catboost_raw,12h_prior,binary_contract_edge,0.1,32,-0.902,-0.0281875
21a,catboost_raw,24h_prior,binary_contract_edge,0.0,110,-1.8639999999999997,-0.01694545454545454
21a,catboost_raw,24h_prior,binary_contract_edge,0.02,56,-1.6954999999999998,-0.03027678571428571
21a,catboost_raw,24h_prior,binary_contract_edge,0.05,46,-1.4929999999999999,-0.03245652173913043
21a,catboost_raw,24h_prior,binary_contract_edge,0.1,35,-0.4235000000000003,-0.012100000000000008
21a,catboost_raw,6h_prior,binary_contract_edge,0.0,110,0.054500000000001325,0.0004954545454545575
21a,catboost_raw,6h_prior,binary_contract_edge,0.02,51,0.14649999999999996,0.0028725490196078425
21a,catboost_raw,6h_prior,binary_contract_edge,0.05,43,0.1685000000000002,0.003918604651162796
21a,catboost_raw,6h_prior,binary_contract_edge,0.1,35,0.6484999999999999,0.018528571428571426
21a,catboost_raw,event_day_open,binary_contract_edge,0.0,110,0.42400000000000104,0.0038545454545454642
21a,catboost_raw,event_day_open,binary_contract_edge,0.02,55,0.47550000000000026,0.00864545454545455
21a,catboost_raw,event_day_open,binary_contract_edge,0.05,43,1.0844999999999998,0.025220930232558135
21a,catboost_raw,event_day_open,binary_contract_edge,0.1,31,-0.12950000000000017,-0.004177419354838715
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.0,110,1.2399999999999998,0.011272727272727271
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.02,39,1.1785,0.03021794871794872
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.05,32,0.9709999999999996,0.03034374999999999
21a,ecmwf_bias_adaptive_sigma,12h_prior,binary_contract_edge,0.1,14,4.345,0.31035714285714283
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.0,110,2.3749999999999996,0.021590909090909088
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.02,36,2.0745,0.057625
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.05,22,2.0500000000000003,0.0931818181818182
21a,ecmwf_bias_adaptive_sigma,24h_prior,binary_contract_edge,0.1,7,1.675,0.2392857142857143
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.0,110,0.6834999999999996,0.0062136363636363596
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.02,43,0.4274999999999999,0.009941860465116276
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.05,34,1.1010000000000002,0.03238235294117647
21a,ecmwf_bias_adaptive_sigma,6h_prior,binary_contract_edge,0.1,23,1.1455000000000002,0.04980434782608696
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.0,110,1.7239999999999993,0.015672727272727265
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.02,41,1.4220000000000002,0.034682926829268296
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.05,30,1.6164999999999994,0.05388333333333331
21a,ecmwf_bias_adaptive_sigma,event_day_open,binary_contract_edge,0.1,19,1.4415,0.07586842105263158
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.0,110,0.811,0.007372727272727273
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.02,43,0.659,0.015325581395348838
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.05,30,1.0645,0.03548333333333333
21a,ecmwf_bias_fixed_sigma,12h_prior,binary_contract_edge,0.1,22,2.4050000000000002,0.10931818181818183
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.0,110,1.7949999999999995,0.016318181818181815
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.02,41,0.22449999999999964,0.005475609756097552
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.05,25,2.4515,0.09806
21a,ecmwf_bias_fixed_sigma,24h_prior,binary_contract_edge,0.1,12,1.935,0.16125
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.0,110,0.1385000000000004,0.0012590909090909128
