model,strategy,threshold,n_books_across_decision_rules,n_active_books_across_decision_rules,n_positions_across_decision_rules,total_net_pnl_across_decision_rules,diagnostic_scope
catboost_platt,proportional_positive_edge,0.0,40,40,357,-0.5864723447522125,pooled_across_decision_rules_not_single_portfolio
catboost_platt,proportional_positive_edge,0.02,40,40,206,-0.6386747931678958,pooled_across_decision_rules_not_single_portfolio
catboost_platt,proportional_positive_edge,0.05,40,36,62,-0.7720611852477961,pooled_across_decision_rules_not_single_portfolio
catboost_platt,proportional_positive_edge,0.1,40,20,28,-1.6920384620591156,pooled_across_decision_rules_not_single_portfolio
catboost_platt,single_best_edge,0.0,40,40,40,-2.5015,pooled_across_decision_rules_not_single_portfolio
catboost_platt,single_best_edge,0.02,40,40,40,-2.5015,pooled_across_decision_rules_not_single_portfolio
catboost_platt,single_best_edge,0.05,40,36,36,-2.1805000000000003,pooled_across_decision_rules_not_single_portfolio
catboost_platt,single_best_edge,0.1,40,20,20,-1.814,pooled_across_decision_rules_not_single_portfolio
catboost_raw,proportional_positive_edge,0.0,40,40,360,-0.5706794269314277,pooled_across_decision_rules_not_single_portfolio
catboost_raw,proportional_positive_edge,0.02,40,40,94,-1.1645572188367164,pooled_across_decision_rules_not_single_portfolio
catboost_raw,proportional_positive_edge,0.05,40,38,60,-1.3319740723861726,pooled_across_decision_rules_not_single_portfolio
catboost_raw,proportional_positive_edge,0.1,40,25,34,0.6195001444893402,pooled_across_decision_rules_not_single_portfolio
catboost_raw,single_best_edge,0.0,40,40,40,-2.411,pooled_across_decision_rules_not_single_portfolio
catboost_raw,single_best_edge,0.02,40,40,40,-2.411,pooled_across_decision_rules_not_single_portfolio
catboost_raw,single_best_edge,0.05,40,38,38,-1.7460000000000002,pooled_across_decision_rules_not_single_portfolio
catboost_raw,single_best_edge,0.1,40,25,25,0.08199999999999996,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,proportional_positive_edge,0.0,40,40,124,1.646351842371248,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,proportional_positive_edge,0.02,40,40,81,1.3023417280420655,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,proportional_positive_edge,0.05,40,37,60,1.7251769613247196,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,proportional_positive_edge,0.1,40,22,33,2.370286417471459,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,single_best_edge,0.0,40,40,40,1.6464999999999999,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,single_best_edge,0.02,40,40,40,1.6464999999999999,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,single_best_edge,0.05,40,37,37,1.9144999999999999,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_adaptive_sigma,single_best_edge,0.1,40,22,22,2.3335,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,proportional_positive_edge,0.0,40,40,199,1.3802503450932533,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,proportional_positive_edge,0.02,40,39,115,1.442990902506211,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,proportional_positive_edge,0.05,40,36,76,1.3892280398881418,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,proportional_positive_edge,0.1,40,23,33,2.0582941486635975,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,single_best_edge,0.0,40,40,40,2.5540000000000003,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,single_best_edge,0.02,40,39,39,2.359,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,single_best_edge,0.05,40,36,36,1.744,pooled_across_decision_rules_not_single_portfolio
ecmwf_bias_fixed_sigma,single_best_edge,0.1,40,23,23,2.041,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,proportional_positive_edge,0.0,40,40,253,-1.0821426893746466,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,proportional_positive_edge,0.02,40,40,173,-1.0952283630923012,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,proportional_positive_edge,0.05,40,39,141,-1.0532483622838777,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,proportional_positive_edge,0.1,40,38,97,-1.2233864814407411,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,single_best_edge,0.0,40,40,40,-1.3405,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,single_best_edge,0.02,40,40,40,-1.3405,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,single_best_edge,0.05,40,39,39,-1.2805,pooled_across_decision_rules_not_single_portfolio
ecmwf_raw,single_best_edge,0.1,40,38,38,-1.1705,pooled_across_decision_rules_not_single_portfolio
