event_date,decision_rule,market_slug,market_price_staleness_hours
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-29c,0.9983333333333332
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-30c,0.9977777777777778
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-31c,0.9977777777777778
2026-05-24,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,0.9972222222222222
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-22corbelow,0.9991666666666666
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-23c,0.9988888888888888
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-24c,0.9983333333333332
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-25c,0.9983333333333332
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-26c,0.9988888888888888
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-27c,0.9988888888888888
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-28c,0.9991666666666666
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-29c,0.9991666666666666
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-30c,0.9988888888888888
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-31c,0.9988888888888888
2026-05-24,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,0.9986111111111112
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-22corbelow,0.9988888888888888
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-23c,0.9986111111111112
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-24c,0.9977777777777778
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-25c,0.9977777777777778
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-26c,0.9986111111111112
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-27c,0.9983333333333332
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-28c,0.9988888888888888
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-29c,0.9988888888888888
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-30c,0.9983333333333332
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-31c,0.9983333333333332
2026-05-24,event_day_open,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,0.9980555555555556
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-23corbelow,0.9975
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-24c,0.9986111111111112
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-25c,0.9980555555555556
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-26c,0.9980555555555556
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-27c,0.9975
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-28c,0.9986111111111112
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-29c,0.9975
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-30c,0.9975
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-31c,0.9986111111111112
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-32c,0.9986111111111112
2026-05-25,12h_prior,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,0.9980555555555556
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-23corbelow,0.9980555555555556
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-24c,0.9988888888888888
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-25c,0.9986111111111112
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-26c,0.9986111111111112
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-27c,0.9980555555555556
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-28c,0.9988888888888888
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-29c,0.9980555555555556
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-30c,0.9980555555555556
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-31c,0.9988888888888888
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-32c,0.9988888888888888
2026-05-25,24h_prior,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,0.9986111111111112
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-23corbelow,0.9977777777777778
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-24c,0.9986111111111112
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-25c,0.9983333333333332
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-26c,0.9983333333333332
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-27c,0.9977777777777778
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-28c,0.9986111111111112
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-29c,0.9977777777777778
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-30c,0.9977777777777778
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-31c,0.9986111111111112
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-32c,0.9986111111111112
2026-05-25,6h_prior,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,0.9983333333333332
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-23corbelow,0.9980555555555556
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-24c,0.9988888888888888
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-25c,0.9983333333333332
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-26c,0.9988888888888888
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-27c,0.9977777777777778
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-28c,0.9988888888888888
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-29c,0.9977777777777778
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-30c,0.9977777777777778
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-31c,0.9988888888888888
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-32c,0.9988888888888888
2026-05-25,event_day_open,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,0.9983333333333332
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-23corbelow,0.9980555555555556
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-24c,0.9986111111111112
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-25c,0.9980555555555556
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-26c,0.9977777777777778
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-27c,0.9977777777777778
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-28c,0.9986111111111112
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-29c,0.9977777777777778
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-30c,0.9980555555555556
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-31c,0.9975
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-32c,0.9986111111111112
2026-05-26,12h_prior,highest-temperature-in-hong-kong-on-may-26-2026-33corhigher,0.9977777777777778
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-23corbelow,0.9983333333333332
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-24c,0.9988888888888888
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-25c,0.9983333333333332
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-26c,0.9980555555555556
2026-05-26,24h_prior,highest-temperature-in-hong-kong-on-may-26-2026-27c,0.9977777777777778
