decision_rule,n,mean_brier,median_brier,mean_log_score,median_log_score,mean_p_market,outcome_rate,median_staleness_hours,p95_staleness_hours
24h_prior,679,0.06867808983799704,0.0004,0.21845493564325666,0.0202027073175194,0.0974138438880707,0.09278350515463918,0.9975,5.984750000000001
12h_prior,747,0.06515850736278446,0.0003239999999999,0.20996959080454833,0.0181639706276711,0.09690763052208835,0.09103078982597054,0.9977777777777778,5.688361111111044
6h_prior,747,0.0657189876171352,9.025e-05,0.21062421653358696,0.0095454128435313,0.0952255689424364,0.09103078982597054,0.9977777777777778,3.6937222222221533
event_day_open,748,0.06597364004010695,3.025e-05,0.20755880322316544,0.0055151806881101,0.09555013368983958,0.09090909090909091,0.9975,6.645736111111088
