decision_rule,contract_event_type_v2,n,mean_brier,mean_log_score,mean_p_market,outcome_rate,median_staleness_hours
24h_prior,interior_bin,556,0.0743941614208633,0.23434672409373827,0.10096672661870504,0.09712230215827339,0.9975
24h_prior,lower_tail_endpoint,62,6.443548387096774e-06,0.0021322620819575386,0.0021290322580645163,0.0,0.9975
24h_prior,upper_tail,61,0.0863749139344262,0.29347413863231775,0.16187704918032786,0.14754098360655737,0.9975
12h_prior,interior_bin,611,0.07135792266775777,0.22852422023096647,0.09966693944353519,0.09328968903436989,0.9977777777777778
12h_prior,lower_tail_endpoint,68,2.058455882352941e-05,0.001841392590454787,0.0018308823529411768,0.0,0.9979166666666667
12h_prior,upper_tail,68,0.07459286029411763,0.2513789863783256,0.16719117647058823,0.16176470588235295,0.9977777777777778
6h_prior,interior_bin,611,0.07283146849427168,0.23172231447703887,0.09778477905073649,0.09328968903436989,0.9977777777777778
6h_prior,lower_tail_endpoint,68,1.823529411764706e-06,0.0010891484095140883,0.001088235294117647,0.0,0.9977777777777778
6h_prior,upper_tail,68,0.06752841911764705,0.23058666931281963,0.16636764705882354,0.16176470588235295,0.9977777777777778
event_day_open,interior_bin,612,0.07228094485294118,0.22475205552692037,0.09729330065359477,0.09313725490196079,0.9977777777777778
event_day_open,lower_tail_endpoint,68,1.1176470588235294e-06,0.0008093831831592751,0.0008088235294117647,0.0,0.997638888888889
event_day_open,upper_tail,68,0.07518041911764704,0.2595689525293774,0.17460294117647057,0.16176470588235295,0.9975
