model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate
ecmwf_bias_adaptive_sigma,24h_prior,proportional_positive_edge,0.02,10,10,15,10.0,0.40819465796982074,0.04081946579698208,0.04081946579698208,0.4
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,10,10,23,10.0,0.3935944490684938,0.03935944490684938,0.03935944490684938,0.3
catboost_raw,24h_prior,proportional_positive_edge,0.02,10,10,25,10.0,0.18731183042877225,0.018731183042877225,0.018731183042877225,0.4
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.02,10,10,24,10.0,0.09042524409093289,0.009042524409093288,0.009042524409093288,0.3
catboost_platt,24h_prior,proportional_positive_edge,0.02,10,10,47,10.0,0.07562509430791248,0.0075625094307912475,0.0075625094307912475,0.2
catboost_platt,6h_prior,proportional_positive_edge,0.02,10,10,54,10.0,0.03293471876067085,0.003293471876067085,0.003293471876067085,0.3
ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.02,10,9,32,9.0,-0.007728090780076885,-0.0007728090780076885,-0.0008586767533418792,0.2222222222222222
ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.02,10,10,34,10.0,-0.13964118671603876,-0.013964118671603876,-0.013964118671603876,0.2
ecmwf_raw,6h_prior,proportional_positive_edge,0.02,10,10,44,10.0,-0.16242191244268436,-0.016242191244268435,-0.016242191244268435,0.1
ecmwf_raw,event_day_open,proportional_positive_edge,0.02,10,10,44,10.0,-0.21344437873884875,-0.021344437873884875,-0.021344437873884875,0.1
catboost_raw,6h_prior,proportional_positive_edge,0.02,10,10,23,10.0,-0.2151293872586164,-0.02151293872586164,-0.02151293872586164,0.2
ecmwf_raw,12h_prior,proportional_positive_edge,0.02,10,10,42,10.0,-0.3243096928881618,-0.03243096928881618,-0.03243096928881618,0.1
