decision_rule,max_staleness_hours,mean_net_pnl_per_active_book,mean_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_opportunities,n_positions,n_trades,pipeline,positive_book_rate,positive_trade_rate,robustness_cost,robustness_scope,staleness_quantile,staleness_rule,strategy,threshold,total_net_pnl,unrestricted_staleness
6h_prior,0.9980555555555556,0.0531995222663206,,ecmwf_bias_fixed_sigma,3.0,10.0,3,,8.0,,21b,0.3333333333333333,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,0.1595985667989619,False
24h_prior,0.9980555555555556,0.0092857142857142,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,7.0,,21b,0.2857142857142857,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.0649999999999999,False
event_day_open,0.9980555555555556,0.0047857142857142,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,7.0,,21b,0.1428571428571428,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,0.0334999999999998,False
event_day_open,0.9980555555555556,-0.0034494806499792,,ecmwf_bias_adaptive_sigma,7.0,10.0,7,,13.0,,21b,0.2857142857142857,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.0241463645498549,False
24h_prior,0.9980555555555556,-0.0218480470181515,,ecmwf_raw,2.0,10.0,2,,7.0,,21b,0.5,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.0436960940363031,False
event_day_open,0.9980555555555556,-0.0564602879199615,,ecmwf_raw,1.0,10.0,1,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.0564602879199615,False
24h_prior,0.9980555555555556,-0.0765814490557516,,catboost_platt,1.0,10.0,1,,2.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.0765814490557516,False
6h_prior,0.9980555555555556,-0.034911725622876,,ecmwf_raw,3.0,10.0,3,,13.0,,21b,0.3333333333333333,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.1047351768686281,False
event_day_open,0.9980555555555556,-0.0211,,ecmwf_raw,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.1055,False
12h_prior,0.9980555555555556,-0.0586285571928199,,ecmwf_raw,2.0,10.0,2,,9.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.1172571143856398,False
