event_slug,threshold_K,yes_token_id,decision_rule,cutoff_utc,lookback_hours,interval,fidelity,status_code,history_rows,raw_path,request_url,text_preview
highest-temperature-in-hong-kong-on-march-13-2026,23.0,105079727049176982586460786683325690984261048416816328512834860964756914308798,last_price_before_event_day_hkt,2026-03-12 16:00:00+00:00,3,1m,60,200,3,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-13-2026__K23.0__105079727049176982586460__last_price_before_event_day_hkt__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=105079727049176982586460786683325690984261048416816328512834860964756914308798&interval=1m&fidelity=60&startTs=1773320400&endTs=1773331200,"{""history"":[{""t"":1773320434,""p"":0.059},{""t"":1773324031,""p"":0.0315},{""t"":1773327633,""p"":0.0275}]}
"
highest-temperature-in-hong-kong-on-march-13-2026,23.0,105079727049176982586460786683325690984261048416816328512834860964756914308798,last_price_before_24h_prior,2026-03-11 16:00:00+00:00,3,1m,60,200,3,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-13-2026__K23.0__105079727049176982586460__last_price_before_24h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=105079727049176982586460786683325690984261048416816328512834860964756914308798&interval=1m&fidelity=60&startTs=1773234000&endTs=1773244800,"{""history"":[{""t"":1773234026,""p"":0.225},{""t"":1773237627,""p"":0.06},{""t"":1773241240,""p"":0.035}]}
"
highest-temperature-in-hong-kong-on-march-13-2026,23.0,105079727049176982586460786683325690984261048416816328512834860964756914308798,last_price_before_12h_prior,2026-03-12 04:00:00+00:00,3,1m,60,200,3,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-13-2026__K23.0__105079727049176982586460__last_price_before_12h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=105079727049176982586460786683325690984261048416816328512834860964756914308798&interval=1m&fidelity=60&startTs=1773277200&endTs=1773288000,"{""history"":[{""t"":1773277227,""p"":0.1975},{""t"":1773280826,""p"":0.3275},{""t"":1773284433,""p"":0.218}]}
"
highest-temperature-in-hong-kong-on-march-13-2026,23.0,105079727049176982586460786683325690984261048416816328512834860964756914308798,last_price_before_6h_prior,2026-03-12 10:00:00+00:00,3,1m,60,200,3,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-13-2026__K23.0__105079727049176982586460__last_price_before_6h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=105079727049176982586460786683325690984261048416816328512834860964756914308798&interval=1m&fidelity=60&startTs=1773298800&endTs=1773309600,"{""history"":[{""t"":1773298827,""p"":0.1245},{""t"":1773302429,""p"":0.1685},{""t"":1773306029,""p"":0.115}]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,3,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773406800&endTs=1773417600,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,3,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb3h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1h&fidelity=60&startTs=1773406800&endTs=1773417600,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,3,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb3h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=6h&fidelity=60&startTs=1773406800&endTs=1773417600,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,12,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb12h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773374400&endTs=1773417600,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,12,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb12h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1h&fidelity=60&startTs=1773374400&endTs=1773417600,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,12,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb12h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=6h&fidelity=60&startTs=1773374400&endTs=1773417600,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_event_day_hkt,2026-03-13 16:00:00+00:00,24,1m,60,200,4,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_event_day_hkt__lb24h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773331200&endTs=1773417600,"{""history"":[{""t"":1773331235,""p"":0.075},{""t"":1773338454,""p"":0.075},{""t"":1773342031,""p"":0.065},{""t"":1773345637,""p"":0.075}]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_24h_prior,2026-03-12 16:00:00+00:00,3,1m,60,200,3,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_24h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773320400&endTs=1773331200,"{""history"":[{""t"":1773320451,""p"":0.09},{""t"":1773324037,""p"":0.09},{""t"":1773327647,""p"":0.065}]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_12h_prior,2026-03-13 04:00:00+00:00,3,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_12h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773363600&endTs=1773374400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_12h_prior,2026-03-13 04:00:00+00:00,3,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_12h_prior__lb3h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1h&fidelity=60&startTs=1773363600&endTs=1773374400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_12h_prior,2026-03-13 04:00:00+00:00,3,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_12h_prior__lb3h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=6h&fidelity=60&startTs=1773363600&endTs=1773374400,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_12h_prior,2026-03-13 04:00:00+00:00,12,1m,60,200,4,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_12h_prior__lb12h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773331200&endTs=1773374400,"{""history"":[{""t"":1773331235,""p"":0.075},{""t"":1773338454,""p"":0.075},{""t"":1773342031,""p"":0.065},{""t"":1773345637,""p"":0.075}]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,3,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb3h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773385200&endTs=1773396000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,3,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb3h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1h&fidelity=60&startTs=1773385200&endTs=1773396000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,3,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb3h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=6h&fidelity=60&startTs=1773385200&endTs=1773396000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,12,1m,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb12h__1m__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1m&fidelity=60&startTs=1773352800&endTs=1773396000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,12,1h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb12h__1h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=1h&fidelity=60&startTs=1773352800&endTs=1773396000,"{""history"":[]}
"
highest-temperature-in-hong-kong-on-march-14-2026,24.0,59334591350541294762323929822958970303641554792870441284418817622760409799912,last_price_before_6h_prior,2026-03-13 10:00:00+00:00,12,6h,60,200,0,data/raw/polymarket_clob_price_history_18h/highest-temperature-in-hong-kong-on-march-14-2026__K24.0__593345913505412947623239__last_price_before_6h_prior__lb12h__6h__fid60.json,https://clob.polymarket.com/prices-history?market=59334591350541294762323929822958970303641554792870441284418817622760409799912&interval=6h&fidelity=60&startTs=1773352800&endTs=1773396000,"{""history"":[]}
"
