event_date,decision_rule,market_slug,target_Y_event,contract_event_type_v2,model,probability,brier,log_score,book_model,book_raw_probability,book_probability_sum,book_abs_probability_error,book_n_contracts,book_n_winners,book_complete_for_scoring,book_normalised_probability,categorical_log_component,multiclass_brier_component
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-19c,0,interior_bin,catboost_calibrated,0.0040818526547457944,1.666152109505529e-05,0.004090206154880351,catboost_calibrated,0.0040818526547457944,0.8578313584713926,0.14216864152860742,11,1,True,0.004758339287129147,0.0,2.264179277143672e-05
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-21c,0,interior_bin,catboost_calibrated,0.004471543812992512,1.9994704071511618e-05,0.004481571067732632,catboost_calibrated,0.004471543812992512,0.8578313584713926,0.14216864152860742,11,1,True,0.005212614074822997,0.0,2.7171345493042806e-05
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-23c,0,interior_bin,catboost_calibrated,0.009165160383454935,8.400016485445181e-05,0.009207418867916957,catboost_calibrated,0.009165160383454935,0.8578313584713926,0.14216864152860742,11,1,True,0.010684105090057254,0.0,0.00011415010157538733
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-20c,0,interior_bin,catboost_calibrated,0.004471543812992512,1.9994704071511618e-05,0.004481571067732632,catboost_calibrated,0.004471543812992512,0.8578313584713926,0.14216864152860742,11,1,True,0.005212614074822997,0.0,2.7171345493042806e-05
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-22c,0,interior_bin,catboost_calibrated,0.005017657207889405,2.5176883855884502e-05,0.005030287918582563,catboost_calibrated,0.005017657207889405,0.8578313584713926,0.14216864152860742,11,1,True,0.005849235002122782,0.0,3.421355011005831e-05
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-17c,0,interior_bin,catboost_calibrated,0.004072059503386416,1.6581668599119627e-05,0.004080372913828985,catboost_calibrated,0.004072059503386416,0.8578313584713926,0.14216864152860742,11,1,True,0.004746923113935352,0.0,2.2533279049613697e-05
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-18c,0,interior_bin,catboost_calibrated,0.0040818526547457944,1.666152109505529e-05,0.004090206154880351,catboost_calibrated,0.0040818526547457944,0.8578313584713926,0.14216864152860742,11,1,True,0.004758339287129147,0.0,2.264179277143672e-05
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-25c,0,interior_bin,catboost_calibrated,0.11992804168498049,0.014382735182394418,0.12775160404041339,catboost_calibrated,0.11992804168498049,0.8578313584713926,0.14216864152860742,11,1,True,0.13980375105275417,0.0,0.01954508880842046
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-24c,0,interior_bin,catboost_calibrated,0.033992600787500896,0.0011554969082984065,0.03458378515868571,catboost_calibrated,0.033992600787500896,0.8578313584713926,0.14216864152860742,11,1,True,0.03962620444194743,0.0,0.001570236078475014
2026-05-04,12h_prior,highest-temperature-in-hong-kong-on-may-4-2026-16corbelow,0,lower_tail_endpoint,catboost_calibrated,0.004292701419988379,1.8427285481170243e-05,0.004301941515524279,catboost_calibrated,0.004292701419988379,0.8578313584713926,0.14216864152860742,11,1,True,0.005004132079803812,0.0,2.504133787212162e-05
