metric,decision_rule,market_value,ecmwf_proxy_value,winner,winning_value,lower_better,rank
binary_mean_brier,6h_prior,0.06464077083333333,0.08100897923388817,market,0.06464077083333333,True,1
binary_mean_brier,12h_prior,0.06578320634328358,0.08339255195478693,market,0.06578320634328358,True,2
binary_mean_brier,event_day_open,0.06594871464646465,0.08152122405641647,market,0.06594871464646465,True,3
binary_mean_brier,24h_prior,0.06817996875,0.08331754107663397,market,0.06817996875,True,4
binary_mean_log_score,6h_prior,0.20565335686826994,0.2793561098731066,market,0.20565335686826994,True,1
binary_mean_log_score,event_day_open,0.2066605213897923,0.2828178294980589,market,0.2066605213897923,True,2
binary_mean_log_score,12h_prior,0.21146083462954146,0.2963304151662074,market,0.21146083462954146,True,3
binary_mean_log_score,24h_prior,0.21577132425194648,0.2892335162670012,market,0.21577132425194648,True,4
normalised_categorical_log_score,6h_prior,1.429373629662664,2.100405419907815,market,1.429373629662664,True,1
normalised_categorical_log_score,event_day_open,1.434308024423729,2.164007232587621,market,1.434308024423729,True,2
normalised_categorical_log_score,12h_prior,1.4851794352199534,2.2703997285411504,market,1.4851794352199534,True,3
normalised_categorical_log_score,24h_prior,1.503969269464252,2.1981483677626517,market,1.503969269464252,True,4
normalised_multiclass_brier,6h_prior,0.7063544205525857,0.8855544150435681,market,0.7063544205525857,True,1
normalised_multiclass_brier,12h_prior,0.7205803641459216,0.9121172023101546,market,0.7205803641459216,True,2
normalised_multiclass_brier,event_day_open,0.7215026059772446,0.8967334646205812,market,0.7215026059772446,True,3
normalised_multiclass_brier,24h_prior,0.7419858914473373,0.902117254591159,market,0.7419858914473373,True,4
