decision_rule,n_books,full_book_rate,mean_total_book_probability,median_total_book_probability,mean_abs_book_probability_error,median_winning_probability_raw,median_winning_probability_normalised,mean_raw_categorical_log_score,mean_normalised_categorical_log_score,mean_raw_multiclass_brier,mean_normalised_multiclass_brier,median_max_staleness_hours
24h_prior,63,0.9523809523809523,1.049904761904762,1.0525000000000002,0.09707936507936507,0.275,0.24953789279112754,1.4542610356281378,1.4902894995671536,0.7401971904761905,0.7279499244506591,0.9988888888888888
12h_prior,68,0.9852941176470589,1.0645588235294117,1.05475,0.06883823529411766,0.285,0.26964846878526605,1.4133647365904,1.4744322319736654,0.7157853676470589,0.7148187612509569,0.9990277777777777
6h_prior,68,0.9852941176470589,1.046080882352941,1.03525,0.05374264705882352,0.3125,0.29444638491093256,1.4353588003983841,1.479046567464237,0.7219424080882353,0.7197520167643491,0.9988888888888888
event_day_open,68,1.0,1.0510514705882354,1.03625,0.06353676470588235,0.29,0.2977656233659054,1.39612898282473,1.4430324720841037,0.7257100404411765,0.7212286368425662,0.9988888888888888
