decision_rule,model,model_label,n_books,mean_total_book_probability,mean_abs_book_probability_error,median_winning_probability_normalised,mean_normalised_categorical_log_score,mean_normalised_multiclass_brier,categorical_log_rank_within_rule,multiclass_brier_rank_within_rule
24h_prior,market,Market,41,1.0528658536585365,0.05586585365853656,0.27531497900139984,1.4861554368513472,0.7374850182277318,3,3
24h_prior,ecmwf_raw,ECMWF raw proxy,41,0.9999999999999997,4.603363760640893e-16,0.12052465315267163,2.3158676570534777,0.9226711597131195,4,4
24h_prior,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",41,1.0,8.12358310701334e-18,0.23910157903677842,1.473196303176774,0.7244869848276355,2,2
24h_prior,ecmwf_bias_scale,ECMWF bias-and-scale corrected,41,1.0,1.0831444142684454e-17,0.2916579990672866,1.451254384172303,0.7206855540673067,1,1
12h_prior,market,Market,44,1.0385113636363636,0.04512499999999998,0.3105055959516756,1.4632807756865498,0.7090669476165997,3,3
12h_prior,ecmwf_raw,ECMWF raw proxy,44,0.9999999999999997,4.138104000875583e-16,0.1062039370826861,2.3639974719794705,0.9197975452897326,4,4
12h_prior,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",44,1.0,1.0092936587501423e-17,0.23930119068071648,1.4621822496877357,0.7090554852335339,2,2
12h_prior,ecmwf_bias_scale,ECMWF bias-and-scale corrected,44,1.0,5.046468293750712e-18,0.30443911331918716,1.428288455150547,0.7089538233499891,1,1
6h_prior,market,Market,43,1.0286162790697675,0.031290697674418534,0.3546099290780142,1.445145477035562,0.7055909973749538,1,1
6h_prior,ecmwf_raw,ECMWF raw proxy,43,0.9999999999999997,4.49253037871575e-16,0.12052465315267166,2.1819584332097928,0.8957490994584724,4,4
6h_prior,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",43,1.0,5.163828021512356e-18,0.24075500906158798,1.4690156143776867,0.7214010865462679,2,2
6h_prior,ecmwf_bias_scale,ECMWF bias-and-scale corrected,43,1.0,1.8073398075293247e-17,0.2665245127840693,1.4800384030400024,0.7309244314066146,3,3
event_day_open,market,Market,48,1.0367708333333334,0.045937499999999964,0.3479698837826677,1.3685687775745,0.7003091723348752,1,3
event_day_open,ecmwf_raw,ECMWF raw proxy,48,0.9999999999999996,4.2327252813834093e-16,0.13554374276020542,2.221497709267392,0.9052699693380261,4,4
event_day_open,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",48,1.0,6.938893903907228e-18,0.2493827034883522,1.4308850968052755,0.6959609534088044,3,2
event_day_open,ecmwf_bias_scale,ECMWF bias-and-scale corrected,48,1.0,6.938893903907228e-18,0.3537168521187959,1.3810966621627072,0.6721662789112773,2,1
