model,threshold,n_opportunities,n_dates,n_decision_rules,n_trades,trade_rate,total_net_pnl,mean_net_pnl_per_opportunity,mean_net_pnl_per_trade,hit_rate_trades,is_primary_threshold
catboost_platt,0.0,440,10,4,440,1.0,-3.0014999999999965,-0.006821590909090901,-0.006821590909090901,0.1,False
catboost_raw,0.0,440,10,4,440,1.0,-3.315499999999998,-0.007535227272727268,-0.007535227272727268,0.09772727272727273,False
ecmwf_bias_adaptive_sigma,0.0,440,10,4,440,1.0,6.022499999999998,0.013687499999999997,0.013687499999999997,0.7068181818181818,False
ecmwf_bias_fixed_sigma,0.0,440,10,4,440,1.0,2.6564999999999994,0.006037499999999999,0.006037499999999999,0.5318181818181819,False
ecmwf_raw,0.0,440,10,4,440,1.0,-3.8704999999999985,-0.008796590909090905,-0.008796590909090905,0.35909090909090907,False
catboost_platt,0.02,440,10,4,374,0.85,-2.4069999999999974,-0.00547045454545454,-0.006435828877005344,0.09893048128342247,False
catboost_raw,0.02,440,10,4,215,0.48863636363636365,-3.2755000000000005,-0.007444318181818183,-0.015234883720930233,0.1813953488372093,False
ecmwf_bias_adaptive_sigma,0.02,440,10,4,159,0.3613636363636364,5.102500000000001,0.01159659090909091,0.032091194968553456,0.44025157232704404,False
ecmwf_bias_fixed_sigma,0.02,440,10,4,186,0.42272727272727273,1.9350000000000018,0.004397727272727277,0.010403225806451623,0.3172043010752688,False
ecmwf_raw,0.02,440,10,4,267,0.6068181818181818,-4.177999999999999,-0.009495454545454543,-0.015647940074906365,0.2397003745318352,False
catboost_platt,0.05,440,10,4,201,0.45681818181818185,-2.791999999999999,-0.006345454545454543,-0.013890547263681587,0.13432835820895522,True
catboost_raw,0.05,440,10,4,176,0.4,-2.202000000000001,-0.005004545454545457,-0.012511363636363633,0.2215909090909091,True
ecmwf_bias_adaptive_sigma,0.05,440,10,4,118,0.2681818181818182,5.738500000000002,0.013042045454545459,0.04863135593220339,0.4491525423728814,True
ecmwf_bias_fixed_sigma,0.05,440,10,4,137,0.31136363636363634,5.133000000000001,0.011665909090909093,0.03746715328467154,0.3722627737226277,True
ecmwf_raw,0.05,440,10,4,228,0.5181818181818182,-3.9779999999999993,-0.009040909090909089,-0.017447368421052628,0.25877192982456143,True
catboost_platt,0.1,440,10,4,124,0.2818181818181818,-0.2645000000000006,-0.0006011363636363651,-0.002133064516129032,0.1532258064516129,False
catboost_raw,0.1,440,10,4,133,0.30227272727272725,-0.8065000000000004,-0.0018329545454545465,-0.006063909774436095,0.23308270676691728,False
ecmwf_bias_adaptive_sigma,0.1,440,10,4,63,0.1431818181818182,8.607000000000001,0.019561363636363637,0.1366190476190476,0.5238095238095238,False
ecmwf_bias_fixed_sigma,0.1,440,10,4,84,0.19090909090909092,6.8795,0.015635227272727273,0.08189880952380954,0.4880952380952381,False
ecmwf_raw,0.1,440,10,4,174,0.39545454545454545,-5.054999999999999,-0.01148863636363636,-0.029051724137931022,0.25862068965517243,False
