event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market_raw,p_model_raw,q_market,q_model,normalised_edge,absolute_normalised_edge,market_probability_sum_raw,model_probability_sum_raw,book_n_contracts,allocation_weight,position_indicator,gross_pnl_component,net_pnl_component,strategy,threshold
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0,catboost_platt,0.07,0.1704526312409161,0.06635071090047394,0.13754009125219643,0.0711893803517225,0.0711893803517225,1.055,1.2392941555373156,11,0.2664055494571132,1,-0.018648388461997924,-0.018648388461997924,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-30c,interior_bin,0,catboost_platt,0.27,0.1514042477141675,0.2559241706161138,0.12216974237930121,-0.13375442823681255,0.13375442823681255,1.055,1.2392941555373156,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-23c,interior_bin,0,catboost_platt,0.0025,0.0207272693138766,0.002369668246445498,0.016725060165308343,0.014355391918862846,0.014355391918862846,1.055,1.2392941555373156,11,0.05372087877323862,1,-0.00013430219693309656,-0.00013430219693309656,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-26c,interior_bin,0,catboost_platt,0.011,0.0469563537042664,0.01042654028436019,0.03788959505252224,0.027463054768162052,0.027463054768162052,1.055,1.2392941555373156,11,0.10277249442452802,1,-0.0011304974386698082,-0.0011304974386698082,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-25c,interior_bin,0,catboost_platt,0.0085,0.0566424096196796,0.008056872037914694,0.045705379442479,0.03764850740456431,0.03764850740456431,1.055,1.2392941555373156,11,0.14088858832313844,1,-0.0011975530007466769,-0.0011975530007466769,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-24c,interior_bin,0,catboost_platt,0.0075,0.0434882332212401,0.007109004739336493,0.035091130727058974,0.02798212598772248,0.02798212598772248,1.055,1.2392941555373156,11,0.10471496748400906,1,-0.000785362256130068,-0.000785362256130068,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-22c,interior_bin,0,catboost_platt,0.0025,0.0192166260704162,0.002369668246445498,0.015506105620327507,0.01313643737388201,0.01313643737388201,1.055,1.2392941555373156,11,0.04915929594003437,1,-0.00012289823985008592,-0.00012289823985008592,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0,catboost_platt,0.195,0.2422728724793855,0.18483412322274884,0.19549262892662014,0.010658505703871307,0.010658505703871307,1.055,1.2392941555373156,11,0.0398863574089658,1,-0.007777839694748332,-0.007777839694748332,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-27c,interior_bin,0,catboost_platt,0.0315,0.1015579317739349,0.029857819905213273,0.08194820521033028,0.052090385305117004,0.052090385305117004,1.055,1.2392941555373156,11,0.194933115727094,1,-0.006140393145403461,-0.006140393145403461,proportional_positive_edge,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-21corbelow,lower_tail_endpoint,0,catboost_platt,0.0015,0.0174986466892751,0.0014218009478672987,0.014119849279599228,0.012698048331731928,0.012698048331731928,1.055,1.2392941555373156,11,0.04751875246187858,1,-7.127812869281787e-05,-7.127812869281787e-05,proportional_positive_edge,0.0
