model,decision_rule,threshold,event_date,n_trades,total_net_pnl,total_gross_pnl,cumulative_net_pnl
catboost_platt,12h_prior,0.0,2026-05-22,11,-0.605,-0.605,-0.605
catboost_platt,12h_prior,0.0,2026-05-23,11,-0.07600000000000001,-0.07600000000000001,-0.681
catboost_platt,12h_prior,0.0,2026-05-24,11,-1.1515,-1.1515,-1.8325
catboost_platt,12h_prior,0.0,2026-05-25,11,-0.040999999999999995,-0.040999999999999995,-1.8735
catboost_platt,12h_prior,0.0,2026-05-26,11,0.7905,0.7905,-1.0830000000000002
catboost_platt,12h_prior,0.0,2026-05-27,11,-0.036499999999999984,-0.036499999999999984,-1.1195000000000002
catboost_platt,12h_prior,0.0,2026-05-28,11,-1.0615,-1.0615,-2.181
catboost_platt,12h_prior,0.0,2026-05-29,11,-0.525,-0.525,-2.7060000000000004
catboost_platt,12h_prior,0.0,2026-05-30,11,0.47450000000000003,0.47450000000000003,-2.2315000000000005
catboost_platt,12h_prior,0.0,2026-05-31,11,-0.8885000000000001,-0.8885000000000001,-3.12
catboost_platt,12h_prior,0.02,2026-05-22,8,-0.5984999999999999,-0.5984999999999999,-0.5984999999999999
catboost_platt,12h_prior,0.02,2026-05-23,10,-0.07550000000000001,-0.07550000000000001,-0.6739999999999999
catboost_platt,12h_prior,0.02,2026-05-24,9,-1.1505,-1.1505,-1.8245
catboost_platt,12h_prior,0.02,2026-05-25,10,-0.040499999999999994,-0.040499999999999994,-1.865
catboost_platt,12h_prior,0.02,2026-05-26,10,0.791,0.791,-1.0739999999999998
catboost_platt,12h_prior,0.02,2026-05-27,11,-0.036499999999999984,-0.036499999999999984,-1.1105
catboost_platt,12h_prior,0.02,2026-05-28,10,-1.061,-1.061,-2.1715
catboost_platt,12h_prior,0.02,2026-05-29,10,-0.5245,-0.5245,-2.6959999999999997
catboost_platt,12h_prior,0.02,2026-05-30,10,0.47500000000000003,0.47500000000000003,-2.221
catboost_platt,12h_prior,0.02,2026-05-31,8,-1.2315,-1.2315,-3.4524999999999997
catboost_platt,12h_prior,0.05,2026-05-22,4,-0.37649999999999995,-0.37649999999999995,-0.37649999999999995
catboost_platt,12h_prior,0.05,2026-05-23,5,-0.9430000000000001,-0.9430000000000001,-1.3195000000000001
catboost_platt,12h_prior,0.05,2026-05-24,3,-0.2165,-0.2165,-1.536
catboost_platt,12h_prior,0.05,2026-05-25,5,0.1275,0.1275,-1.4085
catboost_platt,12h_prior,0.05,2026-05-26,5,0.3795,0.3795,-1.029
catboost_platt,12h_prior,0.05,2026-05-27,7,-0.03449999999999998,-0.03449999999999998,-1.0635000000000001
catboost_platt,12h_prior,0.05,2026-05-28,5,-0.654,-0.654,-1.7175
catboost_platt,12h_prior,0.05,2026-05-29,7,-0.523,-0.523,-2.2405
catboost_platt,12h_prior,0.05,2026-05-30,6,0.21200000000000002,0.21200000000000002,-2.0285
catboost_platt,12h_prior,0.05,2026-05-31,4,-1.225,-1.225,-3.2535
catboost_platt,12h_prior,0.1,2026-05-22,2,0.2,0.2,0.2
catboost_platt,12h_prior,0.1,2026-05-23,2,-0.52,-0.52,-0.32
catboost_platt,12h_prior,0.1,2026-05-24,2,-0.21,-0.21,-0.53
catboost_platt,12h_prior,0.1,2026-05-25,3,0.525,0.525,-0.0050000000000000044
catboost_platt,12h_prior,0.1,2026-05-26,3,0.385,0.385,0.38
catboost_platt,12h_prior,0.1,2026-05-27,6,-0.03349999999999998,-0.03349999999999998,0.34650000000000003
catboost_platt,12h_prior,0.1,2026-05-28,2,-0.13999999999999999,-0.13999999999999999,0.20650000000000004
catboost_platt,12h_prior,0.1,2026-05-29,5,-0.522,-0.522,-0.3155
catboost_platt,12h_prior,0.1,2026-05-30,5,0.21350000000000002,0.21350000000000002,-0.10199999999999998
catboost_platt,12h_prior,0.1,2026-05-31,3,-0.45,-0.45,-0.552
catboost_platt,24h_prior,0.0,2026-05-22,11,-0.20450000000000002,-0.20450000000000002,-0.20450000000000002
catboost_platt,24h_prior,0.0,2026-05-23,11,-1.7575,-1.7575,-1.9620000000000002
catboost_platt,24h_prior,0.0,2026-05-24,11,0.3269999999999999,0.3269999999999999,-1.635
catboost_platt,24h_prior,0.0,2026-05-25,11,0.33749999999999997,0.33749999999999997,-1.2975
catboost_platt,24h_prior,0.0,2026-05-26,11,-0.0480000000000001,-0.0480000000000001,-1.3455000000000001
catboost_platt,24h_prior,0.0,2026-05-27,11,-0.06250000000000001,-0.06250000000000001,-1.4080000000000001
catboost_platt,24h_prior,0.0,2026-05-28,11,-0.482,-0.482,-1.8900000000000001
catboost_platt,24h_prior,0.0,2026-05-29,11,-0.6515000000000001,-0.6515000000000001,-2.5415
catboost_platt,24h_prior,0.0,2026-05-30,11,0.45849999999999996,0.45849999999999996,-2.083
catboost_platt,24h_prior,0.0,2026-05-31,11,-1.527,-1.527,-3.6100000000000003
catboost_platt,24h_prior,0.02,2026-05-22,7,0.39949999999999997,0.39949999999999997,0.39949999999999997
catboost_platt,24h_prior,0.02,2026-05-23,10,-1.7570000000000001,-1.7570000000000001,-1.3575000000000002
catboost_platt,24h_prior,0.02,2026-05-24,7,-0.447,-0.447,-1.8045000000000002
catboost_platt,24h_prior,0.02,2026-05-25,10,0.33849999999999997,0.33849999999999997,-1.4660000000000002
catboost_platt,24h_prior,0.02,2026-05-26,10,-0.0475000000000001,-0.0475000000000001,-1.5135000000000003
catboost_platt,24h_prior,0.02,2026-05-27,10,0.32750000000000007,0.32750000000000007,-1.1860000000000002
catboost_platt,24h_prior,0.02,2026-05-28,8,-0.256,-0.256,-1.4420000000000002
catboost_platt,24h_prior,0.02,2026-05-29,10,-0.6500000000000001,-0.6500000000000001,-2.0920000000000005
catboost_platt,24h_prior,0.02,2026-05-30,9,0.20450000000000002,0.20450000000000002,-1.8875000000000002
catboost_platt,24h_prior,0.02,2026-05-31,8,-1.2085,-1.2085,-3.096
catboost_platt,24h_prior,0.05,2026-05-22,3,0.20199999999999999,0.20199999999999999,0.20199999999999999
catboost_platt,24h_prior,0.05,2026-05-23,5,-0.944,-0.944,-0.742
catboost_platt,24h_prior,0.05,2026-05-24,3,-0.4415,-0.4415,-1.1835
catboost_platt,24h_prior,0.05,2026-05-25,6,0.346,0.346,-0.8375
catboost_platt,24h_prior,0.05,2026-05-26,5,0.2959999999999999,0.2959999999999999,-0.5415000000000001
catboost_platt,24h_prior,0.05,2026-05-27,5,0.3385,0.3385,-0.20300000000000012
catboost_platt,24h_prior,0.05,2026-05-28,6,-0.253,-0.253,-0.4560000000000001
catboost_platt,24h_prior,0.05,2026-05-29,7,-0.647,-0.647,-1.1030000000000002
catboost_platt,24h_prior,0.05,2026-05-30,5,0.21050000000000002,0.21050000000000002,-0.8925000000000002
catboost_platt,24h_prior,0.05,2026-05-31,4,-1.196,-1.196,-2.0885000000000002
catboost_platt,24h_prior,0.1,2026-05-22,1,0.31,0.31,0.31
catboost_platt,24h_prior,0.1,2026-05-23,3,-0.815,-0.815,-0.5049999999999999
catboost_platt,24h_prior,0.1,2026-05-24,1,-0.07,-0.07,-0.575
catboost_platt,24h_prior,0.1,2026-05-25,3,0.54,0.54,-0.03499999999999992
catboost_platt,24h_prior,0.1,2026-05-26,2,0.3949999999999999,0.3949999999999999,0.36
catboost_platt,24h_prior,0.1,2026-05-27,5,0.3385,0.3385,0.6985
catboost_platt,24h_prior,0.1,2026-05-28,2,-0.245,-0.245,0.4535
catboost_platt,24h_prior,0.1,2026-05-29,6,-0.6460000000000001,-0.6460000000000001,-0.19250000000000012
catboost_platt,24h_prior,0.1,2026-05-30,5,0.21050000000000002,0.21050000000000002,0.017999999999999905
catboost_platt,24h_prior,0.1,2026-05-31,3,-0.436,-0.436,-0.4180000000000001
catboost_platt,6h_prior,0.0,2026-05-22,11,-0.2655,-0.2655,-0.2655
catboost_platt,6h_prior,0.0,2026-05-23,11,-0.05,-0.05,-0.3155
catboost_platt,6h_prior,0.0,2026-05-24,11,0.5419999999999999,0.5419999999999999,0.22649999999999992
catboost_platt,6h_prior,0.0,2026-05-25,11,-0.04200000000000001,-0.04200000000000001,0.18449999999999991
catboost_platt,6h_prior,0.0,2026-05-26,11,0.8089999999999999,0.8089999999999999,0.9934999999999998
catboost_platt,6h_prior,0.0,2026-05-27,11,-0.0010000000000000148,-0.0010000000000000148,0.9924999999999998
catboost_platt,6h_prior,0.0,2026-05-28,11,-0.37850000000000006,-0.37850000000000006,0.6139999999999998
catboost_platt,6h_prior,0.0,2026-05-29,11,-0.4195,-0.4195,0.19449999999999978
catboost_platt,6h_prior,0.0,2026-05-30,11,0.467,0.467,0.6614999999999998
catboost_platt,6h_prior,0.0,2026-05-31,11,1.203,1.203,1.8644999999999998
catboost_platt,6h_prior,0.02,2026-05-22,8,-0.264,-0.264,-0.264
catboost_platt,6h_prior,0.02,2026-05-23,9,0.35550000000000004,0.35550000000000004,0.09150000000000003
catboost_platt,6h_prior,0.02,2026-05-24,9,0.5429999999999999,0.5429999999999999,0.6345
catboost_platt,6h_prior,0.02,2026-05-25,9,0.37349999999999994,0.37349999999999994,1.008
catboost_platt,6h_prior,0.02,2026-05-26,10,0.8094999999999999,0.8094999999999999,1.8175
catboost_platt,6h_prior,0.02,2026-05-27,11,-0.0010000000000000148,-0.0010000000000000148,1.8164999999999998
catboost_platt,6h_prior,0.02,2026-05-28,10,-0.37800000000000006,-0.37800000000000006,1.4384999999999997
catboost_platt,6h_prior,0.02,2026-05-29,10,-0.419,-0.419,1.0194999999999999
catboost_platt,6h_prior,0.02,2026-05-30,9,0.21249999999999997,0.21249999999999997,1.2319999999999998
catboost_platt,6h_prior,0.02,2026-05-31,9,1.2040000000000002,1.2040000000000002,2.436
catboost_platt,6h_prior,0.05,2026-05-22,2,-0.12050000000000001,-0.12050000000000001,-0.12050000000000001
catboost_platt,6h_prior,0.05,2026-05-23,5,0.35950000000000004,0.35950000000000004,0.23900000000000005
catboost_platt,6h_prior,0.05,2026-05-24,5,0.546,0.546,0.7850000000000001
catboost_platt,6h_prior,0.05,2026-05-25,5,0.376,0.376,1.161
catboost_platt,6h_prior,0.05,2026-05-26,5,0.39199999999999996,0.39199999999999996,1.5530000000000002
catboost_platt,6h_prior,0.05,2026-05-27,7,0.0009999999999999731,0.0009999999999999731,1.554
catboost_platt,6h_prior,0.05,2026-05-28,5,-0.37550000000000006,-0.37550000000000006,1.1785
catboost_platt,6h_prior,0.05,2026-05-29,7,-0.4175,-0.4175,0.761
catboost_platt,6h_prior,0.05,2026-05-30,5,0.21649999999999997,0.21649999999999997,0.9775
catboost_platt,6h_prior,0.05,2026-05-31,5,1.2085,1.2085,2.186
catboost_platt,6h_prior,0.1,2026-05-22,1,-0.085,-0.085,-0.085
catboost_platt,6h_prior,0.1,2026-05-23,4,0.36500000000000005,0.36500000000000005,0.28
catboost_platt,6h_prior,0.1,2026-05-24,3,-0.05500000000000002,-0.05500000000000002,0.225
catboost_platt,6h_prior,0.1,2026-05-25,4,0.379,0.379,0.604
catboost_platt,6h_prior,0.1,2026-05-26,2,-0.178,-0.178,0.426
catboost_platt,6h_prior,0.1,2026-05-27,5,0.00899999999999998,0.00899999999999998,0.43499999999999994
catboost_platt,6h_prior,0.1,2026-05-28,3,-0.37000000000000005,-0.37000000000000005,0.06499999999999995
catboost_platt,6h_prior,0.1,2026-05-29,5,-0.4165,-0.4165,-0.35150000000000003
catboost_platt,6h_prior,0.1,2026-05-30,4,0.6715,0.6715,0.31999999999999995
catboost_platt,6h_prior,0.1,2026-05-31,3,0.6,0.6,0.9199999999999999
catboost_platt,event_day_open,0.0,2026-05-22,11,-0.18650000000000003,-0.18650000000000003,-0.18650000000000003
catboost_platt,event_day_open,0.0,2026-05-23,11,-0.02900000000000004,-0.02900000000000004,-0.21550000000000008
catboost_platt,event_day_open,0.0,2026-05-24,11,0.439,0.439,0.22349999999999992
catboost_platt,event_day_open,0.0,2026-05-25,11,-0.05600000000000005,-0.05600000000000005,0.16749999999999987
