bin,n,mean_probability,empirical_frequency
"(-0.001, 0.1]",393,0.03621133296411317,0.030534351145038167
"(0.1, 0.2]",117,0.14929506119340982,0.24786324786324787
"(0.2, 0.3]",57,0.23745758500235878,0.10526315789473684
"(0.3, 0.4]",17,0.3462923242984625,0.058823529411764705
"(0.4, 0.5]",2,0.42477609210595035,0.0
"(0.5, 0.6]",1,0.5266809026961067,0.0
"(0.6, 0.7]",4,0.6674850865755627,0.75
"(0.7, 0.8]",3,0.7165747745478314,1.0
"(0.8, 0.9]",0,,
"(0.9, 1.0]",0,,
