event_date,hko_tmax_C,hko_tmax_min_C,hko_tmax_max_C,n_source_rows,hko_source_files,hko_value_conflict
2026-04-07,29.2,29.2,29.2,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-08,26.7,26.7,26.7,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-09,28.0,28.0,28.0,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-10,28.3,28.3,28.3,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-11,27.6,27.6,27.6,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-12,28.5,28.5,28.5,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-13,29.7,29.7,29.7,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-14,29.0,29.0,29.0,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-15,28.9,28.9,28.9,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
2026-04-16,30.2,30.2,30.2,5,data/processed/18f_hko_daily_extract_targets_20260301_20260531.csv; data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv; data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv; data/processed/18h_hko_upper_tail_scoring_ready_market_panel_20260313_20260531.csv; data/processed/18i_hko_main_scoring_panel_formally_certified.csv,False
