decision_rule,contract_event_type_v2,model,model_label,n,mean_brier,mean_log_score,mean_probability,outcome_rate
24h_prior,lower_tail_endpoint,market,Market,43,4.156976744186046e-06,0.0016648739089075851,0.0016627906976744188,0.0
24h_prior,lower_tail_endpoint,ecmwf_raw,ECMWF raw proxy,43,6.511950300392888e-05,0.002573786676866436,0.0025403867692766636,0.0
24h_prior,lower_tail_endpoint,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",43,1.3299751467547097e-07,9.135787292806878e-05,9.079674168374695e-05,0.0
24h_prior,lower_tail_endpoint,ecmwf_bias_scale,ECMWF bias-and-scale corrected,43,9.53332509072984e-16,1.0000005000290893e-06,6.733375321135005e-09,0.0
24h_prior,interior_bin,market,Market,385,0.07449193376623377,0.2319555509596706,0.09894285714285714,0.0987012987012987
24h_prior,interior_bin,ecmwf_raw,ECMWF raw proxy,385,0.09370300549731785,0.33427642857136214,0.10551916524966116,0.0987012987012987
24h_prior,interior_bin,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",385,0.07409894061525574,0.2327600724857532,0.0881843468241226,0.0987012987012987
24h_prior,interior_bin,ecmwf_bias_scale,ECMWF bias-and-scale corrected,385,0.0734985357631495,0.23285271098659366,0.0941106127741576,0.0987012987012987
24h_prior,upper_tail,market,Market,42,0.08037175,0.2711396923861491,0.1576904761904762,0.14285714285714285
24h_prior,upper_tail,ecmwf_raw,ECMWF raw proxy,42,0.09820849815350546,0.3073770517787358,0.05228356599583611,0.14285714285714285
24h_prior,upper_tail,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",42,0.07423192869853203,0.2556085059131433,0.2040181839070961,0.14285714285714285
24h_prior,upper_tail,ecmwf_bias_scale,ECMWF bias-and-scale corrected,42,0.07217164889991888,0.2259887267507748,0.1531238821679754,0.14285714285714285
12h_prior,lower_tail_endpoint,market,Market,45,1.2166666666666667e-06,0.0009228313115559794,0.0009222222222222224,0.0
12h_prior,lower_tail_endpoint,ecmwf_raw,ECMWF raw proxy,45,0.00026083892273668534,0.005324955615983266,0.005188988667580766,0.0
12h_prior,lower_tail_endpoint,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",45,1.0027447191812088e-06,0.0002742785943290605,0.0002733354921135183,0.0
12h_prior,lower_tail_endpoint,ecmwf_bias_scale,ECMWF bias-and-scale corrected,45,3.171570068620426e-10,4.8253959221647376e-06,3.920546405944414e-06,0.0
12h_prior,interior_bin,market,Market,404,0.07081628465346534,0.2276255031581832,0.09767821782178217,0.09158415841584158
12h_prior,interior_bin,ecmwf_raw,ECMWF raw proxy,404,0.08972325998729692,0.33058012943362314,0.10499158482485112,0.09158415841584158
12h_prior,interior_bin,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",404,0.07100253094237101,0.22665739022415862,0.08890515717840299,0.09158415841584158
12h_prior,interior_bin,ecmwf_bias_scale,ECMWF bias-and-scale corrected,404,0.07220279303398532,0.22814748921191413,0.09355366600890885,0.09158415841584158
12h_prior,upper_tail,market,Market,45,0.07731492777777778,0.24545761679494724,0.1617222222222222,0.17777777777777778
12h_prior,upper_tail,ecmwf_raw,ECMWF raw proxy,45,0.11904744172122426,0.38652041627589223,0.0521284035855054,0.17777777777777778
12h_prior,upper_tail,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",45,0.07590973520108552,0.2579629202218003,0.20155275007352663,0.17777777777777778
12h_prior,upper_tail,ecmwf_bias_scale,ECMWF bias-and-scale corrected,45,0.07243217123804757,0.24409980973924258,0.16009205572246155,0.17777777777777778
6h_prior,lower_tail_endpoint,market,Market,44,6.534090909090909e-07,0.0006935088138250174,0.0006931818181818184,0.0
6h_prior,lower_tail_endpoint,ecmwf_raw,ECMWF raw proxy,44,0.0012448797001767995,0.007550329081658675,0.006813247182875167,0.0
6h_prior,lower_tail_endpoint,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",44,5.5050055782616044e-05,0.0012136344560906612,0.0011847449753070525,0.0
6h_prior,lower_tail_endpoint,ecmwf_bias_scale,ECMWF bias-and-scale corrected,44,3.2535632856054747e-07,8.727504590825411e-05,8.6187675694035e-05,0.0
6h_prior,interior_bin,market,Market,395,0.07233588734177215,0.22973758429754548,0.09562531645569618,0.09113924050632911
6h_prior,interior_bin,ecmwf_raw,ECMWF raw proxy,395,0.08691319176748159,0.30770876894258237,0.10350059124205442,0.09113924050632911
6h_prior,interior_bin,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",395,0.07086264382845062,0.22534068488451986,0.08865607046563465,0.09113924050632911
6h_prior,interior_bin,ecmwf_bias_scale,ECMWF bias-and-scale corrected,395,0.07271955357418305,0.2314146570053199,0.09362701630731995,0.09113924050632911
6h_prior,upper_tail,market,Market,44,0.06403818181818183,0.20996569818816047,0.1736136363636364,0.18181818181818182
6h_prior,upper_tail,ecmwf_raw,ECMWF raw proxy,44,0.11962246119963388,0.3919872819710155,0.0639701288715213,0.18181818181818182
6h_prior,upper_tail,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",44,0.08946256867356936,0.28766001695303645,0.2029220867589492,0.18181818181818182
6h_prior,upper_tail,ecmwf_bias_scale,ECMWF bias-and-scale corrected,44,0.09176364059726884,0.3066156212828956,0.15939855229268196,0.18181818181818182
event_day_open,lower_tail_endpoint,market,Market,48,5.208333333333333e-07,0.0006044273529094347,0.0006041666666666667,0.0
event_day_open,lower_tail_endpoint,ecmwf_raw,ECMWF raw proxy,48,7.87992401360708e-05,0.0024955519638330016,0.002454768804716829,0.0
event_day_open,lower_tail_endpoint,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",48,4.247085808318899e-07,0.0001312814372073956,0.0001306394321853923,0.0
event_day_open,lower_tail_endpoint,ecmwf_bias_scale,ECMWF bias-and-scale corrected,48,4.900465257142836e-15,1.000000500029089e-06,1.1670432901317307e-08,0.0
event_day_open,interior_bin,market,Market,432,0.07175089062500001,0.2208406057673748,0.09529745370370371,0.09259259259259259
event_day_open,interior_bin,ecmwf_raw,ECMWF raw proxy,432,0.08846822370890568,0.31307882712822654,0.10508744872561714,0.09259259259259259
event_day_open,interior_bin,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",432,0.06943568975247905,0.22135040554751673,0.08961735436101137,0.09259259259259259
event_day_open,interior_bin,ecmwf_bias_scale,ECMWF bias-and-scale corrected,432,0.06728099676078506,0.21415999096871355,0.09566200953931424,0.09259259259259259
event_day_open,upper_tail,market,Market,48,0.058463359375,0.1996508078375989,0.17848958333333334,0.16666666666666666
event_day_open,upper_tail,ecmwf_raw,ECMWF raw proxy,48,0.10897715671773882,0.35246467485317384,0.051758192664728614,0.16666666666666666
event_day_open,upper_tail,ecmwf_bias_fixed_sigma,"ECMWF bias corrected, sigma=1.5",48,0.0710393209279121,0.24955236975208464,0.19331317131871228,0.16666666666666666
event_day_open,upper_tail,ecmwf_bias_scale,ECMWF bias-and-scale corrected,48,0.06663730806420692,0.24310813753067353,0.13904190247573897,0.16666666666666666
