run_init_utc,model,cache_path,request_url,fetched_at_utc,used_cache,status_code,success,error,n_hourly_rows
2026-03-14T06:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260314T0600Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-14T06%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:08:49.436326+00:00,False,200,True,,240
2026-03-14T18:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260314T1800Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-14T18%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:08:51.030180+00:00,False,400,False,"HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-14T18:00Z""}",0
2026-03-15T00:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260315T0000Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-15T00%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:08:54.626547+00:00,False,200,True,,240
2026-03-15T06:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260315T0600Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-15T06%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:08:54.914124+00:00,False,400,False,"HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-15T06:00Z""}",0
2026-03-15T18:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260315T1800Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-15T18%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:00.457046+00:00,False,400,False,"HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-15T18:00Z""}",0
2026-03-16T00:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260316T0000Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-16T00%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:05.808613+00:00,False,200,True,,240
2026-03-16T06:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260316T0600Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-16T06%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:06.091509+00:00,False,400,False,"HTTP 400: {""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-16T06:00Z"",""error"":true}",0
2026-03-16T18:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260316T1800Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-16T18%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:09.709891+00:00,False,200,True,,240
2026-03-17T00:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260317T0000Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-17T00%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:10.745012+00:00,False,200,True,,240
2026-03-17T06:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260317T0600Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-17T06%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:11.522741+00:00,False,400,False,"HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-17T06:00Z""}",0
2026-03-17T18:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260317T1800Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-17T18%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:14.929724+00:00,False,200,True,,240
2026-03-18T00:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260318T0000Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-18T00%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:18.421973+00:00,False,200,True,,240
2026-03-18T06:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260318T0600Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-18T06%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:19.050283+00:00,False,400,False,"HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-18T06:00Z""}",0
2026-03-19T06:00,ecmwf_ifs,/Users/edwardlee/Desktop/2026MScWeatherForecastingPolymarket/data/raw/forecast_open_meteo_single_runs_19a/open_meteo_single_run_ecmwf_ifs_hko_20260319T0600Z.json,https://single-runs-api.open-meteo.com/v1/forecast?latitude=22.302219&longitude=114.174637&run=2026-03-19T06%3A00&hourly=temperature_2m%2Crelative_humidity_2m%2Cdew_point_2m%2Ccloud_cover%2Cwind_speed_10m%2Cwind_direction_10m%2Cprecipitation&models=ecmwf_ifs&timezone=Asia%2FHong_Kong&forecast_days=10&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601,2026-07-15T00:09:22.555235+00:00,False,400,False,"HTTP 400: {""error"":true,""reason"":""The requested model run is not available. Model: ecmwf_ifs, run: 2026-03-19T06:00Z""}",0
