decision_rule,summary_level,n,mean_brier_ecmwf_proxy,mean_log_score_ecmwf_proxy,mean_p_ecmwf_proxy,outcome_rate,mean_forecast_daily_max_C,mean_hko_tmax_C,mean_temperature_error_C,mean_abs_temperature_error_C,mean_brier_ecmwf_hard,mean_log_score_ecmwf_hard,contract_event_type_v2
12h_prior,ALL,693,0.08283030462039549,0.2935138457207597,0.09090909090909091,0.09090909090909091,26.700000000000003,28.50634920634921,-1.8063492063492066,1.86984126984127,0.15584415584415584,2.1530674246159904,
24h_prior,ALL,726,0.08198930546413451,0.291524455194567,0.09090909090909088,0.09090909090909091,26.78636363636364,28.560606060606062,-1.7742424242424242,1.8590909090909096,0.1652892561983471,2.283556298835111,
6h_prior,ALL,682,0.08082416509470147,0.27828400567476297,0.09090909090909091,0.09090909090909091,26.970967741935485,28.58387096774193,-1.6129032258064515,1.7096774193548387,0.15835777126099707,2.187794302432369,
event_day_open,ALL,715,0.08119888053880223,0.281043171639316,0.09090909090909091,0.09090909090909091,26.81846153846154,28.510769230769228,-1.6923076923076923,1.7476923076923077,0.16783216783216784,2.318687918817182,
12h_prior,BY_TYPE,567,0.09054358666232329,0.3239270093721873,0.10562339535971678,0.09523809523809523,26.7,28.506349206349203,-1.8063492063492064,1.8698412698412694,0.1763668430335097,2.4365988056351116,interior_bin
12h_prior,BY_TYPE,63,0.000187013166680308,0.0040198055296615815,0.003922322885598586,0.0,26.7,28.506349206349203,-1.8063492063492064,1.8698412698412699,0.0,1.0000005000290895e-06,lower_tail_endpoint
12h_prior,BY_TYPE,63,0.09605405769676041,0.30928941304900937,0.045467118876950444,0.14285714285714285,26.7,28.506349206349203,-1.8063492063492064,1.8698412698412699,0.12698412698412698,1.7543514200593913,upper_tail
24h_prior,BY_TYPE,594,0.08739333447672297,0.31473477227916963,0.10478386174911009,0.09259259259259259,26.786363636363635,28.560606060606062,-1.7742424242424244,1.8590909090909093,0.18518518518518517,2.5584286959168128,interior_bin
24h_prior,BY_TYPE,66,5.861918025731596e-05,0.002398003490800881,0.00236795775885315,0.0,26.786363636363635,28.56060606060606,-1.7742424242424242,1.8590909090909091,0.0,1.000000500029089e-06,lower_tail_endpoint
24h_prior,BY_TYPE,66,0.11528373063471549,0.3717580531369095,0.054577286499156,0.16666666666666666,26.786363636363635,28.56060606060606,-1.7742424242424242,1.8590909090909091,0.15151515151515152,2.0932600239344055,upper_tail
6h_prior,BY_TYPE,558,0.08763613270434835,0.30289691813723557,0.10445219610659998,0.09498207885304659,26.970967741935482,28.583870967741934,-1.6129032258064515,1.7096774193548385,0.17921146953405018,2.475898770242121,interior_bin
6h_prior,BY_TYPE,62,0.0008835975903897765,0.005447751632443799,0.004924584256032412,0.0,26.97096774193549,28.58387096774193,-1.6129032258064515,1.7096774193548387,0.0,1.0000005000290895e-06,lower_tail_endpoint
6h_prior,BY_TYPE,62,0.09945702411219143,0.32960404755482875,0.05500565078456777,0.14516129032258066,26.97096774193549,28.58387096774193,-1.6129032258064515,1.7096774193548387,0.12903225806451613,1.7826473945764707,upper_tail
event_day_open,BY_TYPE,585,0.08753760458891723,0.3054619958481655,0.1053358058300292,0.09401709401709402,26.818461538461538,28.51076923076923,-1.6923076923076918,1.7476923076923074,0.18974358974358974,2.621405377662472,interior_bin
event_day_open,BY_TYPE,65,6.248688096443433e-05,0.00217471607792352,0.002142409110617543,0.0,26.818461538461538,28.510769230769228,-1.6923076923076918,1.7476923076923077,0.0,1.000000500029089e-06,lower_tail_endpoint
event_day_open,BY_TYPE,65,0.10528675774560516,0.34014220932106276,0.04983533841911968,0.15384615384615385,26.818461538461538,28.510769230769228,-1.6923076923076918,1.7476923076923077,0.13846153846153847,1.9129177080262534,upper_tail
