feature,importance,is_categorical,feature_set,candidate_id
p_market,18.682646363762586,False,market_only,cb_d3_lr03_l2_8
market_book_probability_normalised,11.967576732907915,False,market_only,cb_d3_lr03_l2_8
market_book_rank_desc,11.01062867880079,False,market_only,cb_d3_lr03_l2_8
logit_p_market,10.759865182376931,False,market_only,cb_d3_lr03_l2_8
event_lower_C_finite,9.868927692133388,False,market_only,cb_d3_lr03_l2_8
event_upper_C_finite,5.977938130998579,False,market_only,cb_d3_lr03_l2_8
market_book_gap_to_top,5.973236328203464,False,market_only,cb_d3_lr03_l2_8
event_midpoint_C,4.7278444633648595,False,market_only,cb_d3_lr03_l2_8
price_staleness_hours,4.396023827051383,False,market_only,cb_d3_lr03_l2_8
calendar_day_of_year,3.3748364138362206,False,market_only,cb_d3_lr03_l2_8
calendar_day_of_month,3.2628275667857594,False,market_only,cb_d3_lr03_l2_8
calendar_doy_cos,2.7806910493309447,False,market_only,cb_d3_lr03_l2_8
calendar_doy_sin,2.7521497610718133,False,market_only,cb_d3_lr03_l2_8
calendar_day_index,1.7108602587639847,False,market_only,cb_d3_lr03_l2_8
market_book_normalised_entropy,1.6796619808787316,False,market_only,cb_d3_lr03_l2_8
market_book_total_probability,0.4234297132298856,False,market_only,cb_d3_lr03_l2_8
event_width_C,0.3312140196640664,False,market_only,cb_d3_lr03_l2_8
market_book_contract_count,0.16223771963803804,False,market_only,cb_d3_lr03_l2_8
market_book_top_probability,0.13813696345030244,False,market_only,cb_d3_lr03_l2_8
decision_is_6h_prior,0.016989717131019266,False,market_only,cb_d3_lr03_l2_8
decision_is_24h_prior,0.0020282100236708343,False,market_only,cb_d3_lr03_l2_8
decision_horizon_hours,0.00024922659566993245,False,market_only,cb_d3_lr03_l2_8
event_has_upper_bound,0.0,False,market_only,cb_d3_lr03_l2_8
event_has_lower_bound,0.0,False,market_only,cb_d3_lr03_l2_8
event_type_is_upper_tail,0.0,False,market_only,cb_d3_lr03_l2_8
event_type_is_interior_bin,0.0,False,market_only,cb_d3_lr03_l2_8
event_type_is_lower_tail_endpoint,0.0,False,market_only,cb_d3_lr03_l2_8
decision_is_event_day_open,0.0,False,market_only,cb_d3_lr03_l2_8
decision_is_12h_prior,0.0,False,market_only,cb_d3_lr03_l2_8
calendar_month,0.0,False,market_only,cb_d3_lr03_l2_8
