event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,p_market,p_ecmwf_raw,p_ecmwf_bias_fixed_sigma,p_ecmwf_bias_scale,cv_fold,feature_set,candidate_id,p_catboost_oof,brier_catboost_oof,log_catboost_oof,selected,overall_rank,selected_model,row_key,calibration_method,p_catboost_calibrated,brier_calibrated,log_calibrated,n_prior_calibration_dates,selected_calibration_method
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-19c,interior_bin,0,0.0005,3.01406150965966e-05,6.733265672798083e-08,0.0,2,market_only,cb_d3_lr03_l2_8,0.0006308735571308,3.980014450868749e-07,0.0006310726415891,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-19c,platt,0.004193362690110755,1.7584290650812906e-05,0.004202179492100966,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-21c,interior_bin,0,0.001,0.0034013202343929,3.94884221809888e-05,4.339723025381659e-11,2,market_only,cb_d3_lr03_l2_8,0.000698361550542,4.877088552755057e-07,0.0006986055185615,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-21c,platt,0.004496519728907063,2.0218689672450448e-05,0.004506659480890172,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-23c,interior_bin,0,0.0085,0.0684610877776886,0.00409666580976,8.904778854623707e-06,2,market_only,cb_d3_lr03_l2_8,0.0018379003955039,3.3778778637934583e-06,0.0018395914066935,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-23c,platt,0.008730846205467619,7.622767546352832e-05,0.008769183350121789,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-20c,interior_bin,0,0.001,0.0003973890913637,2.025934239535676e-06,1.63202784619898e-14,2,market_only,cb_d3_lr03_l2_8,0.000698361550542,4.877088552755057e-07,0.0006986055185615,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-20c,platt,0.004496519728907063,2.0218689672450448e-05,0.004506659480890172,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-22c,interior_bin,0,0.0015,0.0189197513805894,0.0004991635640946,3.5371315487697785e-08,2,market_only,cb_d3_lr03_l2_8,0.0008262596601253,6.827050259504909e-07,0.0008266012007855,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-22c,platt,0.005046862474741625,2.5470820838955165e-05,0.005059640897252683,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-17c,interior_bin,0,0.0005,4.7226446031611864e-08,2.013417210733337e-11,0.0,2,market_only,cb_d3_lr03_l2_8,0.0006286714575655,3.952278015575897e-07,0.0006288691543281,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-17c,platt,0.004183303128444127,1.7500025064450422e-05,0.0041920776204327735,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-18c,interior_bin,0,0.0005,1.482413702846852e-06,1.4481261190191221e-09,0.0,2,market_only,cb_d3_lr03_l2_8,0.0006310911857411,3.9827608472022034e-07,0.0006312904076061,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-18c,platt,0.004194356252469285,1.759262437262818e-05,0.0042031772388693095,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-25c,interior_bin,0,0.25,0.247507462453077,0.075834047558749,0.0175360825864695,2,market_only,cb_d3_lr03_l2_8,0.1138571270604226,0.0129634453824532,0.1208770852379519,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-25c,platt,0.14116734517266175,0.019928219343097426,0.15218118991448834,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-24c,interior_bin,0,0.06,0.1612813178210551,0.0218523536008726,0.0007008969390753,2,market_only,cb_d3_lr03_l2_8,0.0064794462584071,4.198322381558613e-05,0.0065005289892733,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-24c,platt,0.020626538717637175,0.0004254540994701854,0.02084223699511504,8,platt
2026-05-04,24,24h_prior,highest-temperature-in-hong-kong-on-may-4-2026-16corbelow,lower_tail_endpoint,0,0.0005,9.865876449133282e-10,1.8185453143360072e-13,0.0,2,market_only,cb_d3_lr03_l2_8,0.0006788686088393,4.608625880674889e-07,0.0006790991444749,True,1,True,2026-05-04||24h_prior||highest-temperature-in-hong-kong-on-may-4-2026-16corbelow,platt,0.0044099460187296,1.944762388810905e-05,0.004419698513218132,8,platt
