model,decision_rule,strategy,threshold,event_date,n_positions,total_stake,net_pnl,cumulative_net_pnl
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-22,9,1.0,-0.03600851256317227,-0.03600851256317227
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-23,8,1.0,-0.101715024816531,-0.13772353737970328
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-24,9,1.0000000000000002,-0.0406946822854722,-0.17841821966517546
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-25,8,1.0,-0.035173968510954015,-0.2135921881761295
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-26,9,0.9999999999999997,-0.07855144926657995,-0.29214363744270944
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-27,9,1.0,-0.0799660728183762,-0.37210971026108564
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-28,9,1.0,-0.07135361816195793,-0.4434633284230436
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-29,10,0.9999999999999999,-0.04637001871738832,-0.48983334714043186
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-30,9,1.0,0.20726733038147785,-0.28256601675895404
catboost_platt,12h_prior,proportional_positive_edge,0.0,2026-05-31,8,1.0,-0.028140663345552153,-0.3107066801045062
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-22,5,1.0,-0.03445929013234855,-0.03445929013234855
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-23,2,1.0,-0.16064788557258275,-0.1951071757049313
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-24,7,1.0,-0.04430521842901436,-0.23941239413394566
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-25,5,1.0,-0.04432434436067604,-0.2837367384946217
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-26,5,1.0,-0.0983352954080734,-0.38207203390269506
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-27,4,0.9999999999999998,-0.10274241040637971,-0.48481444430907483
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-28,5,0.9999999999999999,-0.08127111983150591,-0.5660855641405808
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-29,6,1.0,-0.050192921495177144,-0.6162784856357578
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-30,4,1.0,0.2628423158016395,-0.35343616983411835
catboost_platt,12h_prior,proportional_positive_edge,0.02,2026-05-31,5,0.9999999999999999,-0.032171439787310276,-0.38560760962142865
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-22,2,1.0,-0.053732287098683815,-0.053732287098683815
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-23,1,1.0,-0.19,-0.24373228709868383
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-24,1,1.0,-0.065,-0.30873228709868383
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-25,2,1.0,-0.0718469417837345,-0.38057922888241835
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-26,1,1.0,-0.185,-0.5655792288824184
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-27,1,1.0,-0.15,-0.7155792288824183
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-28,1,1.0,-0.12,-0.8355792288824183
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-29,3,1.0,-0.06247400252023483,-0.8980532314026531
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-30,2,1.0,0.3575285590429328,-0.5405246723597203
catboost_platt,12h_prior,proportional_positive_edge,0.05,2026-05-31,2,1.0,-0.043331969258618284,-0.5838566416183386
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-22,0,0.0,0.0,0.0
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-23,1,1.0,-0.19,-0.19
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-24,0,0.0,0.0,-0.19
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-25,0,0.0,0.0,-0.19
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-26,1,1.0,-0.185,-0.375
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-27,1,1.0,-0.15,-0.525
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-28,1,1.0,-0.12,-0.645
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-29,2,1.0,-0.04032088233118874,-0.6853208823311887
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-30,0,0.0,0.0,-0.6853208823311887
catboost_platt,12h_prior,proportional_positive_edge,0.1,2026-05-31,1,1.0,-0.065,-0.7503208823311888
catboost_platt,12h_prior,single_best_edge,0.0,2026-05-22,1,1.0,-0.07,-0.07
catboost_platt,12h_prior,single_best_edge,0.0,2026-05-23,1,1.0,-0.19,-0.26
catboost_platt,12h_prior,single_best_edge,0.0,2026-05-24,1,1.0,-0.065,-0.325
