decision_rule,n_books,market_mean_total_book_probability,ecmwf_mean_total_book_probability,market_mean_abs_book_probability_error,ecmwf_mean_abs_book_probability_error,market_median_winning_probability_normalised,ecmwf_median_winning_probability_normalised,market_normalised_categorical_log_score,ecmwf_normalised_categorical_log_score,market_normalised_multiclass_brier,ecmwf_normalised_multiclass_brier,market_minus_ecmwf_normalised_log,market_minus_ecmwf_normalised_brier,normalised_categorical_log_winner,normalised_multiclass_brier_winner
24h_prior,55,1.067290909090909,0.9999999999999994,0.07054545454545452,4.54182146437564e-16,0.24953789279112754,0.12052465315267165,1.503969269464252,2.1981483677626517,0.7419858914473373,0.902117254591159,-0.6941790982983994,-0.1601313631438218,market,market
12h_prior,60,1.0609833333333334,0.9999999999999996,0.06583333333333331,4.2928623618839387e-16,0.27239024305581383,0.11086490165864235,1.4851794352199534,2.2703997285411504,0.7205803641459216,0.9121172023101546,-0.7852202933211969,-0.19153683816423292,market,market
6h_prior,58,1.0391896551724138,0.9999999999999996,0.04760344827586203,4.498317427360548e-16,0.30807442663029444,0.14699105379826805,1.429373629662664,2.100405419907815,0.7063544205525857,0.8855544150435681,-0.6710317902451512,-0.17919999449098253,market,market
event_day_open,63,1.0435158730158731,0.9999999999999996,0.05438888888888887,4.2294210461910723e-16,0.2958267300581089,0.14062202116941072,1.434308024423729,2.164007232587621,0.7215026059772446,0.8967334646205812,-0.7296992081638924,-0.17523085864333662,market,market
