decision_rule,max_staleness_hours,mean_net_pnl_per_active_book,mean_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_opportunities,n_positions,n_trades,pipeline,positive_book_rate,positive_trade_rate,robustness_cost,robustness_scope,staleness_quantile,staleness_rule,strategy,threshold,total_net_pnl,unrestricted_staleness
24h_prior,0.9980555555555556,-0.06508333333333333,,ecmwf_raw,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.3905,False
6h_prior,0.9980555555555556,-0.12006025862307809,,catboost_platt,4.0,10.0,4,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.48024103449231237,False
24h_prior,0.9980555555555556,-0.12014061590549024,,catboost_raw,4.0,10.0,4,,5.0,,21b,0.25,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.4805624636219609,False
event_day_open,0.9980555555555556,-0.1642697761918045,,catboost_raw,3.0,10.0,3,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.4928093285754135,False
event_day_open,0.9980555555555556,-0.07593749999999999,,ecmwf_bias_fixed_sigma,8.0,10.0,8,,8.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.6075,False
6h_prior,0.9980555555555556,-0.12773032153509314,,catboost_raw,5.0,10.0,5,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.6386516076754657,False
event_day_open,0.9980555555555556,-0.16142793803208383,,catboost_platt,4.0,10.0,4,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.6457117521283353,False
6h_prior,0.9980555555555556,-0.136,,catboost_raw,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.68,False
6h_prior,0.9980555555555556,-0.136,,catboost_platt,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.68,False
event_day_open,0.9980555555555556,-0.17125,,catboost_raw,4.0,10.0,4,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.685,False
event_day_open,0.9980555555555556,-0.17125,,catboost_platt,4.0,10.0,4,,4.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.685,False
12h_prior,0.9980555555555556,-0.14411584577648368,,catboost_platt,5.0,10.0,5,,7.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.7205792288824183,False
12h_prior,0.9980555555555556,-0.14800000000000002,,catboost_raw,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.74,False
event_day_open,0.9980555555555556,,-0.030185185185185183,catboost_platt,,,10,110.0,,27.0,21a,,0.1111111111111111,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-0.815,False
12h_prior,0.9980555555555556,-0.13583333333333333,,catboost_platt,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.815,False
12h_prior,0.9980555555555556,-0.13583333333333333,,catboost_raw,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.815,False
event_day_open,0.9980555555555556,,-0.033120000000000004,catboost_raw,,,10,110.0,,25.0,21a,,0.2,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-0.8280000000000001,False
6h_prior,0.9980555555555556,,-0.05084782608695651,catboost_platt,,,7,110.0,,23.0,21a,,0.043478260869565216,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-1.1695,False
12h_prior,0.9980555555555556,,-0.0409264705882353,ecmwf_raw,,,9,110.0,,34.0,21a,,0.2647058823529412,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-1.3915,False
6h_prior,0.9980555555555556,,-0.08372222222222221,catboost_raw,,,7,110.0,,18.0,21a,,0.1111111111111111,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-1.507,False
24h_prior,0.9980555555555556,,-0.09896,catboost_platt,,,9,110.0,,25.0,21a,,0.12,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-2.474,False
24h_prior,0.9980555555555556,,-0.09425925925925925,catboost_raw,,,9,110.0,,27.0,21a,,0.25925925925925924,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-2.545000000000001,False
12h_prior,0.9980555555555556,,-0.11562500000000002,catboost_raw,,,9,110.0,,24.0,21a,,0.16666666666666666,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-2.775,False
12h_prior,0.9980555555555556,,-0.17194230769230767,catboost_platt,,,9,110.0,,26.0,21a,,0.038461538461538464,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-4.4705,False
