month,upper_tail_contracts,formally_certified_contracts,mean_threshold_K,hko_outcome_rate,formally_certified_scoring_rows,scoring_unique_contracts,mean_brier,mean_log_score
2026-03,16,14,27.1875,0.3125,43,11,0.15381868023255815,0.5048258314196375
2026-04,30,30,29.766666666666666,0.06666666666666667,116,30,0.029500150862068964,0.1248111483661654
2026-05,29,29,30.896551724137932,0.2413793103448276,106,27,0.09442608018867923,0.3032138854155409
