feature,missing_count,missing_share,n_unique_nonmissing,family,description
event_midpoint_C,359,0.18177215189873416,18,structural,Midpoint of a bounded event interval; missing for tail events.
event_width_C,359,0.18177215189873416,1,structural,Width of a bounded event interval; missing for tail events.
event_lower_C_finite,180,0.09113924050632911,19,structural,Finite lower event boundary in degrees Celsius; missing for a lower tail.
corrected_forecast_minus_lower_C,180,0.09113924050632911,1743,weather,Corrected forecast minus finite lower event boundary.
raw_forecast_minus_lower_C,180,0.09113924050632911,167,weather,Raw forecast minus finite lower event boundary.
standardised_corrected_minus_lower,180,0.09113924050632911,1795,weather,Corrected lower-bound margin divided by sigma.
event_upper_C_finite,179,0.09063291139240506,19,structural,Finite upper event boundary in degrees Celsius; missing for an upper tail.
standardised_upper_minus_corrected,179,0.09063291139240506,1796,weather,Corrected upper-bound margin divided by sigma.
upper_minus_corrected_forecast_C,179,0.09063291139240506,1744,weather,Finite upper event boundary minus corrected forecast.
upper_minus_raw_forecast_C,179,0.09063291139240506,167,weather,Finite upper event boundary minus raw forecast.
ecmwf_bias_fixed_sigma_book_contract_count,0,0.0,4,book,Number of common-support contracts in the bias-corrected fixed-scale ECMWF book.
ecmwf_bias_fixed_sigma_book_gap_to_top,0,0.0,1764,book,Gap between the book maximum and this contract's bias-corrected fixed-scale ECMWF probability.
ecmwf_bias_fixed_sigma_book_normalised_entropy,0,0.0,180,book,Entropy of the normalised bias-corrected fixed-scale ECMWF event-book distribution.
ecmwf_bias_fixed_sigma_book_probability_normalised,0,0.0,1946,book,Contract bias-corrected fixed-scale ECMWF probability normalised within the event book.
ecmwf_bias_fixed_sigma_book_rank_desc,0,0.0,11,book,Descending probability rank within the bias-corrected fixed-scale ECMWF event book.
ecmwf_bias_fixed_sigma_book_top_probability,0,0.0,177,book,Largest bias-corrected fixed-scale ECMWF probability in the event book.
ecmwf_bias_fixed_sigma_book_total_probability,0,0.0,11,book,Sum of bias-corrected fixed-scale ECMWF probabilities over the observed event book.
ecmwf_bias_scale_book_contract_count,0,0.0,4,book,Number of common-support contracts in the bias-and-scale ECMWF book.
ecmwf_bias_scale_book_gap_to_top,0,0.0,1758,book,Gap between the book maximum and this contract's bias-and-scale ECMWF probability.
ecmwf_bias_scale_book_normalised_entropy,0,0.0,181,book,Entropy of the normalised bias-and-scale ECMWF event-book distribution.
ecmwf_bias_scale_book_probability_normalised,0,0.0,1867,book,Contract bias-and-scale ECMWF probability normalised within the event book.
ecmwf_bias_scale_book_rank_desc,0,0.0,11,book,Descending probability rank within the bias-and-scale ECMWF event book.
ecmwf_bias_scale_book_top_probability,0,0.0,181,book,Largest bias-and-scale ECMWF probability in the event book.
ecmwf_bias_scale_book_total_probability,0,0.0,10,book,Sum of bias-and-scale ECMWF probabilities over the observed event book.
ecmwf_raw_book_contract_count,0,0.0,4,book,Number of common-support contracts in the raw ECMWF book.
