decision_rule,market_binary_brier,market_binary_log_score,market_normalised_categorical_log,market_normalised_multiclass_brier
24h_prior,0.068678089837997,0.2184549356432566,1.4902894995671536,0.7279499244506591
12h_prior,0.0651585073627844,0.2099695908045483,1.4744322319736654,0.7148187612509569
6h_prior,0.0657189876171352,0.2106242165335869,1.479046567464237,0.7197520167643491
event_day_open,0.0659736400401069,0.2075588032231654,1.4430324720841037,0.7212286368425662
