decision_rule,n_common_support,market_brier,ecmwf_proxy_brier,market_log_score,ecmwf_proxy_log_score,brier_advantage_market_over_raw_ecmwf,log_advantage_market_over_raw_ecmwf
24h_prior,624,0.06817996875,0.0833175410766339,0.2157713242519464,0.2892335162670012,0.015137572326633902,0.07346219201505483
12h_prior,670,0.0657832063432835,0.0833925519547869,0.2114608346295414,0.2963304151662074,0.017609345611503402,0.08486958053666599
6h_prior,648,0.0646407708333333,0.0810089792338881,0.2056533568682699,0.2793561098731066,0.016368208400554793,0.0737027530048367
event_day_open,693,0.0659487146464646,0.0815212240564164,0.2066605213897923,0.2828178294980589,0.015572509409951807,0.0761573081082666
