model,event_date,decision_rule,strategy,threshold,n_contracts,n_positions,stake_sum,selected_market_slug,selected_contract_event_type,selected_q_market,selected_q_model,selected_normalised_edge,selected_market_price_raw,selected_target,gross_pnl,net_pnl,winning_contract_selected,winning_contract_weight,mean_selected_normalised_edge
catboost_platt,2026-05-27,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.1976470588235294,0.23873842782642302,0.04109136900289362,0.21,0.0,-0.21,-0.21,0.0,,
catboost_platt,2026-05-27,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.13486513486513488,0.2884192733747701,0.1535541385096352,0.135,0.0,-0.135,-0.135,0.0,,
catboost_platt,2026-05-27,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-27-2026-31c,interior_bin,0.1423825344091125,0.3153095539854612,0.17292701957634868,0.15,0.0,-0.15,-0.15,0.0,,
catboost_platt,2026-05-28,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-31c,interior_bin,0.11521843494959191,0.37397234432748816,0.2587539093778962,0.12,0.0,-0.12,-0.12,0.0,,
catboost_platt,2026-05-28,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-31c,interior_bin,0.20833333333333331,0.3362297962687611,0.12789646293542778,0.215,0.0,-0.215,-0.215,0.0,,
catboost_platt,2026-05-28,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-32c,interior_bin,0.14377788795240456,0.3471634659721043,0.20338557801969973,0.145,0.0,-0.145,-0.145,0.0,,
catboost_platt,2026-05-28,event_day_open,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-28-2026-32c,interior_bin,0.14800197335964477,0.35238251831511186,0.2043805449554671,0.15,0.0,-0.15,-0.15,0.0,,
catboost_platt,2026-05-29,12h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.05853658536585366,0.2557418314625058,0.19720524609665213,0.06,0.0,-0.06,-0.06,0.0,,
catboost_platt,2026-05-29,24h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.1056168987037926,0.27391761628859407,0.16830071758480147,0.11,0.0,-0.11,-0.11,0.0,,
catboost_platt,2026-05-29,6h_prior,single_best_edge,0.0,11,1,1.0,highest-temperature-in-hong-kong-on-may-29-2026-32c,interior_bin,0.03933948518698397,0.23354326013731147,0.1942037749503275,0.0405,0.0,-0.0405,-0.0405,0.0,,
