calibration_method,event_date,date_mean_brier,date_mean_log_score,worst_row_log_score
identity,2026-05-04,0.002868147013743014,0.025735369805005338,0.1912126564919074
identity,2026-05-05,0.11633238059796457,0.536315749286305,6.116498083016467
identity,2026-05-06,0.11514896055339571,0.7216740577141113,6.8838159939387475
identity,2026-05-07,0.09964043517130117,0.29252909021635004,2.422562421624553
identity,2026-05-08,0.08492435550997407,0.27672525085151756,2.62446795162475
identity,2026-05-09,0.07519643576047114,0.23263435187382206,2.238108832034979
identity,2026-05-10,0.08190295493148471,0.2755047407879087,2.9491412831656563
identity,2026-05-11,0.07989017271546774,0.24713355698042683,1.8382509117264234
identity,2026-05-12,0.06868126852735137,0.2159960168981513,1.5653147919632424
identity,2026-05-13,0.034918524025363225,0.1268483057819153,1.9616093311382103
identity,2026-05-14,0.07780746319113604,0.24383436220756105,2.1106041882455586
identity,2026-05-15,0.10885943820546494,0.3040875185165992,2.0222050156979137
identity,2026-05-16,0.10192855707898986,0.3694798174293083,3.5922597246218873
identity,2026-05-21,0.0761043486023858,0.2583705343248819,2.8744355248654205
isotonic,2026-05-04,0.02919191919273737,0.09121010080620774,0.6931471805599453
isotonic,2026-05-05,0.11320717414417675,1.3297239046915557,13.815510557964274
isotonic,2026-05-06,0.11945579205768869,1.3810264899643507,13.815510557964274
isotonic,2026-05-07,0.07313161164018755,0.22738438942305433,1.6094379124341003
isotonic,2026-05-08,0.07253623646454273,0.24038623535456186,1.4271163556401458
isotonic,2026-05-09,0.06457955768624267,0.20241032810575274,1.4087672169719492
isotonic,2026-05-10,0.07546510432083352,0.2566295286794902,3.2321210516182215
isotonic,2026-05-11,0.06884677646970457,0.22277865186810422,1.3862943611198906
isotonic,2026-05-12,0.07092351372058935,0.23210273561891234,1.3470736479666092
isotonic,2026-05-13,0.04163653252570353,0.14975741612964885,1.3512030413086205
isotonic,2026-05-14,0.06799571695062372,0.21495831009459332,1.3862943611198906
isotonic,2026-05-15,0.07994487839295303,0.22869214051266784,1.3781971508872712
isotonic,2026-05-16,0.10538016536836904,0.40362798807792005,3.7054087560651467
isotonic,2026-05-21,0.07588242084583074,0.24701693583771478,1.9459101490553135
platt,2026-05-04,0.00981438117963064,0.05181210148284266,0.40908714294076004
platt,2026-05-05,0.10835094222934492,0.4470640039995173,4.90925753929168
platt,2026-05-06,0.11020266647170603,0.5269321633488924,4.675767143779175
platt,2026-05-07,0.08204195922911656,0.25916386027514365,1.9633505110521214
platt,2026-05-08,0.07960483931435415,0.27543070775770007,2.0640930991264064
platt,2026-05-09,0.07212260136709575,0.23793660095508581,1.899812923808724
platt,2026-05-10,0.07811221752054254,0.266796809482116,2.2532916018595226
platt,2026-05-11,0.07609470450869887,0.25815321831861193,1.6843170311368
platt,2026-05-12,0.07049170328359308,0.24277132522375036,1.5518626908081243
platt,2026-05-13,0.04111821002493202,0.1600255780928536,1.7818676917315486
platt,2026-05-14,0.07503928912224124,0.24644621015668455,1.882758843555978
platt,2026-05-15,0.08830656943118313,0.26471944904157085,1.8321294028056838
platt,2026-05-16,0.09181330705015327,0.3159496508262881,2.7314482270026286
platt,2026-05-21,0.07562852633914877,0.2597572219106521,2.3095322481664278
