target_date,decision_rule,forecast_daily_max_c,forecast_issue_time_utc,decision_time_utc,unique_local_hours,source_period,forecast_value_source,daily_forecast_column,daily_forecast_corroborated,information_time_verified,hko_daily_max_c,residual_c,has_certified_market,chronology_block,development_fold,outcome_may_influence_model_choice,used_in_final_fit_before_holdout,used_to_refit_before_external_test
2026-04-02,6h_prior,24.3,2026-04-01T00:00:00Z,2026-04-01T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,24.0,-0.3000000000000007,True,warmup_training,,True,True,False
2026-04-02,event_day_open,23.2,2026-04-01T06:00:00Z,2026-04-01T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,24.0,0.8000000000000007,True,warmup_training,,True,True,False
2026-04-03,12h_prior,25.6,2026-04-01T18:00:00Z,2026-04-02T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.1,1.5,True,warmup_training,,True,True,False
2026-04-03,24h_prior,25.4,2026-04-01T06:00:00Z,2026-04-01T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.1,1.7000000000000028,True,warmup_training,,True,True,False
2026-04-03,6h_prior,26.0,2026-04-02T00:00:00Z,2026-04-02T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.1,1.1000000000000014,True,warmup_training,,True,True,False
2026-04-03,event_day_open,25.4,2026-04-02T06:00:00Z,2026-04-02T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.1,1.7000000000000028,True,warmup_training,,True,True,False
2026-04-04,12h_prior,23.9,2026-04-02T18:00:00Z,2026-04-03T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.4,2.5,True,warmup_training,,True,True,False
2026-04-04,24h_prior,25.2,2026-04-02T06:00:00Z,2026-04-02T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.4,1.1999999999999993,True,warmup_training,,True,True,False
2026-04-04,6h_prior,25.1,2026-04-03T00:00:00Z,2026-04-03T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.4,1.2999999999999972,True,warmup_training,,True,True,False
2026-04-04,event_day_open,23.2,2026-04-03T06:00:00Z,2026-04-03T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.4,3.1999999999999993,True,warmup_training,,True,True,False
2026-04-05,12h_prior,24.0,2026-04-03T18:00:00Z,2026-04-04T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,25.7,1.6999999999999993,True,warmup_training,,True,True,False
2026-04-05,24h_prior,24.4,2026-04-03T06:00:00Z,2026-04-03T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,25.7,1.3000000000000007,True,warmup_training,,True,True,False
2026-04-05,6h_prior,24.2,2026-04-04T00:00:00Z,2026-04-04T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,25.7,1.5,True,warmup_training,,True,True,False
