event_date,decision_rule,n_contracts_common,expected_n_contracts,n_yes,calibration_ready,original_19b_book_ready,book_ready,book_issue,market_total_book_probability,market_abs_book_probability_error,market_winning_probability_raw,market_winning_probability_normalised,market_normalised_categorical_log_score,market_normalised_multiclass_brier,ecmwf_raw_total_book_probability,ecmwf_raw_abs_book_probability_error,ecmwf_raw_winning_probability_raw,ecmwf_raw_winning_probability_normalised,ecmwf_raw_normalised_categorical_log_score,ecmwf_raw_normalised_multiclass_brier,ecmwf_bias_fixed_sigma_total_book_probability,ecmwf_bias_fixed_sigma_abs_book_probability_error,ecmwf_bias_fixed_sigma_winning_probability_raw,ecmwf_bias_fixed_sigma_winning_probability_normalised,ecmwf_bias_fixed_sigma_normalised_categorical_log_score,ecmwf_bias_fixed_sigma_normalised_multiclass_brier,ecmwf_bias_scale_total_book_probability,ecmwf_bias_scale_abs_book_probability_error,ecmwf_bias_scale_winning_probability_raw,ecmwf_bias_scale_winning_probability_normalised,ecmwf_bias_scale_normalised_categorical_log_score,ecmwf_bias_scale_normalised_multiclass_brier
2026-04-01,24h_prior,11,11,1,False,True,False,calibration_warmup,1.121,0.121,,,,,0.9999999999999997,3.3306690738754696e-16,,,,,,,,,,,,,,,,
2026-04-05,24h_prior,11,11,1,False,True,False,calibration_warmup,1.0929999999999997,0.09299999999999975,,,,,0.9999999999999994,5.551115123125783e-16,,,,,,,,,,,,,,,,
2026-05-31,24h_prior,11,11,1,True,True,True,,1.0070000000000001,0.007000000000000117,0.24,0.23833167825223434,1.434091969376571,0.8120860037335473,0.9999999999999994,5.551115123125783e-16,0.2561336880197626,0.2561336880197628,1.3620557519841747,0.6778916349218245,1.0,0.0,0.16161027370603503,0.16161027370603503,1.822567560002358,1.0184888886469814,1.0,0.0,0.15003624228698353,0.15003624228698353,1.8968783988235873,1.0703642991362152
2026-04-06,24h_prior,11,11,1,False,True,False,calibration_warmup,1.1584999999999999,0.15849999999999986,,,,,0.9999999999999996,4.440892098500626e-16,,,,,,,,,,,,,,,,
2026-04-07,24h_prior,11,11,1,False,True,False,calibration_warmup,1.089,0.08899999999999997,,,,,0.9999999999999996,4.440892098500626e-16,,,,,,,,,,,,,,,,
2026-04-04,24h_prior,11,11,1,False,True,False,calibration_warmup,1.161,0.16100000000000003,,,,,0.9999999999999994,5.551115123125783e-16,,,,,,,,,,,,,,,,
2026-04-03,24h_prior,11,11,1,False,True,False,calibration_warmup,1.1965,0.1964999999999999,,,,,0.9999999999999994,5.551115123125783e-16,,,,,,,,,,,,,,,,
2026-05-04,24h_prior,11,11,1,True,True,True,,0.9989999999999998,0.001000000000000223,0.675,0.6756756756756759,0.3920420877760234,0.1714963211459707,0.9999999999999998,2.220446049250313e-16,0.5,0.5000000000000001,0.6931471805599451,0.3423282127881484,1.0000000000000002,2.220446049250313e-16,0.8976761863090041,0.8976761863090039,0.10794587002038533,0.016715524373774868,1.0,0.0,0.9817540802808714,0.9817540802808714,0.018414429402406292,0.0006409191146919089
2026-05-30,24h_prior,11,11,1,True,True,True,,1.0514999999999999,0.05149999999999988,0.245,0.23300047551117453,1.4567147845980275,0.7878114479484847,0.9999999999999997,3.3306690738754696e-16,0.0547846815912408,0.05478468159124082,2.9043446571113547,1.075159278868228,1.0,0.0,0.21871720679924178,0.21871720679924178,1.5199756767572012,0.7611701491468934,1.0,0.0,0.2519255165758649,0.2519255165758649,1.3786218043032752,0.7399842102792549
2026-04-09,24h_prior,11,11,1,False,True,False,calibration_warmup,1.1724999999999999,0.17249999999999988,,,,,0.9999999999999997,3.3306690738754696e-16,,,,,,,,,,,,,,,,
2026-03-23,24h_prior,11,11,1,False,True,False,calibration_warmup,1.171,0.17100000000000004,,,,,0.9999999999999994,5.551115123125783e-16,,,,,,,,,,,,,,,,
2026-03-24,24h_prior,11,11,1,False,True,False,calibration_warmup,1.055,0.05499999999999994,,,,,0.9999999999999996,4.440892098500626e-16,,,,,,,,,,,,,,,,
2026-05-03,24h_prior,11,11,1,True,True,True,,1.0879999999999996,0.08799999999999963,0.405,0.3722426470588237,0.9882093603093484,0.5307735456314877,0.9999999999999996,4.440892098500626e-16,0.1818317583821429,0.181831758382143,1.7046734239243868,0.8212859276019501,1.0,0.0,0.24419137594065865,0.24419137594065865,1.40980303348746,0.7328765661189792,1.0,0.0,0.35812474610741757,0.35812474610741757,1.0268739004630036,0.5908005670463454
2026-04-08,24h_prior,11,11,1,False,True,False,calibration_warmup,1.0265,0.026499999999999968,,,,,0.9999999999999996,4.440892098500626e-16,,,,,,,,,,,,,,,,
2026-04-29,24h_prior,11,11,1,True,True,True,,0.9785,0.021499999999999964,0.095,0.0970873786407767,2.33214389523559,1.1157275391275219,0.9999999999999996,4.440892098500626e-16,0.0613738721449523,0.06137387214495233,2.79077106949329,1.0620124513282485,1.0,0.0,0.2255245476903276,0.2255245476903276,1.489326267026957,0.750329952725876,1.0,0.0,0.2916579990672866,0.2916579990672866,1.2321733992177941,0.7367284926204534
2026-04-23,24h_prior,11,11,1,True,True,True,,1.025,0.02499999999999991,0.075,0.07317073170731708,2.614959778036198,1.099955740630577,0.9999999999999994,5.551115123125783e-16,0.033320683764183,0.03332068376418302,3.4015769407601066,1.1180157316326105,1.0,0.0,0.16358330899167428,0.16358330899167428,1.8104328832964935,0.8576496245911347,1.0,0.0,0.10582103904312012,0.10582103904312012,2.246005922587053,1.1165673972257444
2026-04-24,24h_prior,11,11,1,True,True,True,,1.0589999999999997,0.05899999999999972,0.36,0.339943342776204,1.0789763141512505,0.5575992816641567,0.9999999999999996,4.440892098500626e-16,0.1205246531526716,0.12052465315267165,2.1159009564986024,0.944169003615928,1.0,0.0,0.25821264654087306,0.25821264654087306,1.3539718221374815,0.6682321123938901,1.0,0.0,0.4367662326108669,0.4367662326108669,0.8283571638335302,0.4461323655503581
2026-05-05,24h_prior,11,11,1,True,True,True,,1.0410000000000001,0.04100000000000015,0.05,0.048030739673390964,3.035914063186823,1.143505791833575,0.9999999999999994,5.551115123125783e-16,0.2523233465502916,0.25232334655029176,1.3770438927359443,0.6800116751033832,1.0,0.0,0.16579464886215822,0.16579464886215822,1.7970053114570383,0.8531939802873734,1.0,0.0,0.13609352805043184,0.13609352805043184,1.9944129233544963,1.0139027185614689
2026-04-25,24h_prior,11,11,1,True,True,True,,1.0339999999999998,0.03399999999999981,0.345,0.3336557059961316,1.0976456380370145,0.576464987335805,0.9999999999999996,4.440892098500626e-16,0.1406220211694107,0.14062202116941075,1.9616796890431123,0.9034136696980591,1.0,0.0,0.2611007004782907,0.2611007004782907,1.3428491204836754,0.6631836590052392,1.0,0.0,0.45745540231275683,0.45745540231275683,0.7820758803017618,0.4092896760642195
2026-04-22,24h_prior,11,11,1,True,True,True,,1.141,0.14100000000000001,0.345,0.30236634531113055,1.196115932830716,0.627431769877585,0.9999999999999996,4.440892098500626e-16,0.1015429725067298,0.10154297250672985,2.2872731956474293,0.9815860728635482,1.0,0.0,0.24831154744386547,0.24831154744386547,1.3930710815330143,0.6914338601192733,1.0,0.0,0.39193286944947325,0.39193286944947325,0.9366647052612755,0.5392583435354602
2026-04-20,24h_prior,11,11,1,True,True,True,,0.9634999999999999,0.03650000000000009,0.35,0.3632589517384536,1.0126393333709616,0.5191120959117816,0.9999999999999993,6.661338147750939e-16,0.1205246531526716,0.12052465315267168,2.115900956498602,0.9436077928556332,1.0,0.0,0.25640423305905224,0.25640423305905224,1.3610000444812165,0.6721492323926934,1.0,0.0,0.4440309318016903,0.4440309318016903,0.8118610527564676,0.4452702950230803
2026-05-07,24h_prior,11,11,1,True,True,True,,1.0715000000000001,0.07150000000000012,0.295,0.27531497900139984,1.2898394585738122,0.6996924734493515,0.9999999999999996,4.440892098500626e-16,0.016247944828113,0.016247944828113006,4.119788850320786,1.1523695577355058,1.0,0.0,0.13440720394265337,0.13440720394265337,2.0068812515657677,0.9158430354944217,1.0,0.0,0.0786694906537897,0.0786694906537897,2.542499865127565,1.1343737759013974
2026-04-21,24h_prior,11,11,1,True,True,True,,1.094,0.09400000000000008,0.32,0.29250457038391225,1.2292749871881543,0.6591475356690475,0.9999999999999997,3.3306690738754696e-16,0.0613738721449523,0.061373872144952324,2.79077106949329,1.0619132187935376,1.0,0.0,0.20787139342543093,0.20787139342543093,1.5708356913468853,0.7689340627916761,1.0,0.0,0.22559877085524704,0.22559877085524704,1.4889972077097464,0.8795318589430973
2026-04-27,24h_prior,11,11,1,True,True,True,,1.037,0.03699999999999992,0.315,0.3037608486017358,1.1915145694038942,0.6636591718749564,0.9999999999999993,6.661338147750939e-16,0.2015170661941665,0.20151706619416665,1.601881205429194,0.7816378854886745,1.0,0.0,0.24011402812066107,0.24011402812066107,1.4266413513031493,0.7089778832714575,0.9999999999999998,2.220446049250313e-16,0.3554139203410302,0.35541392034103025,1.0344721959334466,0.615506991455454
2026-04-28,24h_prior,11,11,1,True,True,True,,1.0479999999999998,0.04799999999999982,0.17,0.16221374045801532,1.8188404278307253,0.9574152511508653,0.9999999999999993,6.661338147750939e-16,0.005954697061078,0.005954697061078005,5.123574948824364,1.1727968745650719,1.0,0.0,0.07031008656375226,0.07031008656375226,2.654840011599129,1.044039554773116,1.0,0.0,0.00670132077695762,0.00670132077695762,5.00545064112376,1.317339401220085
2026-04-26,24h_prior,11,11,1,True,True,True,,1.0365,0.03649999999999998,0.36,0.3473227206946454,1.0575009004256786,0.5343346995308016,0.9999999999999997,3.3306690738754696e-16,0.0379750236441693,0.03797502364416931,3.270826607875891,1.1087069848001296,1.0,0.0,0.1831797411834819,0.1831797411834819,1.697287415916461,0.8186032714629854,0.9999999999999999,1.1102230246251565e-16,0.15474099766894855,0.15474099766894858,1.8660025424927764,1.013340497851088
2026-05-15,24h_prior,11,11,1,True,True,True,,1.0500000000000003,0.050000000000000266,0.155,0.1476190476190476,1.9131203262323226,1.051032199546485,0.9999999999999996,4.440892098500626e-16,0.2015170661941665,0.2015170661941666,1.6018812054291944,0.872855471682523,1.0,0.0,0.042766920297706124,0.042766920297706124,3.151990365468546,1.6126036466369076,0.9999999999999999,1.1102230246251565e-16,0.00688447901442979,0.0068844790144297905,4.978485819318963,1.8445866144739815
2026-05-16,24h_prior,11,11,1,True,True,True,,1.0665,0.0665,0.07,0.06563525550867323,2.7236422958620463,1.1125881351450617,0.9999999999999994,5.551115123125783e-16,0.2605588311462989,0.2605588311462991,1.344926603953377,0.6635543555844098,1.0,0.0,0.1379645209893366,0.1379645209893366,1.980758721159502,0.9146032256905026,1.0,0.0,0.09426089480185829,0.09426089480185829,2.3616888646198944,1.0870486991384427
2026-05-27,24h_prior,11,11,1,True,True,True,,1.0624999999999996,0.062499999999999556,0.26,0.2447058823529413,1.4076982697830436,0.7589452179930796,0.9999999999999996,4.440892098500626e-16,0.0547846815912408,0.05478468159124083,2.9043446571113547,1.0751592788682283,1.0,0.0,0.21619452499863667,0.21619452499863667,1.5315766978782703,0.7653277584022803,1.0,0.0,0.245733624359608,0.245733624359608,1.40350715753783,0.7490019990017212
2026-05-28,24h_prior,11,11,1,True,True,True,,1.032,0.03200000000000003,0.38,0.3682170542635659,0.9990826933210766,0.589919569887627,0.9999999999999996,4.440892098500626e-16,0.1150696702217082,0.11506967022170826,2.1622175060437394,0.9600196705179335,1.0,0.0,0.4920216862830977,0.4920216862830977,0.7092324856500529,0.35249455107871797,1.0,0.0,0.48954753001195395,0.48954753001195395,0.7142737226202697,0.3836438107978345
2026-05-02,24h_prior,11,11,1,True,True,True,,1.082,0.08200000000000007,0.27,0.24953789279112754,1.3881445004080522,0.7453644069823459,0.9999999999999994,5.551115123125783e-16,0.2417459610648366,0.24174596106483673,1.4198678518623964,0.7011664460742931,1.0,0.0,0.18686503415160605,0.18686503415160605,1.677368665213842,0.8125501771732405,1.0,0.0,0.17547950773362087,0.17547950773362087,1.740233007944379,0.9494036462329583
2026-05-13,24h_prior,11,11,1,True,True,True,,1.0485,0.04849999999999999,0.091,0.08679065331425846,2.4442563438251246,1.124653631263319,0.9999999999999997,3.3306690738754696e-16,0.0359303191129258,0.03593031911292582,3.326173796378593,1.1132032082393983,0.9999999999999999,1.1102230246251565e-16,0.26954674133322587,0.2695467413332259,1.311013466442544,0.6835125696828411,1.0,0.0,0.17628026775493622,0.17628026775493622,1.7356801200911005,0.928553182198674
2026-05-14,24h_prior,11,11,1,True,True,True,,1.131,0.131,0.26,0.22988505747126436,1.4701758451005928,0.7822772113909038,0.9999999999999994,5.551115123125783e-16,0.1108649016586423,0.11086490165864235,2.1994429211145765,0.9629497821854865,1.0,0.0,0.2585555923387587,0.2585555923387587,1.3526445507518599,0.6743583737394104,1.0,0.0,0.38103577347785833,0.38103577347785833,0.9648620146204955,0.5136900420654191
2026-05-24,24h_prior,11,11,1,True,True,True,,1.033,0.03299999999999992,0.405,0.39206195546950634,0.9363354020130993,0.5229118658331214,0.9999999999999997,3.3306690738754696e-16,0.1205246531526716,0.12052465315267163,2.1159009564986024,0.9446500915177453,1.0,0.0,0.2601947485351353,0.2601947485351353,1.346324895524251,0.7278515696104302,1.0,0.0,0.3287312589572775,0.3287312589572775,1.112514704089183,0.6132121832872877
2026-05-26,24h_prior,11,11,1,True,True,True,,1.0479999999999998,0.04799999999999982,0.34,0.32442748091603063,1.1256932472707801,0.6330082563661791,0.9999999999999997,3.3306690738754696e-16,0.0760396778111262,0.07603967781112622,2.5764999984681207,1.0327860917694793,1.0,0.0,0.23910157903677842,0.23910157903677842,1.4308668004544352,0.7311629802837343,1.0,0.0,0.28856045892821913,0.28856045892821913,1.242850651979818,0.6671105886235366
2026-05-25,24h_prior,11,11,1,True,True,True,,1.0525000000000002,0.05250000000000021,0.255,0.2422802850356294,1.4176600203981105,0.7548542380149064,0.9999999999999993,6.661338147750939e-16,0.0486934252774081,0.04869342527740814,3.022211262578205,1.0873194181324115,1.0,0.0,0.20887427222880683,0.20887427222880683,1.5660227763153454,0.7777335811215726,1.0,0.0,0.23165642339996806,0.23165642339996806,1.4624999386026967,0.7746611804107545
2026-05-23,24h_prior,11,11,1,True,True,True,,1.1575000000000002,0.1575000000000002,0.2,0.17278617710583152,1.7557004194123524,0.8678280908153697,0.9999999999999994,5.551115123125783e-16,0.22767795341899,0.22767795341899014,1.4798231335294219,0.7293503618492476,1.0,0.0,0.2184570500922025,0.2184570500922025,1.521165850852075,0.7570118600068676,1.0,0.0,0.2544699319927186,0.2544699319927186,1.3685725953829933,0.7408742818770179
2026-05-22,24h_prior,11,11,1,True,True,True,,1.0545,0.05449999999999999,0.405,0.38406827880512096,0.95693493281229,0.511990765940006,0.9999999999999996,4.440892098500626e-16,0.1150696702217082,0.11506967022170826,2.1622175060437394,0.9600196705179336,1.0,0.0,0.471458154996928,0.471458154996928,0.7519249295279807,0.37927800253959204,1.0,0.0,0.4609997213856528,0.4609997213856528,0.7743578403551878,0.4290562076864487
2026-03-27,24h_prior,11,11,1,False,True,False,calibration_warmup,0.972,0.028000000000000025,,,,,0.9999999999999996,4.440892098500626e-16,,,,,,,,,,,,,,,,
2026-03-28,24h_prior,11,11,1,False,True,False,calibration_warmup,1.1085,0.10850000000000004,,,,,0.9999999999999997,3.3306690738754696e-16,,,,,,,,,,,,,,,,
2026-03-29,24h_prior,11,11,1,False,True,False,calibration_warmup,1.0585,0.058499999999999996,,,,,0.9999999999999996,4.440892098500626e-16,,,,,,,,,,,,,,,,
2026-05-29,24h_prior,11,11,1,True,True,True,,1.0414999999999999,0.04149999999999987,0.695,0.6673067690830533,0.4045054151362345,0.16269787035344763,0.9999999999999998,2.220446049250313e-16,0.4207402905608977,0.4207402905608978,0.8657395226815934,0.44882523574299116,1.0,0.0,0.8368073548408399,0.8368073548408399,0.17816139646435822,0.04114912104202175,1.0,0.0,0.9025750716644534,0.9025750716644534,0.1025034103348521,0.016514992654024504
2026-03-25,24h_prior,11,11,1,False,True,False,calibration_warmup,1.1505,0.15050000000000008,,,,,0.9999999999999998,2.220446049250313e-16,,,,,,,,,,,,,,,,
2026-05-01,24h_prior,11,11,1,True,True,True,,1.0305,0.03049999999999997,0.365,0.35419699175157693,1.0379020467480222,0.545008958921737,0.9999999999999994,5.551115123125783e-16,0.033320683764183,0.03332068376418302,3.4015769407601066,1.1180491751773134,1.0,0.0,0.18500260223733112,0.18500260223733112,1.6873853878550038,0.8146590785160809,1.0,0.0,0.171696592840338,0.171696592840338,1.7620263549544657,0.9552110171512599
2026-05-11,24h_prior,11,11,1,True,True,True,,1.0675000000000001,0.06750000000000012,0.375,0.35128805620608894,1.046148719132369,0.557259898315682,0.9999999999999993,6.661338147750939e-16,0.130465464351,0.1304654643510001,2.0366467282314997,0.9237753399852277,1.0,0.0,0.26111731963647267,0.26111731963647267,1.342785472131656,0.6737869646125231,1.0,0.0,0.3805991193565302,0.3805991193565302,0.9660086379521653,0.5088703227314181
2026-05-12,24h_prior,11,11,1,True,True,True,,1.083,0.08299999999999996,0.21,0.19390581717451524,1.6403827162835218,0.8437337207527738,0.9999999999999996,4.440892098500626e-16,0.0712333774139861,0.07123337741398612,2.6417937865047545,1.0440641600457756,1.0,0.0,0.3931899428270974,0.3931899428270974,0.9334624687903177,0.488619719085168,1.0,0.0,0.3416708897294881,0.3416708897294881,1.073907315970257,0.6310774885533272
2026-05-10,24h_prior,11,11,1,True,True,True,,1.0465,0.046499999999999986,0.2,0.19111323459149548,1.6548891753380177,0.8500329517384296,0.9999999999999996,4.440892098500626e-16,0.161281317821055,0.1612813178210551,1.8246051231190294,0.8620967592054195,1.0,0.0,0.25664380791916547,0.25664380791916547,1.3600661168237989,0.673159993612937,1.0,0.0,0.36511525673890083,0.36511525673890083,1.0075422033576955,0.5376271833619715
2026-04-12,24h_prior,11,11,1,True,True,True,,1.025,0.02499999999999991,0.285,0.2780487804878049,1.279958711303858,0.7136861392028554,0.9999999999999997,3.3306690738754696e-16,0.161281317821055,0.16128131782105506,1.8246051231190294,0.862241673729871,1.0,0.0,0.2610627270730532,0.2610627270730532,1.3429945669217094,0.674739250718638,1.0,0.0,0.47229200162961826,0.47229200162961826,0.750157837159694,0.39059665613837774
2026-04-19,24h_prior,11,11,1,True,True,True,,0.9975,0.0024999999999999467,0.15,0.15037593984962405,1.8946168546677629,0.9491834850283604,0.9999999999999994,5.551115123125783e-16,0.0253249029511799,0.025324902951179912,3.6759670609897803,1.1340135177414878,1.0,0.0,0.14553462562959463,0.14553462562959463,1.9273412438468835,0.8957335457302308,1.0,0.0,0.06866840919235251,0.06866840919235251,2.678466022594988,1.198152432553726
