decision_rule,model,mean_brier,mean_log_score
24h_prior,market,0.068202525,0.2143879654846265
24h_prior,ecmwf_raw,0.085538753569242,0.3015253914931629
24h_prior,ecmwf_bias_fixed_sigma,0.0673315720449041,0.2135151351997934
24h_prior,ecmwf_bias_scale,0.0666556287715089,0.2109358792625374
12h_prior,market,0.0649575010121457,0.2085988328759082
12h_prior,ecmwf_raw,0.0842450802911866,0.3060473968144092
12h_prior,ecmwf_bias_fixed_sigma,0.064981792931739,0.2088871651766921
12h_prior,ecmwf_bias_scale,0.065646510335454,0.2088184093576836
6h_prior,market,0.0649904435817805,0.2070711198874075
6h_prior,ecmwf_raw,0.0820887655232854,0.2880426886514238
6h_prior,ecmwf_bias_fixed_sigma,0.0661066657066862,0.2106004372492483
6h_prior,ecmwf_bias_scale,0.0678298926785933,0.2171919605705357
event_day_open,market,0.0640201723484848,0.1988927897360801
event_day_open,ecmwf_raw,0.0822972699398205,0.2884245155428223
event_day_open,ecmwf_bias_fixed_sigma,0.0632691775826185,0.2038033910106311
event_day_open,ecmwf_bias_scale,0.0611060253555706,0.1973226414772359
