path,size_bytes,sha256
data/processed/20a_supervised_feature_matrix.csv,2684448,7ca1fc78221d38209f2a4a17664f2803fb260d4cf2e2ea835f6f33fd13938849
data/processed/20a_feature_dictionary.csv,9808,9bef7d7a5c942c65129381e619af1fb69eaa3dd836233d2a9f6de6834f0d8d31
data/processed/20a_model_feature_sets.json,7292,6e41308ed32416c3f6e9a02a3c5898663c336d75fa7cb70ea5b1b58ad7d5cb48
data/processed/20a_date_group_summary.csv,2615,b2332c30559f3707105ca3ec63dafe6291ad52f05bbc299ef1cde1c149d20bf7
data/processed/20a_feature_missingness_summary.csv,8324,b643091a071a6429febf45143d1feb552c6c25b114e1e6d48045309c1abc1151
data/processed/20a_integrity_checks.csv,956,b849dfd215e226fb05432dcb7f2b44b378521dcf5b407f255e37a5058450408c
data/processed/20a_issues.csv,1465,6dde3b0c82a490065480287f0b61238cd1c180ef3332ff9e184c31503c7d6724
docs/research_outputs/20a_supervised_feature_matrix_report.md,8253,3d797b96bf664e14dcfe58a2c709737298e0627a4ef92a060a185b529dfca562
figures/20a_supervised_feature_matrix/20a_rows_by_decision_rule.png,54864,3a4fed386cda8f5151b429d1a7133a8112062f20496259ce792ea2d663129311
figures/20a_supervised_feature_matrix/20a_target_prevalence_by_event_type.png,70650,d2b85685a3a5f19a01ceccd5b64dfef97eed540210be389389b69e403c756624
figures/20a_supervised_feature_matrix/20a_feature_missingness_top20.png,93344,cf852caf44ee57f94efed6811d960ffedd929d1380be087f51fe9a22ea6ab964
figures/20a_supervised_feature_matrix/20a_core_predictor_correlation.png,156562,34a34643fb29b145e91bff3217909f7dc51486f8a4580532e861ec320d01ce80
