model,event_date,decision_rule,n_contracts,n_winners,market_probability_sum_raw,model_probability_sum_raw,complete_book
catboost_raw,2026-05-22,12h_prior,11,1,1.055,1.1818645885928034,True
catboost_raw,2026-05-22,24h_prior,11,1,1.0545,1.119986887551613,True
catboost_raw,2026-05-22,6h_prior,11,1,1.0055,1.3625263354485324,True
catboost_raw,2026-05-22,event_day_open,11,1,1.0465,1.1998265785015152,True
catboost_raw,2026-05-23,12h_prior,11,1,1.0759999999999998,2.5176690682867404,True
catboost_raw,2026-05-23,24h_prior,11,1,1.1575,2.1364277551005544,True
catboost_raw,2026-05-23,6h_prior,11,1,1.05,2.275704074376245,True
catboost_raw,2026-05-23,event_day_open,11,1,1.029,2.313460936490907,True
catboost_raw,2026-05-24,12h_prior,11,1,1.0215,1.8055574788136646,True
catboost_raw,2026-05-24,24h_prior,11,1,1.033,1.707965218162768,True
catboost_raw,2026-05-24,6h_prior,11,1,1.028,1.6283731948553501,True
catboost_raw,2026-05-24,event_day_open,11,1,1.0110000000000001,1.5286026874478484,True
catboost_raw,2026-05-25,12h_prior,11,1,1.041,2.183406487996153,True
catboost_raw,2026-05-25,24h_prior,11,1,1.0525,2.3315121160343866,True
catboost_raw,2026-05-25,6h_prior,11,1,1.0419999999999998,2.186133437098406,True
catboost_raw,2026-05-25,event_day_open,11,1,1.0559999999999998,2.0526738380735545,True
catboost_raw,2026-05-26,12h_prior,11,1,1.0394999999999999,2.3808663004864465,True
catboost_raw,2026-05-26,24h_prior,11,1,1.0479999999999998,2.229973797834873,True
catboost_raw,2026-05-26,6h_prior,11,1,1.031,2.521156398683911,True
catboost_raw,2026-05-26,event_day_open,11,1,1.016,2.42312690033306,True
catboost_raw,2026-05-27,12h_prior,11,1,1.0364999999999998,3.076142294468162,True
catboost_raw,2026-05-27,24h_prior,11,1,1.0625,2.927583651292998,True
catboost_raw,2026-05-27,6h_prior,11,1,1.001,2.8946017153265085,True
catboost_raw,2026-05-27,event_day_open,11,1,1.0534999999999999,2.624732802224488,True
catboost_raw,2026-05-28,12h_prior,11,1,1.0415,2.3808159993443554,True
catboost_raw,2026-05-28,24h_prior,11,1,1.032,2.214589271808183,True
catboost_raw,2026-05-28,6h_prior,11,1,1.0085,2.3903295710704033,True
