model,decision_rule,threshold,n_opportunities,n_dates,n_trades,n_yes_trades,n_no_trades,trade_rate,mean_absolute_edge_all,mean_absolute_edge_trades,total_net_pnl,mean_net_pnl_per_opportunity,mean_net_pnl_per_trade,median_net_pnl_per_trade,hit_rate_trades
catboost_platt,12h_prior,0.0,110,10,110,101,9,1.0,0.09992951856949774,0.09992951856949774,-3.1199999999999983,-0.028363636363636348,-0.028363636363636348,-0.0015,0.08181818181818182
catboost_platt,24h_prior,0.0,110,10,110,99,11,1.0,0.09239602773253527,0.09239602773253527,-3.61,-0.032818181818181816,-0.032818181818181816,-0.003,0.1
catboost_platt,6h_prior,0.0,110,10,110,102,8,1.0,0.10484068691183288,0.10484068691183288,1.8645,0.01695,0.01695,-0.0005,0.10909090909090909
catboost_platt,event_day_open,0.0,110,10,110,102,8,1.0,0.10236385234747875,0.10236385234747875,1.8640000000000008,0.016945454545454552,0.016945454545454552,-0.0005,0.10909090909090909
catboost_raw,12h_prior,0.0,110,10,110,107,3,1.0,0.12441002221595684,0.12441002221595684,-1.929999999999999,-0.017545454545454538,-0.017545454545454538,-0.0015,0.08181818181818182
catboost_raw,24h_prior,0.0,110,10,110,103,7,1.0,0.12031529533626704,0.12031529533626704,-1.8639999999999997,-0.01694545454545454,-0.01694545454545454,-0.0025,0.11818181818181818
catboost_raw,6h_prior,0.0,110,10,110,106,4,1.0,0.12751909749524146,0.12751909749524146,0.054500000000001325,0.0004954545454545575,0.0004954545454545575,-0.00075,0.09090909090909091
catboost_raw,event_day_open,0.0,110,10,110,105,5,1.0,0.11840282601701918,0.11840282601701918,0.42400000000000104,0.0038545454545454642,0.0038545454545454642,-0.0005,0.1
ecmwf_bias_adaptive_sigma,12h_prior,0.0,110,10,110,29,81,1.0,0.04009107071601864,0.04009107071601864,1.2399999999999998,0.011272727272727271,0.011272727272727271,0.0005,0.7181818181818181
ecmwf_bias_adaptive_sigma,24h_prior,0.0,110,10,110,23,87,1.0,0.02468715793342933,0.02468715793342933,2.3749999999999996,0.021590909090909088,0.021590909090909088,0.0015,0.7909090909090909
ecmwf_bias_adaptive_sigma,6h_prior,0.0,110,10,110,33,77,1.0,0.053152259363037795,0.053152259363037795,0.6834999999999996,0.0062136363636363596,0.0062136363636363596,0.0005,0.6636363636363637
ecmwf_bias_adaptive_sigma,event_day_open,0.0,110,10,110,34,76,1.0,0.04523172964683071,0.04523172964683071,1.7239999999999993,0.015672727272727265,0.015672727272727265,0.0005,0.6545454545454545
ecmwf_bias_fixed_sigma,12h_prior,0.0,110,10,110,48,62,1.0,0.04109460544887155,0.04109460544887155,0.811,0.007372727272727273,0.007372727272727273,0.0005,0.5454545454545454
ecmwf_bias_fixed_sigma,24h_prior,0.0,110,10,110,35,75,1.0,0.02911002420859046,0.02911002420859046,1.7949999999999995,0.016318181818181815,0.016318181818181815,0.001,0.6636363636363637
ecmwf_bias_fixed_sigma,6h_prior,0.0,110,10,110,53,57,1.0,0.05609117034511253,0.05609117034511253,0.13849999999999996,0.0012590909090909087,0.0012590909090909087,-0.0005,0.4636363636363636
