feature_set,candidate_id,event_date,n_rows,outcome_rate,date_mean_brier,date_mean_log_score
combined,cb_d3_lr03_l2_8,2026-04-26,44,0.09090909090909091,0.05715774041522149,0.16964472627936586
combined,cb_d3_lr03_l2_8,2026-04-27,44,0.09090909090909091,0.07267744969918091,0.20299423454949725
combined,cb_d3_lr03_l2_8,2026-04-28,44,0.09090909090909091,0.07899099338249232,0.2293749322858395
combined,cb_d3_lr03_l2_8,2026-04-29,44,0.09090909090909091,0.1013475161565561,0.292643847097388
combined,cb_d3_lr03_l2_8,2026-04-30,33,0.09090909090909091,0.021159377701885283,0.06287349556202816
combined,cb_d3_lr03_l2_8,2026-05-01,44,0.09090909090909091,0.058320346429477005,0.17357066323681092
combined,cb_d3_lr03_l2_8,2026-05-02,44,0.09090909090909091,0.11385237884408883,0.37387651903677205
combined,cb_d3_lr03_l2_8,2026-05-03,44,0.09090909090909091,0.06389406447909694,0.18557398957182292
combined,cb_d3_lr03_l2_8,2026-05-04,44,0.09090909090909091,0.002079210866410102,0.017242413991363507
combined,cb_d3_lr03_l2_8,2026-05-05,44,0.09090909090909091,0.14459272860315342,0.47413446652011504
combined,cb_d3_lr03_l2_8,2026-05-06,33,0.09090909090909091,0.1284497575123833,0.6523578151967087
combined,cb_d3_lr03_l2_8,2026-05-07,44,0.09090909090909091,0.07850528444584248,0.2274057945665124
combined,cb_d3_lr03_l2_8,2026-05-08,44,0.09090909090909091,0.07165520047210548,0.2278879354377092
combined,cb_d3_lr03_l2_8,2026-05-09,44,0.09090909090909091,0.05044756158255162,0.1572677493810327
combined,cb_d3_lr03_l2_8,2026-05-10,44,0.09090909090909091,0.07200970512197898,0.22142944618852622
combined,cb_d3_lr03_l2_8,2026-05-11,44,0.09090909090909091,0.07090808073169898,0.21341888128807165
combined,cb_d3_lr03_l2_8,2026-05-12,44,0.09090909090909091,0.09130071826429015,0.2719510982540353
combined,cb_d3_lr03_l2_8,2026-05-13,44,0.09090909090909091,0.03859463527703029,0.12248399147074122
combined,cb_d3_lr03_l2_8,2026-05-14,44,0.09090909090909091,0.02689857866922889,0.09846577664006367
combined,cb_d3_lr03_l2_8,2026-05-15,44,0.09090909090909091,0.1629463989055733,0.5891289288794164
combined,cb_d3_lr03_l2_8,2026-05-16,44,0.09090909090909091,0.12065217214498264,0.4322599041503807
combined,cb_d3_lr03_l2_8,2026-05-21,33,0.09090909090909091,0.09739371181504426,0.3389564769249935
combined,cb_d3_lr05_l2_12,2026-04-26,44,0.09090909090909091,0.0484987006525598,0.15181237264618105
combined,cb_d3_lr05_l2_12,2026-04-27,44,0.09090909090909091,0.07609874966189639,0.2139492606593974
combined,cb_d3_lr05_l2_12,2026-04-28,44,0.09090909090909091,0.0741270686091322,0.2153518217810194
combined,cb_d3_lr05_l2_12,2026-04-29,44,0.09090909090909091,0.09749148115683709,0.28251918871056403
combined,cb_d3_lr05_l2_12,2026-04-30,33,0.09090909090909091,0.01927686014794226,0.05912815494913586
combined,cb_d3_lr05_l2_12,2026-05-01,44,0.09090909090909091,0.05267445402077465,0.15891340312346292
combined,cb_d3_lr05_l2_12,2026-05-02,44,0.09090909090909091,0.11722286565580485,0.38217797684903765
combined,cb_d3_lr05_l2_12,2026-05-03,44,0.09090909090909091,0.06917849450539233,0.19883043609916823
combined,cb_d3_lr05_l2_12,2026-05-04,44,0.09090909090909091,0.0013965530559048938,0.014154412873233874
combined,cb_d3_lr05_l2_12,2026-05-05,44,0.09090909090909091,0.14599958776836755,0.48105625295819493
combined,cb_d3_lr05_l2_12,2026-05-06,33,0.09090909090909091,0.12682256322701035,0.6515675531368184
combined,cb_d3_lr05_l2_12,2026-05-07,44,0.09090909090909091,0.0793748115383342,0.2316522740454058
combined,cb_d3_lr05_l2_12,2026-05-08,44,0.09090909090909091,0.07049642870835239,0.2255524599361176
combined,cb_d3_lr05_l2_12,2026-05-09,44,0.09090909090909091,0.05634179861841721,0.17012871019881154
combined,cb_d3_lr05_l2_12,2026-05-10,44,0.09090909090909091,0.07464877404982385,0.22667763885303885
combined,cb_d3_lr05_l2_12,2026-05-11,44,0.09090909090909091,0.07136238201364412,0.21886658375599657
combined,cb_d3_lr05_l2_12,2026-05-12,44,0.09090909090909091,0.07727109424399105,0.2310177536431005
combined,cb_d3_lr05_l2_12,2026-05-13,44,0.09090909090909091,0.03822990837885031,0.12293125572962561
combined,cb_d3_lr05_l2_12,2026-05-14,44,0.09090909090909091,0.04084375409461514,0.13060668638580034
combined,cb_d3_lr05_l2_12,2026-05-15,44,0.09090909090909091,0.16448650588619482,0.5931141628975266
combined,cb_d3_lr05_l2_12,2026-05-16,44,0.09090909090909091,0.11398552846338804,0.4405133673865112
combined,cb_d3_lr05_l2_12,2026-05-21,33,0.09090909090909091,0.08517746029865057,0.2950114204411389
combined,cb_d4_lr03_l2_12,2026-04-26,44,0.09090909090909091,0.049893361886906955,0.1528785098425718
combined,cb_d4_lr03_l2_12,2026-04-27,44,0.09090909090909091,0.08092733425623228,0.22563340904125795
combined,cb_d4_lr03_l2_12,2026-04-28,44,0.09090909090909091,0.07370693287296708,0.21593738630209858
combined,cb_d4_lr03_l2_12,2026-04-29,44,0.09090909090909091,0.09973608061945093,0.294996566979951
combined,cb_d4_lr03_l2_12,2026-04-30,33,0.09090909090909091,0.01286950202852713,0.04499882694710306
combined,cb_d4_lr03_l2_12,2026-05-01,44,0.09090909090909091,0.050053222484007946,0.15427050955942714
combined,cb_d4_lr03_l2_12,2026-05-02,44,0.09090909090909091,0.1072617350412354,0.35727625272400193
combined,cb_d4_lr03_l2_12,2026-05-03,44,0.09090909090909091,0.060925761033885736,0.17694887126142617
combined,cb_d4_lr03_l2_12,2026-05-04,44,0.09090909090909091,0.004975832801723882,0.027378889772504588
combined,cb_d4_lr03_l2_12,2026-05-05,44,0.09090909090909091,0.14846634128461614,0.5000927458186719
combined,cb_d4_lr03_l2_12,2026-05-06,33,0.09090909090909091,0.1327073414901414,0.6827778564994187
combined,cb_d4_lr03_l2_12,2026-05-07,44,0.09090909090909091,0.07625544371191678,0.2240306270196463
combined,cb_d4_lr03_l2_12,2026-05-08,44,0.09090909090909091,0.0741164950563596,0.22689866790414231
combined,cb_d4_lr03_l2_12,2026-05-09,44,0.09090909090909091,0.06484236588116336,0.19946348381813736
combined,cb_d4_lr03_l2_12,2026-05-10,44,0.09090909090909091,0.06900217360642798,0.21572271615055805
combined,cb_d4_lr03_l2_12,2026-05-11,44,0.09090909090909091,0.07641442403297571,0.2344635233128218
combined,cb_d4_lr03_l2_12,2026-05-12,44,0.09090909090909091,0.10068788085575271,0.3271254833732313
combined,cb_d4_lr03_l2_12,2026-05-13,44,0.09090909090909091,0.03677305645053396,0.12173655591974607
combined,cb_d4_lr03_l2_12,2026-05-14,44,0.09090909090909091,0.03908846497652109,0.12914395650317664
combined,cb_d4_lr03_l2_12,2026-05-15,44,0.09090909090909091,0.15406444791536666,0.5202021168059093
combined,cb_d4_lr03_l2_12,2026-05-16,44,0.09090909090909091,0.11935509416079487,0.4272097305355013
combined,cb_d4_lr03_l2_12,2026-05-21,33,0.09090909090909091,0.08544994845619248,0.28670498125319926
combined_no_book,cb_d3_lr03_l2_8,2026-04-26,44,0.09090909090909091,0.06497248087807055,0.1881195254649635
combined_no_book,cb_d3_lr03_l2_8,2026-04-27,44,0.09090909090909091,0.0777171963247826,0.21610367486077395
combined_no_book,cb_d3_lr03_l2_8,2026-04-28,44,0.09090909090909091,0.08252433201782493,0.23883497013465502
combined_no_book,cb_d3_lr03_l2_8,2026-04-29,44,0.09090909090909091,0.09994909374612136,0.2902517995671898
combined_no_book,cb_d3_lr03_l2_8,2026-04-30,33,0.09090909090909091,0.026748827776431932,0.07463640592034154
