event_date,n_contracts,hko_tmax_C,yes_count,exactly_one_yes,target_rows_ready,n_lower_tail_endpoint,n_interior_bin,n_upper_tail,has_lower_endpoint,has_upper_endpoint,n_intervals,partition_has_gap,partition_has_overlap,partition_gap_detail,partition_overlap_detail,date_book_valid
2026-03-16,11,24.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-17,11,24.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-18,11,27.8,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-19,11,28.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-21,11,22.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-22,11,25.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-23,11,27.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-24,11,26.9,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-25,11,30.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-26,11,28.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-27,11,26.2,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-28,11,27.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-29,11,25.8,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-03-30,11,28.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-01,11,27.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-02,11,24.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-03,11,27.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-04,11,26.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-05,11,25.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-06,11,28.1,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-07,11,29.2,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-08,11,26.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-09,11,28.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-10,11,28.3,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-11,11,27.6,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-12,11,28.5,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-13,11,29.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-14,11,29.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-15,11,28.9,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-16,11,30.2,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-17,11,28.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-18,11,28.5,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-19,11,30.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-20,11,28.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-21,11,28.9,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-22,11,29.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-23,11,29.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-24,11,23.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-25,11,26.5,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-26,11,28.8,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-27,11,27.9,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-28,11,29.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-29,11,28.4,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-04-30,11,26.7,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-01,11,26.9,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-02,11,27.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-03,11,29.6,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-04,11,27.6,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-05,11,23.0,1,True,11,1,9,1,True,True,11,False,False,,,True
2026-05-06,11,24.6,1,True,11,1,9,1,True,True,11,False,False,,,True
