event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,p_market,p_ecmwf_raw,p_ecmwf_bias_fixed_sigma,p_ecmwf_bias_scale,cv_fold,feature_set,candidate_id,p_catboost_oof,brier_catboost_oof,log_catboost_oof,selected,overall_rank,selected_model
2026-04-26,16,24h_prior,highest-temperature-in-hong-kong-on-april-26-2026-28c,interior_bin,1,0.36,0.0379750236441693,0.1831797411834819,0.1547409976689485,1,weather_only,cb_d3_lr03_l2_8,0.10247085458641102,0.8055585668668473,2.2781768663359494,False,11,False
2026-04-26,16,24h_prior,highest-temperature-in-hong-kong-on-april-26-2026-27c,interior_bin,0,0.27,0.1108649016586423,0.2565630348583301,0.4323995750052372,1,weather_only,cb_d3_lr03_l2_8,0.7887313520328834,0.6220971456796202,1.5546247422402573,False,11,False
2026-04-26,16,24h_prior,highest-temperature-in-hong-kong-on-april-26-2026-20corbelow,lower_tail_endpoint,0,0.0015,0.0013498980316301,1.7197841470917297e-05,2.2926105458509483e-14,1,weather_only,cb_d3_lr03_l2_8,0.0019805087221600845,3.922414798552171e-06,0.0019824725228706676,False,11,False
2026-04-26,16,24h_prior,highest-temperature-in-hong-kong-on-april-26-2026-30corhigher,upper_tail,0,0.075,0.0013498980316301,0.0316002890552014,0.0003583746677766,1,weather_only,cb_d3_lr03_l2_8,0.0038508540901736957,1.482907722380748e-05,0.003858287718801804,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-26c,interior_bin,0,0.055,0.2351094847929893,0.2331833785058725,0.3126392769393407,1,weather_only,cb_d3_lr03_l2_8,0.07806365857371,0.006093934789912768,0.0812791018153834,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-22c,interior_bin,0,0.0015,0.0253249029511799,0.0021701539690948,1.732200775872439e-06,1,weather_only,cb_d3_lr03_l2_8,0.0009448012806223756,8.926494598656809e-07,0.000945247886677094,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-25c,interior_bin,0,0.025,0.2561336880197627,0.13787036629538,0.0817449710085472,1,weather_only,cb_d3_lr03_l2_8,0.004756293958779032,2.2622332222317915e-05,0.004767641119475507,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-21c,interior_bin,0,0.0005,0.0049620348176447,0.0002298915566936,4.772729655933006e-09,1,weather_only,cb_d3_lr03_l2_8,0.0008300245109072314,6.889406887067887e-07,0.000830369171982835,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-23c,interior_bin,0,0.0015,0.0840955945149676,0.0133103956147699,0.0001962636553958,1,weather_only,cb_d3_lr03_l2_8,0.0011099593428146755,1.2320097427015864e-06,0.0011105758038927173,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-24c,interior_bin,0,0.0035,0.1818317583821428,0.0530958968196826,0.0070472819360219,1,weather_only,cb_d3_lr03_l2_8,0.0018821594616745345,3.5425242391709735e-06,0.0018839329494681066,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-29c,interior_bin,0,0.26,0.0138935654923173,0.0863434014007065,0.0246256794506358,1,weather_only,cb_d3_lr03_l2_8,0.11638874322927183,0.013546339550489369,0.12373806784922949,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-28c,interior_bin,1,0.375,0.0547846815912408,0.1845494637774017,0.1722229384539862,1,weather_only,cb_d3_lr03_l2_8,0.14919550307294382,0.7238682919913011,1.902497731928474,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-27c,interior_bin,0,0.285,0.1406220211694107,0.2569812458719956,0.4003564037300794,1,weather_only,cb_d3_lr03_l2_8,0.44926881075781433,0.2018424643197408,0.5965084486860859,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-20corbelow,lower_tail_endpoint,0,0.001,0.0006871379379158,1.6530900846190022e-05,4.062195024800985e-12,1,weather_only,cb_d3_lr03_l2_8,0.0029427387261645576,8.659711210468603e-06,0.0029470770949842134,False,11,False
2026-04-26,16,6h_prior,highest-temperature-in-hong-kong-on-april-26-2026-30corhigher,upper_tail,0,0.023,0.0025551303304279,0.032249275287556,0.0011654478484248,1,weather_only,cb_d3_lr03_l2_8,0.006499310995920998,4.22410434216996e-05,0.00652052347859965,False,11,False
2026-04-26,16,event_day_open,highest-temperature-in-hong-kong-on-april-26-2026-26c,interior_bin,0,0.05,0.22767795341899,0.226631641180971,0.2952223551409262,1,weather_only,cb_d3_lr03_l2_8,0.04325338730966397,0.0018708555137598004,0.04421669511600169,False,11,False
2026-04-26,16,event_day_open,highest-temperature-in-hong-kong-on-april-26-2026-22c,interior_bin,0,0.0005,0.0291114568427496,0.0018182002836515,1.756893464044396e-07,1,weather_only,cb_d3_lr03_l2_8,0.0006324074746228903,3.9993921395890167e-07,0.0006326075285780683,False,11,False
2026-04-26,16,event_day_open,highest-temperature-in-hong-kong-on-april-26-2026-25c,interior_bin,0,0.0175,0.2588905185378326,0.1291260470540514,0.0573189514392238,1,weather_only,cb_d3_lr03_l2_8,0.003205622872979229,1.0276018003767605e-05,0.0032107718887942286,False,11,False
