event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market,p_model,edge_model_minus_market,threshold,position,trade_indicator,yes_trade_indicator,no_trade_indicator,gross_pnl,net_pnl,absolute_edge,correct_direction
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0,catboost_raw,0.07,0.1503471488461078,0.0803471488461078,0.0,YES,1,1,0,-0.07,-0.07,0.0803471488461078,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-30c,interior_bin,0,catboost_raw,0.27,0.1218471115345237,-0.1481528884654763,0.0,NO,1,0,1,0.27,0.27,0.1481528884654763,1.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-23c,interior_bin,0,catboost_raw,0.0025,0.0035187819813275,0.0010187819813275,0.0,YES,1,1,0,-0.0025,-0.0025,0.0010187819813275,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-26c,interior_bin,0,catboost_raw,0.011,0.0149044478926233,0.0039044478926233,0.0,YES,1,1,0,-0.011,-0.011,0.0039044478926233,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-25c,interior_bin,0,catboost_raw,0.0085,0.0208256423273686,0.012325642327368599,0.0,YES,1,1,0,-0.0085,-0.0085,0.012325642327368599,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-24c,interior_bin,0,catboost_raw,0.0075,0.0130032409037134,0.0055032409037134005,0.0,YES,1,1,0,-0.0075,-0.0075,0.0055032409037134005,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-22c,interior_bin,0,catboost_raw,0.0025,0.00308200243108,0.0005820024310800001,0.0,YES,1,1,0,-0.0025,-0.0025,0.0005820024310800001,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0,catboost_raw,0.195,0.2747951438744516,0.07979514387445158,0.0,YES,1,1,0,-0.195,-0.195,0.07979514387445158,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-27c,interior_bin,0,catboost_raw,0.0315,0.059466863655244,0.027966863655244,0.0,YES,1,1,0,-0.0315,-0.0315,0.027966863655244,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-21corbelow,lower_tail_endpoint,0,catboost_raw,0.0015,0.0026162806299099,0.0011162806299099002,0.0,YES,1,1,0,-0.0015,-0.0015,0.0011162806299099002,0.0
2026-05-22,38,12h_prior,highest-temperature-in-hong-kong-on-may-22-2026-31corhigher,upper_tail,1,catboost_raw,0.455,0.5174579245164536,0.062457924516453545,0.0,YES,1,1,0,0.5449999999999999,0.5449999999999999,0.062457924516453545,1.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0,catboost_raw,0.08,0.1621138076787463,0.0821138076787463,0.0,YES,1,1,0,-0.08,-0.08,0.0821138076787463,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-30c,interior_bin,0,catboost_raw,0.31,0.1380347934246205,-0.1719652065753795,0.0,NO,1,0,1,0.31,0.31,0.1719652065753795,1.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-23c,interior_bin,0,catboost_raw,0.003,0.004105242756198,0.0011052427561980003,0.0,YES,1,1,0,-0.003,-0.003,0.0011052427561980003,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-26c,interior_bin,0,catboost_raw,0.0035,0.0098833511967033,0.0063833511967033,0.0,YES,1,1,0,-0.0035,-0.0035,0.0063833511967033,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-25c,interior_bin,0,catboost_raw,0.006,0.0143277333874278,0.0083277333874278,0.0,YES,1,1,0,-0.006,-0.006,0.0083277333874278,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-24c,interior_bin,0,catboost_raw,0.003,0.0103967408810835,0.007396740881083499,0.0,YES,1,1,0,-0.003,-0.003,0.007396740881083499,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-22c,interior_bin,0,catboost_raw,0.003,0.0030471345579958,4.7134557995800064e-05,0.0,YES,1,1,0,-0.003,-0.003,4.7134557995800064e-05,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0,catboost_raw,0.21,0.1530449635402592,-0.05695503645974079,0.0,NO,1,0,1,0.21,0.21,0.05695503645974079,1.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-27c,interior_bin,0,catboost_raw,0.028,0.061414037617096,0.03341403761709599,0.0,YES,1,1,0,-0.028,-0.028,0.03341403761709599,0.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-21corbelow,lower_tail_endpoint,0,catboost_raw,0.003,0.0027876650130115,-0.00021233498698850026,0.0,NO,1,0,1,0.003,0.003,0.00021233498698850026,1.0
2026-05-22,38,24h_prior,highest-temperature-in-hong-kong-on-may-22-2026-31corhigher,upper_tail,1,catboost_raw,0.405,0.5608314174984711,0.15583141749847107,0.0,YES,1,1,0,0.595,0.595,0.15583141749847107,1.0
2026-05-22,38,6h_prior,highest-temperature-in-hong-kong-on-may-22-2026-28c,interior_bin,0,catboost_raw,0.0355,0.0504001562353034,0.014900156235303406,0.0,YES,1,1,0,-0.0355,-0.0355,0.014900156235303406,0.0
