activity_count,decision_rule,headline_pnl,hit_rate_trades,mean_absolute_edge_all,mean_absolute_edge_trades,mean_net_pnl_per_active_book,mean_net_pnl_per_book,mean_net_pnl_per_opportunity,mean_net_pnl_per_trade,median_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_no_trades,n_opportunities,n_positions,n_trades,n_yes_trades,pipeline,positive_pnl_book_rate,strategy,strategy_scope,threshold,total_net_pnl,total_stake,trade_rate
25,24h_prior,2.4515,0.6,0.0291100242085904,0.0974214182449473,,,0.0222863636363636,0.09806,0.215,ecmwf_bias_fixed_sigma,,,10.0,15.0,110.0,,25.0,10.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,2.4515,,0.2272727272727272
51,6h_prior,2.186,0.1764705882352941,0.1048406869118328,0.1908111798934439,,,0.0198727272727272,0.0428627450980392,-0.025,catboost_platt,,,10.0,4.0,110.0,,51.0,47.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,2.186,,0.4636363636363636
22,24h_prior,2.0500000000000003,0.6363636363636364,0.0246871579334293,0.0918568720171239,,,0.0186363636363636,0.0931818181818182,0.2125,ecmwf_bias_adaptive_sigma,,,10.0,13.0,110.0,,22.0,9.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,2.0500000000000003,,0.2
30,event_day_open,1.6164999999999998,0.3666666666666666,0.0452317296468307,0.151622008540419,,,0.0146954545454545,0.0538833333333333,-0.0645,ecmwf_bias_adaptive_sigma,,,10.0,14.0,110.0,,30.0,16.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,1.6164999999999998,,0.2727272727272727
9,12h_prior,1.1310000000000002,,,,0.1256666666666666,0.1131,,,,ecmwf_bias_fixed_sigma,9.0,10.0,,,,9.0,,,21b,0.3333333333333333,single_best_edge,standalone_decision_rule_book_strategy,0.05,1.1310000000000002,9.0,
34,6h_prior,1.101,0.3823529411764705,0.0531522593630377,0.15916172325763,,,0.0100090909090909,0.0323823529411764,-0.0289999999999999,ecmwf_bias_adaptive_sigma,,,10.0,16.0,110.0,,34.0,18.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,1.101,,0.3090909090909091
43,event_day_open,1.0845000000000002,0.2558139534883721,0.1184028260170191,0.2822386475138257,,,0.0098590909090909,0.0252209302325581,-0.06,catboost_raw,,,10.0,5.0,110.0,,43.0,38.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,1.0845000000000002,,0.3909090909090909
30,12h_prior,1.0645000000000002,0.4333333333333333,0.0410946054488715,0.1276951695196718,,,0.0096772727272727,0.0354833333333333,-0.01375,ecmwf_bias_fixed_sigma,,,10.0,15.0,110.0,,30.0,15.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,1.0645000000000002,,0.2727272727272727
41,6h_prior,1.0114999999999998,0.2926829268292683,0.0560911703451125,0.1394268448125959,,,0.0091954545454545,0.024670731707317,-0.03,ecmwf_bias_fixed_sigma,,,10.0,16.0,110.0,,41.0,25.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,1.0114999999999998,,0.3727272727272727
32,12h_prior,0.971,0.46875,0.0400910707160186,0.1235597801760867,,,0.0088272727272727,0.0303437499999999,-0.03,ecmwf_bias_adaptive_sigma,,,10.0,16.0,110.0,,32.0,16.0,21a,,binary_contract_edge,standalone_decision_rule,0.05,0.971,,0.2909090909090909
10,24h_prior,0.9072385919683053,,,,0.1134048239960381,0.0907238591968305,,,,ecmwf_bias_fixed_sigma,8.0,10.0,,,,10.0,,,21b,0.375,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.9072385919683053,8.0,
8,24h_prior,0.907,,,,0.113375,0.0907,,,,ecmwf_bias_fixed_sigma,8.0,10.0,,,,8.0,,,21b,0.375,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.907,8.0,
10,24h_prior,0.8854598987062907,,,,0.1106824873382863,0.088545989870629,,,,ecmwf_bias_adaptive_sigma,8.0,10.0,,,,10.0,,,21b,0.5,proportional_positive_edge,standalone_decision_rule_book_strategy,0.05,0.8854598987062907,8.0,
9,event_day_open,0.6934999999999999,,,,0.0770555555555555,0.06935,,,,ecmwf_bias_adaptive_sigma,9.0,10.0,,,,9.0,,,21b,0.2222222222222222,single_best_edge,standalone_decision_rule_book_strategy,0.05,0.6934999999999999,9.0,
