decision_rule,decision_label,n,mean_brier,median_brier,mean_log_score,median_log_score,mean_p_market,median_p_market,outcome_rate,median_price_staleness_hours,max_price_staleness_hours
last_price_before_24h_prior,24h prior,61,0.08637491393442623,0.013225,0.2934741386323178,0.12216763397420753,0.16187704918032786,0.105,0.14754098360655737,0.9975,7.985277777777778
last_price_before_12h_prior,12h prior,68,0.07459286029411763,0.0085625,0.2513789863783257,0.09706550737672609,0.16719117647058823,0.0925,0.16176470588235295,0.9977777777777778,19.985277777777775
last_price_before_6h_prior,6h prior,68,0.06752841911764706,0.005625,0.23058666931281968,0.0779615414697118,0.16636764705882354,0.075,0.16176470588235295,0.9977777777777778,12.987222222222222
last_price_before_event_day_hkt,Event-day open,68,0.07518041911764706,0.004900000000000001,0.2595689525293774,0.0725706928348355,0.17460294117647057,0.06725,0.16176470588235295,0.9975,18.987222222222226
