sample_partition,n_rows,n_dates,n_positive,outcome_rate,first_date,last_date
development,1535,38,141,0.09185667752442997,2026-04-10,2026-05-21
final_holdout,440,10,40,0.09090909090909091,2026-05-22,2026-05-31
