model,n_rows,n_dates,mean_brier,mean_log_score
ecmwf_bias_fixed_sigma,594,14,0.0670440616060385,0.21531328923424425
ecmwf_bias_adaptive_sigma,594,14,0.06957857008724086,0.22549511402186254
catboost_calibrated,594,14,0.07498400880511312,0.26787307811532024
market,594,14,0.0762166994949495,0.24938901567654845
ecmwf_raw,594,14,0.08171093133528527,0.2927826101205341
