chronology_block,dates,probability_books,decision_rules,mean_date_model_log_score,standard_error_date_model_log_score,mean_date_market_log_score,standard_error_date_market_log_score,mean_date_log_score_difference_model_minus_market,standard_error_date_log_score_difference_model_minus_market,model_log_score_date_win_share,mean_date_model_brier_score,standard_error_date_model_brier_score,mean_date_market_brier_score,standard_error_date_market_brier_score,mean_date_brier_score_difference_model_minus_market
external_test,30,114,4,1.55065431,0.12883350,1.26092277,0.08994017,0.28973154,0.08880719,0.20000000,0.72080924,0.03053443,0.64847062,0.03649577,0.07233862
holdout,10,40,4,1.14071367,0.14641996,1.09134969,0.17475336,0.04936398,0.11549720,0.40000000,0.58430591,0.07924061,0.58508655,0.09364096,-0.00078064
