model,scope,scope_value,rows,dates,mean,standard_deviation,rmse,median,mean_absolute_value,skewness,excess_kurtosis,proportion_absolute_above_1,proportion_absolute_above_1_645,proportion_absolute_above_1_96,proportion_absolute_above_2_576,aggregation
rbf,overall,all,1460,365,-0.0744941174304119,1.0305268132813563,1.031806831278595,-0.1088488729248655,0.8426871166647696,-0.0100054882524058,-0.1383807050266789,0.3616438356164383,0.1123287671232876,0.0383561643835616,0.010958904109589,date-mean standardised residual after averaging rules
rbf,decision_rule,24h_prior,365,365,-0.0136030994438721,1.0896436583754725,1.088234995760698,-0.0288251310818135,0.88894747767095,0.0655472150138736,-0.0513648591582809,0.3808219178082191,0.136986301369863,0.0547945205479452,0.0136986301369863,rule-specific standardised residual
rbf,decision_rule,12h_prior,365,365,-0.109997152746496,1.087602793503348,1.091667734877904,-0.0873616023295238,0.8792041178392233,-0.0632815158269028,-0.0489249331296846,0.3698630136986301,0.136986301369863,0.0630136986301369,0.0191780821917808,rule-specific standardised residual
rbf,decision_rule,6h_prior,365,365,-0.1005119983199489,1.0901533250663429,1.093289051281592,-0.0744930558030325,0.8796496139483847,-0.1185471963390301,-0.0084271426681379,0.3561643835616438,0.1452054794520547,0.0602739726027397,0.0191780821917808,rule-specific standardised residual
rbf,decision_rule,event_day_open,365,365,-0.0738642192113306,1.0284474800412384,1.0296904011906851,-0.1041259778628311,0.8411467010925618,-0.0205441373963886,-0.3454945647621614,0.3424657534246575,0.1041095890410958,0.0465753424657534,0.010958904109589,rule-specific standardised residual
rbf,validation_block,fold_01,364,91,0.1074671737103338,1.1763094143919268,1.1747542275415708,0.3037376916284974,0.9392345880511734,-0.4192054347379929,0.500203512236574,0.4285714285714285,0.1318681318681318,0.0769230769230769,0.0439560439560439,date-mean standardised residual after averaging rules
rbf,validation_block,fold_02,364,91,0.5332611633594131,0.905927086195231,1.0469253219944146,0.6113006394525219,0.868202741415109,-0.5171422130246174,0.1173023978641834,0.3956043956043956,0.1428571428571428,0.0219780219780219,0.0,date-mean standardised residual after averaging rules
rbf,validation_block,fold_03,364,91,-0.4831386515733123,0.8469923378324968,0.9710486621379856,-0.5018684038313694,0.8052436008832485,-0.0514601013539291,-0.8348208591243522,0.3186813186813186,0.0989010989010989,0.0329670329670329,0.0,date-mean standardised residual after averaging rules
rbf,validation_block,fold_04,368,92,-0.4514240678508252,0.8032072138545139,0.9175582304381492,-0.4863017513789146,0.7589873143568874,0.5579614114797065,0.9641171404771808,0.3043478260869565,0.0760869565217391,0.0217391304347826,0.0,date-mean standardised residual after averaging rules
rbf,rule_by_validation_block,12h_prior|fold_01,91,91,0.0637940964545355,1.2520795511917802,1.2468140926117015,0.3190699825834505,0.9844912064454018,-0.5040751355032282,0.507103188911787,0.4285714285714285,0.1648351648351648,0.0989010989010989,0.0549450549450549,rule-specific standardised residual
