model,scope,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,dates
rbf,overall,all,0.01,0.0157534246575342,0.0057534246575342,0.0057534246575342,3.310189528992308e-05,365
rbf,overall,all,0.02,0.0260273972602739,0.0060273972602739,0.0060273972602739,3.63295177331582e-05,365
rbf,overall,all,0.03,0.0424657534246575,0.0124657534246575,0.0124657534246575,0.0001553950084443,365
rbf,overall,all,0.04,0.0554794520547945,0.0154794520547945,0.0154794520547945,0.0002396134359166,365
rbf,overall,all,0.05,0.0732876712328767,0.0232876712328767,0.0232876712328767,0.0005423156314505,365
rbf,overall,all,0.06,0.086986301369863,0.026986301369863,0.026986301369863,0.000728260461625,365
rbf,overall,all,0.07,0.1013698630136986,0.0313698630136986,0.0313698630136986,0.0009840683054982,365
rbf,overall,all,0.08,0.1075342465753424,0.0275342465753424,0.0275342465753424,0.0007581347344717,365
rbf,overall,all,0.09,0.1157534246575342,0.0257534246575342,0.0257534246575342,0.0006632388815912,365
rbf,overall,all,0.1,0.1287671232876712,0.0287671232876712,0.0287671232876712,0.000827547382248,365
rbf,overall,all,0.11,0.1424657534246575,0.0324657534246575,0.0324657534246575,0.0010540251454306,365
rbf,overall,all,0.12,0.1541095890410959,0.0341095890410959,0.0341095890410959,0.0011634640645524,365
rbf,overall,all,0.13,0.1616438356164383,0.0316438356164383,0.0316438356164383,0.0010013323325201,365
rbf,overall,all,0.14,0.1780821917808219,0.0380821917808218,0.0380821917808218,0.0014502533308312,365
rbf,overall,all,0.15,0.1917808219178082,0.0417808219178082,0.0417808219178082,0.0017456370801276,365
rbf,overall,all,0.16,0.2,0.04,0.04,0.0016,365
rbf,overall,all,0.17,0.2095890410958904,0.0395890410958904,0.0395890410958904,0.001567292174892,365
rbf,overall,all,0.18,0.2198630136986301,0.0398630136986301,0.0398630136986301,0.0015890598611371,365
rbf,overall,all,0.19,0.2342465753424657,0.0442465753424657,0.0442465753424657,0.0019577594295364,365
rbf,overall,all,0.2,0.2445205479452054,0.0445205479452054,0.0445205479452054,0.0019820791893413,365
rbf,overall,all,0.21,0.2527397260273972,0.0427397260273972,0.0427397260273972,0.0018266841808969,365
rbf,overall,all,0.22,0.2616438356164383,0.0416438356164383,0.0416438356164383,0.0017342090448489,365
rbf,overall,all,0.23,0.2698630136986301,0.0398630136986301,0.0398630136986301,0.0015890598611371,365
