model,scope,scope_value,series,lag_days,autocorrelation,dates
rbf,decision_rule,24h_prior,standardised_residual,1,0.4970800735217117,365
rbf,decision_rule,24h_prior,standardised_residual,2,0.3326411831047385,365
rbf,decision_rule,24h_prior,standardised_residual,3,0.3105123575609215,365
rbf,decision_rule,24h_prior,standardised_residual,4,0.2646660986365705,365
rbf,decision_rule,24h_prior,standardised_residual,5,0.2555538211776372,365
rbf,decision_rule,24h_prior,standardised_residual,6,0.26461822051413,365
rbf,decision_rule,24h_prior,standardised_residual,7,0.229311673916046,365
rbf,decision_rule,24h_prior,standardised_residual,8,0.2031412784600472,365
rbf,decision_rule,24h_prior,standardised_residual,9,0.2203933633553247,365
rbf,decision_rule,24h_prior,standardised_residual,10,0.1935901743091427,365
rbf,decision_rule,24h_prior,standardised_residual,11,0.1645876651396984,365
rbf,decision_rule,24h_prior,standardised_residual,12,0.2082335325082937,365
rbf,decision_rule,24h_prior,standardised_residual,13,0.18085735072959,365
rbf,decision_rule,24h_prior,standardised_residual,14,0.1395505009909868,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,1,0.225671134856338,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,2,0.1183937456920809,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,3,0.1276789307629324,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,4,0.0486376670249465,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,5,0.001473916175715,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,6,-0.0053738258584148,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,7,-0.0122492610733155,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,8,-0.1108305294048492,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,9,0.0346428320767034,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,10,0.0057681683032073,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,11,-0.0565473112623777,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,12,2.0043276564909423e-05,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,13,0.0568353950657624,365
rbf,decision_rule,24h_prior,absolute_standardised_residual,14,0.0916809660689512,365
rbf,decision_rule,24h_prior,squared_standardised_residual,1,0.3068344264281923,365
rbf,decision_rule,24h_prior,squared_standardised_residual,2,0.1503470492641591,365
rbf,decision_rule,24h_prior,squared_standardised_residual,3,0.1444577247416786,365
rbf,decision_rule,24h_prior,squared_standardised_residual,4,0.0746902416925828,365
rbf,decision_rule,24h_prior,squared_standardised_residual,5,0.0111159170949156,365
rbf,decision_rule,24h_prior,squared_standardised_residual,6,-0.0136148758035531,365
rbf,decision_rule,24h_prior,squared_standardised_residual,7,-0.0199777722858827,365
rbf,decision_rule,24h_prior,squared_standardised_residual,8,-0.1049331047088753,365
rbf,decision_rule,24h_prior,squared_standardised_residual,9,-0.0044038832216708,365
rbf,decision_rule,24h_prior,squared_standardised_residual,10,-0.0092762382821496,365
rbf,decision_rule,24h_prior,squared_standardised_residual,11,-0.0465770357917692,365
rbf,decision_rule,24h_prior,squared_standardised_residual,12,-0.0307353686244656,365
rbf,decision_rule,24h_prior,squared_standardised_residual,13,0.0559947061736885,365
rbf,decision_rule,24h_prior,squared_standardised_residual,14,0.077458508428044,365
rbf,decision_rule,12h_prior,standardised_residual,1,0.4792669616867272,365
rbf,decision_rule,12h_prior,standardised_residual,2,0.3258121740408047,365
rbf,decision_rule,12h_prior,standardised_residual,3,0.278012377786525,365
rbf,decision_rule,12h_prior,standardised_residual,4,0.2380753898144425,365
rbf,decision_rule,12h_prior,standardised_residual,5,0.2166950329048613,365
