model,scope,scope_value,dates,block_bootstrap_length_days,block_bootstrap_replications,standardised_residual_lag1,standardised_residual_lag1_block_bootstrap_lower_95,standardised_residual_lag1_block_bootstrap_upper_95,standardised_residual_ljung_box_q7,standardised_residual_ljung_box_q7_nominal_iid_p_value,standardised_residual_ljung_box_q14,standardised_residual_ljung_box_q14_nominal_iid_p_value,absolute_standardised_residual_lag1,absolute_standardised_residual_lag1_block_bootstrap_lower_95,absolute_standardised_residual_lag1_block_bootstrap_upper_95,absolute_standardised_residual_ljung_box_q7,absolute_standardised_residual_ljung_box_q7_nominal_iid_p_value,absolute_standardised_residual_ljung_box_q14,absolute_standardised_residual_ljung_box_q14_nominal_iid_p_value,squared_standardised_residual_lag1,squared_standardised_residual_lag1_block_bootstrap_lower_95,squared_standardised_residual_lag1_block_bootstrap_upper_95,squared_standardised_residual_ljung_box_q7,squared_standardised_residual_ljung_box_q7_nominal_iid_p_value,squared_standardised_residual_ljung_box_q14,squared_standardised_residual_ljung_box_q14_nominal_iid_p_value
rbf,overall,all,365,7,5000,0.5147633925977166,0.3271137113798323,0.5236459011279555,264.4558487317578,2.312597380620384e-53,356.560365312102,1.729686368371493e-67,0.2156161654788929,0.0576367461573689,0.2941303053067036,33.50795115280396,2.128757812445388e-05,42.702924696029775,9.556178347152832e-05,0.2141068638363545,0.0612419585173282,0.2905666048901847,29.552743254342783,0.0001146755228276,39.44656968385738,0.0003110522980168
rbf,decision_rule,24h_prior,365,7,5000,0.4970800735217117,0.3048473673617881,0.5065909199829339,263.5384462381576,3.627163637578503e-53,358.0261785382048,8.517245695424579e-68,0.225671134856338,0.0438456679580027,0.3227133553026873,30.892248446840856,6.508413321564753e-05,41.61250861859898,0.0001423952638543,0.3068344264281923,0.0801448556521522,0.383300536885209,53.045029543131605,3.632023690683507e-09,61.8787189150253,5.479679170914406e-08
rbf,decision_rule,12h_prior,365,7,5000,0.4792669616867272,0.2938840240525929,0.4950870322445949,221.2051420433907,3.660906018448284e-44,301.9940668444653,4.537187323896352e-56,0.1901159562029301,0.0417454556955757,0.2718840989438306,26.05699347768261,0.0004919935023278,32.98923904877582,0.0028913160890906,0.1865663306253766,0.0391963734696636,0.279829049691243,21.64138536217435,0.0029282501956104,33.69382346139191,0.0022857612713734
rbf,decision_rule,6h_prior,365,7,5000,0.4839348301522818,0.2984403821484983,0.4977017142307805,226.51123629445937,2.7345775928068705e-45,298.33676020206354,2.6268069392630087e-55,0.2015574313888953,0.0562352353929853,0.2861326475057468,28.08880732267931,0.0002118915011495,35.91031299414728,0.0010761951559311,0.1784218045402883,0.0342716503549225,0.2689546110366259,21.39472529577956,0.0032278179650478,33.68521526889869,0.0022923644393804
rbf,decision_rule,event_day_open,365,7,5000,0.4754361801946552,0.2944723053886746,0.4957448473911595,221.4627589682234,3.227751019397032e-44,295.8733117343653,8.56845920408996e-55,0.1841759986570476,0.0427814545319142,0.2575919424757854,20.484358215967045,0.0046132139679594,27.411708820448588,0.0170120086043685,0.1638757123782646,0.023475249625417,0.2478593102842724,16.00843714346826,0.0250393894756733,21.466211187059823,0.0902681511074112
matern32,overall,all,365,7,5000,0.5064494077518977,0.3193407751560451,0.5149319722480965,238.47883553720723,7.826656368150992e-48,312.9277653355258,2.3692973851247853e-58,0.2402410763798931,0.0796915081753534,0.3171684662171065,40.8237622152738,8.751709432682484e-07,50.507415874719335,5.0197691423457e-06,0.229758672647702,0.0694900072306685,0.3075846141189987,34.1412381994987,1.6207336405270298e-05,43.6935378001594,6.631781288324457e-05
matern32,decision_rule,24h_prior,365,7,5000,0.4871441440637662,0.2956440856985196,0.5012092952248278,246.22455846618212,1.7620983549386007e-49,329.34768845426146,8.739578938368465e-62,0.2420806242492731,0.0545893755966838,0.3384054703525109,37.11427208944711,4.462560164788615e-06,47.33004889757629,1.696058273616932e-05,0.3179978552534519,0.0866096942824384,0.3896523280204904,57.72647169151277,4.2859194990139626e-10,65.9089285952935,1.0524578599439562e-08
matern32,decision_rule,12h_prior,365,7,5000,0.4754761694678896,0.2930941330035847,0.4918724018197538,203.11539714877676,2.5117362587417587e-40,271.7854014361389,8.787263009625237e-50,0.2032809454516233,0.0553981814962411,0.2804161268387934,29.95327606325627,9.685197305360024e-05,37.29896782559669,0.0006646203587072,0.2012170313228585,0.0434001975389039,0.2878716019910313,25.003853501387887,0.0007576076176323,36.61606425042075,0.0008431603320803
matern32,decision_rule,6h_prior,365,7,5000,0.4815032739871815,0.29835829646344,0.5008992228051395,209.48105266046792,1.1242629407453147e-41,270.0501611710055,2.014155712423088e-49,0.2136064449853149,0.065137653208216,0.2959951297096359,32.00800196306229,4.047740753899115e-05,40.148327275149214,0.0002418815610547,0.1926853697532944,0.0442230412480678,0.2836682433520957,25.14167159325327,0.0007161405807867,36.736725618636655,0.0008085507548085
matern32,decision_rule,event_day_open,365,7,5000,0.4613486241734763,0.2814026718206234,0.4822485049774509,185.2531616664769,1.51287128486307e-36,235.2049267714669,3.262889930062512e-42,0.2139790552898831,0.0702385326595654,0.2771662913555667,29.133035033840866,0.0001368235527477,36.93977197269546,0.0007533933289119,0.186605429065702,0.0438081335245988,0.2757546193790986,24.575733878213825,0.0009020004719048,29.65111126326358,0.0085217570876905
