sample_period,decision_rule,frozen_threshold,transaction_cost_per_share,analytical_break_even_cost,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown
weather_plus_market_training,event_day_open,0.12,0.0,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.0,4.914999999999999,0.078015873015873,0.31078472437569055,0.039155194855991934,0.1170238095238095,-0.0345,3.085,1.5931928687196109,0.5459999999999998
weather_plus_market_training,event_day_open,0.12,0.0025,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.10500000000000001,4.8100000000000005,0.07634920634920636,0.3105743591149832,0.0391286913243577,0.11452380952380954,-0.037000000000000005,3.19,1.5078369905956115,0.5660000000000003
weather_plus_market_training,event_day_open,0.12,0.005,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.21000000000000002,4.704999999999999,0.07468253968253967,0.3103683984472909,0.03910274271928272,0.11202380952380953,-0.0395,3.295,1.4279210925644914,0.5929999999999997
weather_plus_market_training,event_day_open,0.12,0.0075,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.315,4.6000000000000005,0.07301587301587302,0.31016685114698384,0.03907735014623372,0.10952380952380954,-0.042,3.3999999999999995,1.3529411764705885,0.6279999999999999
weather_plus_market_training,event_day_open,0.12,0.01,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.42000000000000004,4.494999999999999,0.07134920634920634,0.3099697258229895,0.039052514689833624,0.10702380952380952,-0.044500000000000005,3.5050000000000003,1.2824536376604847,0.6630000000000003
weather_plus_market_training,event_day_open,0.12,0.0125,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.5249999999999999,4.3900000000000015,0.06968253968253971,0.30977703091702685,0.03902823741363905,0.10452380952380952,-0.047,3.61,1.2160664819944602,0.6980000000000002
weather_plus_market_training,event_day_open,0.12,0.015,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.63,4.284999999999999,0.068015873015873,0.30958877470186635,0.039004519359921094,0.10202380952380954,-0.0495,3.7150000000000003,1.1534320323014802,0.7329999999999997
weather_plus_market_training,event_day_open,0.12,0.0175,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.7349999999999999,4.180000000000001,0.06634920634920635,0.3094049652796195,0.03898136154944988,0.09952380952380951,-0.052000000000000005,3.82,1.0942408376963353,0.7680000000000002
weather_plus_market_training,event_day_open,0.12,0.02,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.8400000000000001,4.075,0.06468253968253969,0.30922561058005404,0.038958764981282215,0.09702380952380955,-0.05450000000000001,3.925,1.0382165605095541,0.8030000000000002
weather_plus_market_training,event_day_open,0.12,0.0225,0.1170238095238095,63,42,0.6666666666666666,8,34,0.19047619047619047,4.914999999999999,0.9449999999999998,3.9699999999999998,0.06301587301587301,0.3090507183589406,0.03893673063255336,0.09452380952380952,-0.057,4.03,0.9851116625310172,0.8380000000000001
