sample_period,strategy_id,decision_rule,threshold,calendar_dates,available_rule_dates,trade_count,total_net_pnl_calendar,mean_date_net_pnl_calendar,standard_error_calendar
weather_plus_market_training,24h_prior|threshold=0.000,24h_prior,0.0,67,55,55,4.085,0.06097014925373134,0.04050631037911049
weather_plus_market_training,24h_prior|threshold=0.010,24h_prior,0.01,67,55,55,4.085,0.06097014925373134,0.04050631037911049
weather_plus_market_training,24h_prior|threshold=0.020,24h_prior,0.02,67,55,53,4.305,0.06425373134328358,0.04033413328849012
weather_plus_market_training,24h_prior|threshold=0.030,24h_prior,0.03,67,55,52,4.395,0.06559701492537313,0.04027862626656944
weather_plus_market_training,24h_prior|threshold=0.040,24h_prior,0.04,67,55,52,4.395,0.06559701492537313,0.04027862626656944
weather_plus_market_training,24h_prior|threshold=0.050,24h_prior,0.05,67,55,51,4.495,0.06708955223880597,0.040213252951668804
weather_plus_market_training,24h_prior|threshold=0.060,24h_prior,0.06,67,55,46,5.095,0.07604477611940298,0.0397271644486683
weather_plus_market_training,24h_prior|threshold=0.070,24h_prior,0.07,67,55,45,4.18,0.06238805970149253,0.03765050278106608
weather_plus_market_training,24h_prior|threshold=0.080,24h_prior,0.08,67,55,39,4.08,0.0608955223880597,0.03740000921696917
weather_plus_market_training,24h_prior|threshold=0.090,24h_prior,0.09,67,55,35,4.4815,0.06688805970149253,0.03708894235561715
weather_plus_market_training,24h_prior|threshold=0.100,24h_prior,0.1,67,55,31,4.7815,0.07136567164179104,0.0368851778908912
weather_plus_market_training,24h_prior|threshold=0.110,24h_prior,0.11,67,55,27,4.4405,0.06627611940298507,0.034758611093959856
weather_plus_market_training,24h_prior|threshold=0.120,24h_prior,0.12,67,55,26,4.5405,0.06776865671641791,0.03468239192159015
weather_plus_market_training,24h_prior|threshold=0.130,24h_prior,0.13,67,55,19,2.6679999999999997,0.03982089552238806,0.029092356137054583
weather_plus_market_training,24h_prior|threshold=0.140,24h_prior,0.14,67,55,15,1.9174999999999998,0.028619402985074625,0.025554617083194266
weather_plus_market_training,24h_prior|threshold=0.150,24h_prior,0.15,67,55,12,0.7174999999999999,0.010708955223880596,0.020994496891678652
weather_plus_market_training,24h_prior|threshold=0.160,24h_prior,0.16,67,55,6,0.23549999999999993,0.003514925373134327,0.015688513725958423
weather_plus_market_training,24h_prior|threshold=0.170,24h_prior,0.17,67,55,6,0.23549999999999993,0.003514925373134327,0.015688513725958423
weather_plus_market_training,24h_prior|threshold=0.180,24h_prior,0.18,67,55,5,-0.687,-0.010253731343283582,0.007230170820706779
weather_plus_market_training,24h_prior|threshold=0.190,24h_prior,0.19,67,55,5,-0.687,-0.010253731343283582,0.007230170820706779
weather_plus_market_training,24h_prior|threshold=0.200,24h_prior,0.2,67,55,4,-0.6525000000000001,-0.009738805970149256,0.0072223392560423795
weather_plus_market_training,24h_prior|threshold=0.210,24h_prior,0.21,67,55,2,-0.5585,-0.008335820895522388,0.00717963749007464
weather_plus_market_training,24h_prior|threshold=0.220,24h_prior,0.22,67,55,2,-0.5585,-0.008335820895522388,0.00717963749007464
weather_plus_market_training,24h_prior|threshold=0.230,24h_prior,0.23,67,55,2,-0.5585,-0.008335820895522388,0.00717963749007464
weather_plus_market_training,24h_prior|threshold=0.240,24h_prior,0.24,67,55,2,-0.5585,-0.008335820895522388,0.00717963749007464
weather_plus_market_training,24h_prior|threshold=0.250,24h_prior,0.25,67,55,1,-0.47500000000000003,-0.0070895522388059705,0.007089552238805968
weather_plus_market_training,12h_prior|threshold=0.000,12h_prior,0.0,67,60,60,-2.0835000000000004,-0.03109701492537314,0.020751407179037718
weather_plus_market_training,12h_prior|threshold=0.010,12h_prior,0.01,67,60,60,-2.0835000000000004,-0.03109701492537314,0.020751407179037718
weather_plus_market_training,12h_prior|threshold=0.020,12h_prior,0.02,67,60,60,-2.0835000000000004,-0.03109701492537314,0.020751407179037718
weather_plus_market_training,12h_prior|threshold=0.030,12h_prior,0.03,67,60,59,-1.9135000000000002,-0.028559701492537316,0.020648942998268277
