sample_period,strategy_id,decision_rule,threshold,calendar_dates,available_rule_dates,trade_count,total_net_pnl_calendar,mean_date_net_pnl_calendar,standard_error_calendar,is_phase11_frozen_primary,ex_post_rank_by_june_mean_pnl,diagnostic_only_not_used_for_selection
out_of_sample_validation,6h_prior|threshold=0.150,6h_prior,0.15,30,29,7,-0.49399999999999994,-0.016466666666666664,0.005720648892808339,False,56,True
out_of_sample_validation,event_day_open|threshold=0.160,event_day_open,0.16,30,30,8,-0.5019999999999999,-0.01673333333333333,0.005705650221004124,False,59,True
out_of_sample_validation,6h_prior|threshold=0.120,6h_prior,0.12,30,29,8,-0.5285000000000001,-0.01761666666666667,0.005722092863917452,False,60,True
out_of_sample_validation,event_day_open|threshold=0.150,event_day_open,0.15,30,30,9,-0.5299999999999999,-0.017666666666666664,0.005687571312339755,False,61,True
out_of_sample_validation,24h_prior|threshold=0.140,24h_prior,0.14,30,27,9,-0.53,-0.017666666666666667,0.007448957858658929,False,62,True
out_of_sample_validation,event_day_open|threshold=0.080,event_day_open,0.08,30,30,25,-0.5525000000000001,-0.01841666666666667,0.033445788038972746,False,63,True
out_of_sample_validation,24h_prior|threshold=0.130,24h_prior,0.13,30,27,10,-0.5805,-0.01935,0.0075013083150062285,False,64,True
out_of_sample_validation,24h_prior|threshold=0.120,24h_prior,0.12,30,27,11,-0.626,-0.020866666666666665,0.007519703364981763,False,65,True
out_of_sample_validation,event_day_open|threshold=0.070,event_day_open,0.07,30,30,26,-0.6335000000000001,-0.02111666666666667,0.03350345395930194,False,66,True
out_of_sample_validation,12h_prior|threshold=0.060,12h_prior,0.06,30,28,24,-0.6380000000000001,-0.02126666666666667,0.03385142260320142,False,67,True
out_of_sample_validation,event_day_open|threshold=0.060,event_day_open,0.06,30,30,27,-0.6755,-0.022516666666666667,0.033502277185713095,False,68,True
out_of_sample_validation,24h_prior|threshold=0.110,24h_prior,0.11,30,27,12,-0.681,-0.0227,0.007567610959357248,False,69,True
out_of_sample_validation,6h_prior|threshold=0.110,6h_prior,0.11,30,29,10,-0.6835,-0.022783333333333333,0.006283424798870846,False,70,True
out_of_sample_validation,6h_prior|threshold=0.030,6h_prior,0.03,30,29,28,-0.801,-0.0267,0.03198323555117335,False,71,True
out_of_sample_validation,6h_prior|threshold=0.040,6h_prior,0.04,30,29,28,-0.801,-0.0267,0.03198323555117335,False,71,True
out_of_sample_validation,6h_prior|threshold=0.000,6h_prior,0.0,30,29,29,-0.8350000000000001,-0.027833333333333335,0.03197068820364302,False,73,True
out_of_sample_validation,6h_prior|threshold=0.010,6h_prior,0.01,30,29,29,-0.8350000000000001,-0.027833333333333335,0.03197068820364302,False,73,True
out_of_sample_validation,6h_prior|threshold=0.020,6h_prior,0.02,30,29,29,-0.8350000000000001,-0.027833333333333335,0.03197068820364302,False,73,True
out_of_sample_validation,6h_prior|threshold=0.100,6h_prior,0.1,30,29,14,-0.886,-0.029533333333333335,0.006336989265431304,False,76,True
out_of_sample_validation,event_day_open|threshold=0.000,event_day_open,0.0,30,30,30,-0.8995000000000001,-0.029983333333333338,0.03361916943709119,False,77,True
out_of_sample_validation,event_day_open|threshold=0.010,event_day_open,0.01,30,30,30,-0.8995000000000001,-0.029983333333333338,0.03361916943709119,False,77,True
out_of_sample_validation,event_day_open|threshold=0.020,event_day_open,0.02,30,30,30,-0.8995000000000001,-0.029983333333333338,0.03361916943709119,False,77,True
out_of_sample_validation,event_day_open|threshold=0.030,event_day_open,0.03,30,30,30,-0.8995000000000001,-0.029983333333333338,0.03361916943709119,False,77,True
out_of_sample_validation,event_day_open|threshold=0.040,event_day_open,0.04,30,30,30,-0.8995000000000001,-0.029983333333333338,0.03361916943709119,False,77,True
out_of_sample_validation,event_day_open|threshold=0.050,event_day_open,0.05,30,30,30,-0.8995000000000001,-0.029983333333333338,0.03361916943709119,False,77,True
out_of_sample_validation,6h_prior|threshold=0.090,6h_prior,0.09,30,29,15,-0.9165,-0.03055,0.0062546235771590636,False,83,True
out_of_sample_validation,12h_prior|threshold=0.050,12h_prior,0.05,30,28,26,-0.9179999999999999,-0.0306,0.03432144699947732,False,84,True
out_of_sample_validation,24h_prior|threshold=0.100,24h_prior,0.1,30,27,15,-0.9460000000000001,-0.03153333333333334,0.008282162432564757,False,85,True
out_of_sample_validation,12h_prior|threshold=0.000,12h_prior,0.0,30,28,28,-0.996,-0.0332,0.03429118548984346,False,86,True
out_of_sample_validation,12h_prior|threshold=0.010,12h_prior,0.01,30,28,28,-0.996,-0.0332,0.03429118548984346,False,86,True
out_of_sample_validation,12h_prior|threshold=0.020,12h_prior,0.02,30,28,28,-0.996,-0.0332,0.03429118548984346,False,86,True
out_of_sample_validation,12h_prior|threshold=0.030,12h_prior,0.03,30,28,28,-0.996,-0.0332,0.03429118548984346,False,86,True
out_of_sample_validation,12h_prior|threshold=0.040,12h_prior,0.04,30,28,28,-0.996,-0.0332,0.03429118548984346,False,86,True
